date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2013-03-01;2740.672;2740.647;2740.672;2740.647;2740.672;2740.647;false;0.025;2740.696;2740.596;2740.696;2740.596;2740.596;true;true;true;true;true;false;false;1362138900000000;1362140100000000;1362138900000000;06:45 - 07:00;true;false;false;2740.614;2740.66;2740.596;2740.696;2740.696;2740.696;1362139200000000;1362139200000000;false;07:00 - 07:15;07:00 - 07:15;;;;;1.9;1.9;2.0;2.0;2.0;-2.0;1.0;0.0;-2.0;-2.0;2.0;;;;;;
2013-03-04;2747.659;2747.651;2747.658;2747.652;2747.653;2747.654;true;0.008;2747.659;2747.653;2747.659;2747.653;2747.656;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.2;0.3;0.6;0.2;1.0;;;;;;
2013-05-23;2982.591;2967.567;2982.467;2969.436;2975.817;2973.456;false;15.024;2979.904;2961.128;2979.894;2961.674;2972.691;false;true;false;true;true;true;true;;1369297200000000;1369297200000000;04:15 - 04:30;false;true;false;2967.736;2974.569;2961.128;2979.904;2967.74;2961.128;1369297500000000;1369297800000000;true;04:30 - 04:45;04:15 - 04:30;3005.197;2992.252;false;false;-0.4;-0.6;0.0;-0.2;-0.5;0.8;0.5;0.3;0.3;-0.5;0.8;Strong Downtrend;Contraction;false;true;3.769;4.0
2013-05-27;2998.881;2991.694;2998.613;2992.144;2992.144;2994.769;true;7.187;2995.099;2984.572;2994.705;2985.059;2992.429;false;true;false;true;true;true;true;;1369642800000000;1369642800000000;04:15 - 04:30;false;true;false;2992.871;2995.099;2984.572;2994.635;2994.635;2984.572;1369644300000000;1369648200000000;true;05:45 - 06:00;04:45 - 05:00;2998.61;2996.114;true;true;-0.9;-1.1;0.4;0.3;-1.0;0.4;0.0;0.4;0.1;-1.0;0.4;Weak Downtrend;Medium Uptrend;false;true;8.4;0.9
2013-05-28;3023.094;3008.502;3021.235;3009.023;3009.023;3020.728;true;14.592;3022.189;3016.582;3022.189;3017.034;3019.83;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;2999.412;3007.17;false;false;;;;;;;0.0;0.8;0.7;0.5;0.9;Strong Uptrend;Strong Uptrend;true;true;8.298;1.8
2013-05-29;2995.882;2989.038;2995.853;2989.255;2995.27;2992.241;false;6.844;2997.149;2982.687;2996.759;2983.583;2989.86;true;true;true;true;true;false;false;1369821000000000;1369824300000000;1369821000000000;05:45 - 06:00;true;false;false;2990.531;2996.887;2982.687;2997.149;2995.281;2997.149;1369821600000000;1369821600000000;true;06:00 - 06:15;06:00 - 06:15;3005.289;3003.596;false;false;1.1;1.1;1.0;1.0;1.2;-0.9;1.0;0.5;0.2;-0.9;1.2;Strong Downtrend;Strong Downtrend;false;false;4.45;1.5
2013-05-30;2993.25;2983.642;2991.101;2985.191;2985.191;2991.101;true;9.608;3006.755;2985.021;3006.387;2985.36;3001.541;true;false;true;false;true;true;true;1369909500000000;;1369909500000000;06:15 - 06:30;true;true;true;2985.021;2992.87;2993.752;3006.755;2993.752;3006.755;1369909800000000;1369912800000000;false;07:15 - 07:30;06:30 - 06:45;2993.015;2992.786;true;true;2.4;3.6;1.1;1.5;2.5;1.1;0.2;0.8;1.9;0.2;2.5;Weak Downtrend;Contraction;true;false;3.366;2.9
2013-05-31;3009.94;2990.735;3009.94;2990.833;3009.94;2992.236;false;19.205;2999.798;2985.598;2999.118;2986.103;2995.579;false;true;false;true;true;true;true;;1369988400000000;1369988400000000;04:15 - 04:30;false;true;false;2991.528;2995.31;2985.598;2999.798;2993.667;2985.598;1369989000000000;1369993800000000;true;05:45 - 06:00;04:30 - 04:45;3009.263;3011.237;false;false;-0.2;-0.2;0.1;0.1;-0.3;0.4;1.0;0.0;0.2;-0.3;0.4;Medium Downtrend;Contraction;true;true;5.463;3.5
2013-06-04;2991.062;2984.936;2990.782;2985.917;2986.931;2987.658;true;6.126;2992.345;2983.901;2992.345;2984.147;2992.345;true;true;true;true;true;false;false;1370347800000000;1370336100000000;1370336100000000;04:45 - 05:00;false;false;false;2985.461;2989.361;2983.901;2992.345;2986.494;2983.901;1370336700000000;1370337000000000;true;05:00 - 05:15;05:00 - 05:15;2985.35;2983.735;true;false;-0.1;-0.4;0.2;0.1;-0.2;1.2;0.3;0.4;1.2;-0.2;1.2;Weak Uptrend;Strong Downtrend;false;true;3.347;1.8
2013-06-05;2975.462;2964.735;2973.879;2966.254;2966.254;2971.762;true;10.727;2974.4;2960.185;2973.36;2961.251;2961.913;false;true;false;true;true;true;true;;1370427600000000;1370427600000000;06:15 - 06:30;false;true;true;2965.222;2974.4;2960.185;2966.882;2966.882;2960.185;1370430300000000;1370435100000000;true;08:15 - 08:30;07:00 - 07:15;2972.912;2973.782;true;true;-0.4;-0.7;0.2;0.0;-0.5;0.2;0.1;0.6;-0.3;-0.5;0.9;Expansion;Strong Downtrend;true;true;2.559;4.2
2013-06-06;2945.881;2942.54;2945.539;2943.762;2944.126;2945.065;true;3.341;2950.177;2942.729;2949.67;2943.007;2948.572;true;false;true;false;true;true;true;1370508900000000;;1370508900000000;04:45 - 05:00;true;true;true;2942.729;2945.898;2943.006;2950.177;2943.006;2950.177;1370517000000000;1370520300000000;true;08:00 - 08:15;07:00 - 07:15;2941.104;2943.048;false;true;2.2;3.6;0.2;-0.4;2.3;0.2;0.5;0.8;1.9;0.1;2.3;Medium Uptrend;Strong Downtrend;true;true;3.169;1.1
