date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2017-05-17;1782.4;1767.9;1781.4;1775.7;1779.4;1781.3;true;14.5;1826.1;1743.1;1823.1;1748.3;1818.7;true;true;true;true;true;false;false;1494988800000000;1494984300000000;1494984300000000;10:15 - 10:30;false;false;false;1764.2;1784.0;1743.1;1826.1;1771.9;1743.1;1494985800000000;1494986700000000;true;11:00 - 11:15;10:45 - 11:00;1779.4;1807.0;false;false;-1.7;-5.7;0.2;-0.7;-1.8;4.0;0.7;0.9;3.5;-1.8;4.0;;Medium Uptrend;false;true;20.5;0.7
2017-05-18;1824.9;1799.2;1824.5;1805.3;1809.4;1815.2;true;25.7;1831.1;1798.2;1823.0;1799.1;1812.9;true;true;false;true;true;true;false;;1495069500000000;1495069500000000;10:00 - 10:15;false;true;false;1802.1;1827.0;1799.1;1831.1;1813.2;1799.1;1495069800000000;1495070100000000;true;10:15 - 10:30;10:00 - 10:15;1813.1;;false;;-0.0;-0.3;0.5;0.4;-0.1;1.2;0.3;0.6;0.5;-0.1;1.2;Strong Downtrend;;true;true;27.3;0.9
2017-05-19;1912.0;1887.1;1907.0;1895.0;1896.2;1906.1;true;24.9;1925.0;1852.2;1919.6;1887.2;1916.1;true;true;true;false;true;true;false;1495154400000000;;1495154400000000;09:30 - 09:45;true;true;true;1900.8;1915.7;1852.2;1925.0;1852.2;1925.0;1495161300000000;1495170000000000;true;14:00 - 14:15;11:30 - 11:45;1896.7;1906.5;false;true;1.5;2.5;-1.4;-3.5;1.6;-1.4;0.4;0.8;1.2;-1.4;1.6;Strong Uptrend;;false;true;17.7;1.4
2017-05-22;2059.4;2005.5;2038.0;2009.4;2032.7;2038.0;true;53.9;2136.7;2007.6;2084.9;2013.1;2081.3;true;false;true;false;true;true;true;1495421400000000;;1495421400000000;11:45 - 12:00;true;true;true;2007.6;2085.2;2033.7;2136.7;2033.7;2136.7;1495421700000000;1495428000000000;true;13:30 - 13:45;11:45 - 12:00;2032.0;2065.5;true;false;2.4;4.4;0.6;0.9;2.5;0.6;0.6;0.7;1.5;0.1;2.5;Strong Uptrend;Weak Uptrend;true;true;120.4;0.4
2017-05-23;2153.2;2025.8;2148.7;2040.5;2040.5;2132.9;true;127.4;2209.1;2100.4;2199.7;2111.8;2198.3;true;false;true;false;true;true;true;1495501500000000;;1495501500000000;10:00 - 10:15;true;true;true;2112.8;2154.2;2100.4;2209.1;2100.4;2209.1;1495506000000000;1495517100000000;true;14:15 - 14:30;11:15 - 11:30;2104.6;2170.0;false;false;1.4;1.5;0.6;0.6;1.5;0.6;0.2;0.9;1.4;0.6;1.5;Medium Downtrend;Medium Uptrend;false;true;81.7;1.6
2017-05-24;2281.1;2244.6;2274.5;2247.4;2250.0;2274.5;true;36.5;2317.8;2260.2;2315.0;2262.0;2287.4;true;false;true;false;true;true;true;1495588200000000;;1495588200000000;10:00 - 10:15;true;true;true;2260.2;2293.9;2265.6;2317.8;2265.6;2317.8;1495596900000000;1495598700000000;true;13:00 - 13:15;12:30 - 12:45;2256.2;2309.0;false;false;2.0;2.5;0.6;0.7;2.1;0.6;0.2;0.9;1.2;0.5;2.1;Medium Uptrend;Medium Uptrend;true;true;71.6;0.5
2017-05-25;2454.7;2393.4;2443.0;2400.7;2420.5;2443.0;true;61.3;2596.3;2410.8;2578.0;2418.9;2543.9;true;false;true;false;true;true;true;1495674600000000;;1495674600000000;10:00 - 10:15;true;true;true;2410.8;2460.9;2456.7;2596.3;2456.7;2596.3;1495674900000000;1495686000000000;false;13:15 - 13:30;10:15 - 10:30;2420.5;2566.4;false;false;3.3;4.6;1.1;1.4;3.4;1.1;0.5;0.9;2.5;0.3;3.4;Strong Uptrend;Strong Uptrend;false;true;116.6;0.5
2017-05-26;2431.1;2264.6;2423.1;2299.5;2400.4;2423.1;true;166.5;2523.5;2340.9;2501.9;2350.9;2493.7;true;false;true;false;true;true;true;1495759800000000;;1495759800000000;09:45 - 10:00;true;true;true;2360.9;2439.1;2340.9;2523.5;2367.3;2523.5;1495760700000000;1495761900000000;true;10:15 - 10:30;10:00 - 10:15;2329.2;2450.5;true;false;1.5;1.8;0.7;0.6;1.6;0.5;0.9;1.0;1.4;0.5;1.6;Strong Downtrend;Medium Downtrend;false;true;176.0;0.9
2017-05-29;2248.3;2126.3;2213.3;2179.5;2205.9;2207.1;true;122.0;2244.6;2094.4;2244.2;2112.8;2181.1;false;true;false;true;true;true;true;;1496026800000000;1496026800000000;12:00 - 12:15;false;true;false;2116.1;2244.6;2094.4;2224.6;2155.9;2094.4;1496027100000000;1496027400000000;true;12:00 - 12:15;12:00 - 12:15;2179.5;2212.5;true;true;-0.2;-2.5;0.2;-0.7;-0.3;0.8;0.6;0.6;0.4;-0.3;0.9;Strong Downtrend;Contraction;true;true;48.6;2.5
2017-05-30;2300.4;2243.7;2296.0;2243.9;2263.4;2243.9;false;56.7;2330.5;2200.2;2312.0;2209.5;2293.8;true;true;true;true;true;false;false;1496114700000000;1496104200000000;1496104200000000;09:30 - 09:45;false;false;false;;;2200.2;2330.5;2258.3;2200.2;1496104500000000;1496105100000000;true;09:45 - 10:00;09:30 - 09:45;2275.0;2294.7;true;true;-0.7;-0.8;0.2;0.2;-0.8;1.5;0.3;0.0;0.8;-0.8;1.5;Medium Uptrend;Weak Downtrend;false;true;48.1;1.2
2017-05-31;2213.6;2137.0;2199.2;2140.3;2158.9;2190.2;true;76.6;2244.1;2147.5;2240.0;2171.2;2212.1;true;false;true;false;true;true;true;1496190900000000;;1496190900000000;09:30 - 09:45;true;true;false;2178.5;2206.0;2147.5;2244.1;2164.7;2244.1;1496197500000000;1496200200000000;true;12:00 - 12:15;11:15 - 11:30;2191.4;2184.7;true;false;1.3;1.7;0.4;0.5;1.4;0.2;0.3;0.7;1.0;0.2;1.4;Strong Downtrend;Contraction;true;true;35.0;2.2
2017-06-01;2316.9;2283.6;2315.5;2297.5;2304.8;2313.9;true;33.3;2404.9;2308.1;2397.1;2308.4;2384.6;true;false;true;false;true;true;true;1496277600000000;;1496277600000000;09:30 - 09:45;true;true;true;2308.1;2318.2;2311.3;2404.9;2311.3;2404.9;1496278800000000;1496293200000000;true;14:00 - 14:15;10:00 - 10:15;2303.5;2375.9;true;false;3.6;5.9;0.9;0.8;3.7;0.9;0.7;1.0;3.1;0.8;3.7;Strong Uptrend;Strong Uptrend;false;true;42.2;0.8
