date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2017-05-17;1830.4;1803.7;1828.5;1807.9;1827.9;1808.8;false;26.7;1840.5;1807.6;1840.0;1808.0;1823.4;true;false;true;false;true;true;true;1495014300000000;;1495014300000000;05:45 - 06:00;true;true;false;1807.6;1836.2;1815.2;1840.5;1827.5;1840.5;1495017000000000;1495018200000000;true;06:45 - 07:00;06:30 - 06:45;1779.4;1807.0;false;true;1.3;1.5;0.9;1.0;1.4;0.5;1.0;0.2;0.8;0.2;1.4;;;;;;
2017-05-22;2180.6;2100.6;2149.9;2121.5;2148.7;2124.0;false;80.0;2194.0;2037.4;2170.5;2050.6;2110.4;true;true;false;true;true;true;false;;1495443600000000;1495443600000000;05:00 - 05:15;false;true;false;2086.2;2186.0;2037.4;2194.0;2107.2;2037.4;1495443900000000;1495444200000000;true;05:00 - 05:15;05:00 - 05:15;2032.0;2065.5;false;false;-0.7;-2.9;0.0;-0.6;-0.8;1.1;0.6;0.2;0.1;-0.8;1.1;Strong Uptrend;Strong Uptrend;true;true;51.2;1.6
2017-05-23;2191.1;2144.5;2186.0;2151.2;2151.2;2166.0;true;46.6;2238.8;2113.1;2228.5;2143.9;2225.1;true;true;true;true;true;false;false;1495534500000000;1495531800000000;1495531800000000;05:30 - 05:45;false;false;false;2136.1;2190.0;2113.1;2238.8;;;;;false;;;2104.6;2170.0;false;true;;;;;-0.7;2.0;0.1;0.4;1.7;-0.7;2.0;Strong Uptrend;Medium Downtrend;true;true;93.0;0.5
2017-05-24;2321.6;2288.1;2320.0;2312.0;2319.5;2320.0;true;33.5;2380.1;2285.9;2377.0;2288.8;2374.6;true;true;true;false;true;true;false;1495613100000000;;1495613100000000;04:00 - 04:15;true;true;true;2298.0;2324.0;2285.9;2380.1;2285.9;2380.1;1495617300000000;1495627200000000;true;08:00 - 08:15;05:15 - 05:30;2256.2;2309.0;false;true;2.7;8.5;-0.0;-3.2;2.8;-0.0;1.0;1.0;2.6;-0.0;2.8;Strong Uptrend;Medium Uptrend;true;true;20.4;1.6
2017-05-25;2669.3;2575.9;2668.5;2624.1;2663.9;2668.5;true;93.4;2778.7;2598.3;2738.0;2623.5;2702.3;true;false;true;false;true;true;true;1495703100000000;;1495703100000000;05:00 - 05:15;true;true;true;2598.3;2678.7;2626.4;2778.7;2629.3;2778.7;1495705500000000;1495714500000000;true;08:15 - 08:30;05:45 - 06:00;2420.5;2566.4;false;false;2.1;3.4;0.6;0.2;2.2;0.6;1.0;1.0;1.4;0.3;2.2;;;;;;
2017-05-26;2585.2;2478.1;2563.6;2489.1;2558.0;2489.1;false;107.1;2661.5;2467.9;2641.3;2491.7;2496.3;true;true;true;false;true;true;false;1495787700000000;;1495787700000000;04:30 - 04:45;true;true;false;2479.8;2594.0;2467.9;2661.5;2582.0;2661.5;1495788300000000;1495789800000000;true;05:00 - 05:15;04:45 - 05:00;2329.2;2450.5;false;false;1.7;2.3;1.0;1.3;1.8;-0.0;0.8;0.2;0.2;-0.0;1.8;Strong Uptrend;Strong Downtrend;true;true;152.4;0.7
2017-05-29;2239.3;2185.3;2233.0;2191.3;2221.1;2231.0;true;54.0;2277.7;2177.6;2274.8;2187.2;2253.0;true;true;true;false;true;true;false;1496049900000000;;1496049900000000;05:15 - 05:30;true;true;true;2177.6;2254.9;2211.4;2277.7;2218.3;2277.7;1496051400000000;1496056200000000;true;07:00 - 07:15;05:45 - 06:00;2179.5;2212.5;false;true;1.7;2.0;0.7;0.7;1.8;0.5;0.7;0.9;1.3;-0.1;1.8;Contraction;Strong Downtrend;false;true;76.2;0.7
2017-05-30;2299.9;2254.9;2273.8;2258.5;2273.6;2267.7;false;45.0;2322.7;2237.6;2317.2;2247.3;2297.5;true;true;true;true;true;false;false;1496139300000000;1496135400000000;1496135400000000;05:00 - 05:15;false;false;false;2243.1;2304.3;2241.5;2322.7;2267.3;2241.5;1496135700000000;1496135700000000;true;05:15 - 05:30;05:15 - 05:30;2275.0;2294.7;true;true;-0.2;-1.1;0.2;0.5;-0.3;1.5;0.4;0.2;0.9;-0.4;1.5;Contraction;Strong Uptrend;false;false;48.8;0.9
2017-05-31;2253.3;2213.7;2251.1;2235.6;2241.9;2239.3;false;39.6;2254.1;2192.9;2251.0;2200.1;2216.7;true;true;false;true;true;true;false;;1496218200000000;1496218200000000;04:00 - 04:15;false;true;false;2198.1;2254.1;2192.9;2253.2;2232.1;2192.9;1496219700000000;1496223300000000;true;05:30 - 05:45;04:30 - 04:45;2191.4;2184.7;false;false;-0.5;-2.7;0.4;-0.3;-0.6;0.9;0.7;0.6;0.0;-0.6;1.0;Strong Uptrend;Strong Downtrend;true;true;58.8;0.7
2017-06-01;2400.8;2377.2;2392.2;2381.3;2384.2;2382.3;false;23.6;2475.2;2382.2;2465.7;2382.3;2459.5;true;false;true;false;true;true;true;1496304000000000;;1496304000000000;04:00 - 04:15;true;true;true;2382.2;2400.1;2400.8;2475.2;2400.8;2475.2;1496304600000000;1496319300000000;false;08:15 - 08:30;04:00 - 04:15;2303.5;2375.9;false;false;4.1;8.6;1.0;1.8;4.2;1.0;0.3;0.3;3.5;0.3;4.2;Strong Uptrend;Strong Uptrend;true;true;24.4;1.0
2017-06-02;2444.5;2428.7;2441.1;2429.7;2438.2;2439.2;true;15.8;2449.0;2405.0;2443.1;2405.8;2428.4;true;true;false;true;true;true;false;;1496391000000000;1496391000000000;04:00 - 04:15;false;true;true;2429.6;2449.0;2405.0;2441.6;2441.6;2405.0;1496397600000000;1496401800000000;true;07:00 - 07:15;06:00 - 06:15;2418.4;2441.4;false;true;-1.4;-2.1;0.8;1.0;-1.5;0.8;0.6;0.6;-0.1;-1.5;1.2;Strong Uptrend;Strong Downtrend;false;false;29.4;0.5
2017-06-06;2841.5;2824.7;2838.6;2831.3;2831.3;2838.6;true;16.8;2892.0;2824.3;2891.9;2825.6;2891.9;true;true;true;false;true;true;false;1496734500000000;;1496734500000000;03:30 - 03:45;true;true;true;2833.2;2844.2;2824.3;2892.0;2824.3;2892.0;1496736600000000;1496751900000000;true;08:15 - 08:30;04:00 - 04:15;2690.0;2811.3;false;false;4.0;8.3;-0.0;-0.9;4.1;-0.0;0.4;0.9;4.0;-0.0;4.1;;;;;;
2017-06-07;2833.0;2793.8;2828.5;2803.3;2815.5;2828.5;true;39.2;2856.3;2802.5;2852.0;2804.4;2848.5;true;false;true;false;true;true;true;1496828700000000;;1496828700000000;05:45 - 06:00;true;true;true;2802.5;2842.6;2829.5;2856.3;2829.5;2856.3;1496829300000000;1496832900000000;true;06:45 - 07:00;05:45 - 06:00;2868.8;2860.7;false;false;1.5;2.1;1.0;1.1;1.6;1.0;0.6;0.9;1.4;0.3;1.6;Strong Downtrend;Strong Downtrend;true;false;23.2;1.7
2017-06-08;2808.1;2769.6;2808.0;2769.8;2802.1;2769.8;false;38.5;2798.9;2736.4;2796.2;2741.6;2760.8;false;true;false;true;true;true;true;;1496922900000000;1496922900000000;07:45 - 08:00;false;true;true;2759.5;2798.9;2736.4;2765.5;2765.5;2736.4;1496923200000000;1496923800000000;false;08:00 - 08:15;08:00 - 08:15;2684.9;2725.2;false;false;-0.8;-0.8;-0.2;-0.2;-0.9;-0.2;0.8;0.0;-0.3;-0.9;0.7;Strong Uptrend;Strong Downtrend;false;false;38.7;1.0
2017-06-09;2806.5;2786.6;2806.2;2795.0;2806.2;2795.7;false;19.9;2825.2;2793.9;2824.4;2795.6;2818.2;true;false;true;false;true;true;true;1496995200000000;;1496995200000000;04:00 - 04:15;true;true;true;2793.9;2806.2;2798.9;2825.2;2806.4;2825.2;1496996400000000;1496998200000000;true;04:45 - 05:00;04:15 - 04:30;2807.6;2805.6;false;false;1.9;2.6;1.0;1.1;2.0;0.7;1.0;0.5;1.6;0.4;2.0;Weak Downtrend;Strong Uptrend;true;true;15.7;1.3
2017-06-12;2956.5;2895.0;2930.8;2895.0;2930.8;2895.0;false;61.5;2960.6;2880.9;2932.6;2898.1;2909.2;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;2954.2;2948.0;true;true;;;;;;;0.5;0.0;0.2;-0.3;1.0;Medium Downtrend;;false;true;75.2;0.8
