date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2017-05-17;1847.8;1827.3;1838.2;1831.2;1832.6;1832.0;false;20.5;1853.1;1806.1;1852.0;1813.0;1822.0;true;true;true;true;true;false;false;;1495033800000000;1495033800000000;11:00 - 11:15;false;true;true;1828.0;1853.1;1806.1;1847.1;1847.1;1806.1;1495041000000000;1495043700000000;true;13:45 - 14:00;13:00 - 13:15;1779.4;1807.0;false;false;-1.0;-3.5;0.9;2.2;-1.1;0.9;0.2;0.2;-0.3;-1.1;1.2;Medium Uptrend;Strong Uptrend;true;true;26.7;0.8
2017-05-18;1843.2;1815.9;1840.9;1816.0;1816.0;1830.8;true;27.3;1877.3;1830.3;1876.6;1830.8;1865.0;true;false;true;false;true;true;true;1495118400000000;;1495118400000000;10:30 - 10:45;true;true;true;1830.3;1837.3;1839.2;1877.3;1839.2;1877.3;1495118700000000;1495125600000000;true;12:30 - 12:45;10:45 - 11:00;1813.1;;false;;2.2;2.4;0.9;1.0;2.3;0.9;0.1;0.6;1.8;0.6;2.3;;;;;;
2017-05-19;1960.0;1942.3;1953.0;1948.3;1952.8;1950.2;false;17.7;1961.6;1876.6;1956.4;1906.7;1934.0;true;true;false;true;true;true;false;;1495210200000000;1495210200000000;12:00 - 12:15;false;true;true;1876.6;1961.6;1900.5;1943.8;1943.8;1900.5;1495210800000000;1495219500000000;true;14:45 - 15:00;12:15 - 12:30;1896.7;1906.5;false;false;-2.3;-10.1;0.0;-1.0;-2.4;0.0;0.5;0.4;-0.5;-3.8;1.0;;;;;;
2017-05-22;2228.0;2107.6;2145.9;2124.4;2124.4;2139.6;true;120.4;2298.0;2129.2;2244.7;2140.2;2157.4;true;false;true;false;true;true;true;1495476600000000;;1495476600000000;14:00 - 14:15;true;true;false;2132.6;2281.0;2129.2;2298.0;2179.3;2298.0;1495476900000000;1495476900000000;true;14:15 - 14:30;14:15 - 14:30;2032.0;2065.5;false;false;1.5;8.0;0.6;2.6;1.6;0.2;0.2;0.3;0.5;0.2;1.6;Weak Uptrend;Strong Uptrend;false;true;99.8;1.2
2017-05-23;2258.9;2177.2;2240.0;2188.7;2221.7;2222.1;true;81.7;2269.6;2173.2;2268.5;2185.1;2233.1;true;true;true;false;true;true;false;;;;;false;true;false;;;;;;;;;false;;;2104.6;2170.0;false;false;;;;;;;0.5;0.5;0.6;-0.1;1.1;Medium Uptrend;Medium Uptrend;false;false;46.6;1.8
2017-05-24;2383.3;2311.7;2383.3;2318.8;2383.3;2319.0;false;71.6;2435.0;2314.8;2430.3;2317.3;2429.8;true;false;true;false;true;true;true;1495640100000000;;1495640100000000;11:30 - 11:45;true;true;true;2314.8;2400.0;2334.4;2435.0;2334.4;2435.0;1495640700000000;1495648500000000;true;13:45 - 14:00;11:45 - 12:00;2256.2;2309.0;false;false;1.7;1.8;0.4;0.3;1.8;0.4;1.0;0.2;1.7;0.1;1.8;Medium Uptrend;Strong Uptrend;true;true;35.9;2.0
2017-05-25;2799.0;2682.4;2775.2;2688.9;2716.6;2697.5;false;116.6;2794.7;2205.8;2747.9;2253.6;2425.9;false;true;false;true;true;true;true;;1495725600000000;1495725600000000;11:15 - 11:30;false;true;true;2690.8;2794.7;2205.8;2694.8;2694.8;2205.8;1495728600000000;1495733100000000;true;13:15 - 13:30;12:00 - 12:15;2420.5;2566.4;false;false;-4.0;-5.5;0.1;0.0;-4.1;0.1;0.2;0.1;-2.2;-4.1;0.9;Strong Uptrend;Strong Uptrend;true;true;97.1;1.2
2017-05-26;2500.0;2324.0;2499.2;2356.8;2497.1;2381.8;false;176.0;2458.6;2241.4;2454.3;2241.6;2241.6;false;true;false;true;true;true;true;;1495819800000000;1495819800000000;13:30 - 13:45;false;true;true;2348.4;2458.6;2241.4;2326.6;2326.6;2241.4;1495820700000000;1495821300000000;true;13:45 - 14:00;13:45 - 14:00;2329.2;2450.5;true;false;-0.4;-0.8;0.0;-0.3;-0.5;0.0;0.9;0.3;-0.5;-0.5;0.7;Medium Downtrend;Strong Uptrend;true;true;115.9;1.5
2017-05-29;2250.2;2201.6;2241.6;2210.1;2240.1;2212.2;false;48.6;2340.5;2207.0;2334.4;2212.1;2334.4;true;false;true;false;true;true;true;1496069700000000;;1496069700000000;10:45 - 11:00;true;true;true;2210.0;2263.8;2207.0;2340.5;2207.0;2340.5;1496073600000000;1496085300000000;true;15:15 - 15:30;12:00 - 12:15;2179.5;2212.5;false;false;2.8;4.1;0.2;-0.0;2.9;0.2;0.8;0.3;2.8;0.2;2.9;Contraction;Weak Uptrend;true;true;69.6;0.7
2017-05-30;2297.0;2248.9;2293.8;2256.9;2287.9;2256.9;false;48.1;2273.6;2219.0;2271.8;2223.5;2242.4;false;true;false;true;true;true;true;;1496154900000000;1496154900000000;10:30 - 10:45;false;true;true;2250.0;2257.2;2219.0;2273.6;2258.0;2219.0;1496157000000000;1496159100000000;true;11:45 - 12:00;11:00 - 11:15;2275.0;2294.7;false;true;-0.6;-1.0;0.1;0.0;-0.7;0.5;0.8;0.1;-0.2;-0.7;0.5;Weak Downtrend;Contraction;false;false;45.0;1.1
2017-05-31;2239.9;2204.9;2235.5;2208.0;2208.0;2220.4;true;35.0;2335.7;2217.1;2331.9;2218.9;2296.0;true;false;true;false;true;true;true;1496242800000000;;1496242800000000;11:00 - 11:15;true;true;true;2217.1;2230.0;2242.7;2335.7;2242.7;2335.7;1496243100000000;1496253600000000;false;14:00 - 14:15;11:00 - 11:15;2191.4;2184.7;false;false;3.7;4.6;1.1;1.3;3.8;1.1;0.1;0.5;2.7;0.4;3.8;Contraction;Medium Uptrend;false;true;56.0;0.6
2017-06-01;2469.0;2426.8;2463.8;2440.3;2449.9;2440.3;false;42.2;2459.4;2319.7;2452.7;2325.0;2385.7;false;true;false;true;true;true;true;;1496328900000000;1496328900000000;10:45 - 11:00;false;true;true;2426.2;2459.4;2319.7;2424.5;2424.5;2319.7;1496329200000000;1496337000000000;false;13:00 - 13:15;11:00 - 11:15;2303.5;2375.9;false;false;-2.5;-5.1;-0.1;-0.7;-2.6;-0.1;0.5;0.3;-1.0;-2.6;0.7;Strong Uptrend;Strong Uptrend;true;true;23.6;1.8
