date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2012-03-02;39.33;39.28;39.33;39.29;39.32;39.33;true;0.05;3.948;3.914;3.948;3.921;3.938;false;true;false;true;true;true;true;;1330646400000000;1330646400000000;09:00 - 09:30;false;true;true;;;3.914;3.948;3.934;3.914;1330647300000000;1330650000000000;false;10:00 - 10:30;09:00 - 09:30;-707.3;-707.0;-707.4;-706.7;0.8;1.0;-706.9;-707.4;-706.7
2012-03-05;3.908;3.9008;3.9049;3.9028;3.9028;3.9038;true;0.0072;3.9309;3.8937;3.929;3.8949;3.8949;true;true;true;true;true;false;false;1330907400000000;1330924500000000;1330907400000000;09:30 - 10:00;true;false;false;3.9048;3.909;3.8937;3.9309;3.9119;3.9309;1330908300000000;1330910100000000;false;10:00 - 10:30;09:30 - 10:00;4.1;1.6;4.2;-0.9;0.3;0.5;-0.8;-0.9;4.2
2012-03-06;3.8739;3.8647;3.8727;3.8647;3.8647;3.8727;true;0.0092;3.882;3.8367;3.8769;3.8369;3.8389;true;true;true;true;true;false;false;1330994700000000;1330998300000000;1330994700000000;09:30 - 10:00;true;false;false;3.8697;3.8768;3.8367;3.882;3.8667;3.882;1330995600000000;1330995600000000;true;10:00 - 10:30;10:00 - 10:30;1.8;0.3;1.9;-3.0;0.0;0.9;-2.8;-3.0;1.9
2012-03-07;3.744;3.7398;3.7438;3.7408;3.7428;3.7408;false;0.0042;3.77;3.7348;3.769;3.7348;3.76;true;true;true;true;true;false;false;1331082000000000;1331078400000000;1331078400000000;09:00 - 09:30;false;false;false;;;3.7348;3.77;3.7399;3.7348;1331079300000000;1331080200000000;true;09:30 - 10:00;09:00 - 09:30;-1.1;0.0;-1.2;7.1;0.7;0.2;4.8;-1.2;7.1
2012-03-08;3.775;3.7698;3.7739;3.7699;3.7699;3.7708;true;0.0052;3.7899;3.764;3.7888;3.7669;3.7839;true;true;true;true;true;false;false;1331175600000000;1331171100000000;1331171100000000;10:30 - 11:00;false;false;false;3.7698;3.7779;3.764;3.7899;3.7729;3.764;1331173800000000;1331173800000000;true;11:30 - 12:00;11:30 - 12:00;-1.1;0.5;-1.2;3.8;0.0;0.1;2.7;-1.2;3.8
2012-03-09;3.7989;3.7969;3.7989;3.797;3.7989;3.7987;false;0.002;3.822;3.7889;3.82;3.7948;3.819;true;true;true;true;true;false;false;1331255700000000;1331253000000000;1331253000000000;09:30 - 10:00;false;false;false;3.7958;3.8;3.7889;3.822;3.799;3.7889;1331254800000000;1331254800000000;true;10:00 - 10:30;10:00 - 10:30;-3.9;1.0;-4.0;12.5;1.0;0.9;11.0;-4.0;12.5
2012-03-12;3.8619;3.8578;3.8608;3.859;3.859;3.8598;true;0.0041;3.861;3.8347;3.8589;3.8378;3.838;false;true;false;true;true;true;true;;1331513100000000;1331513100000000;09:30 - 10:00;false;true;true;3.8556;3.86;3.8347;3.861;3.861;3.8347;1331514000000000;1331519400000000;true;11:30 - 12:00;10:00 - 10:30;-5.6;0.7;-5.7;0.7;0.2;0.4;-4.9;-5.7;0.7
2012-03-13;3.85;3.8448;3.8489;3.8448;3.8448;3.8477;true;0.0052;3.8689;3.8417;3.8669;3.8418;3.862;true;true;true;true;true;false;false;1331604000000000;1331597700000000;1331597700000000;09:00 - 09:30;false;false;false;3.8418;3.8469;3.8417;3.8689;3.845;3.8417;1331599500000000;1331599500000000;true;09:30 - 10:00;09:30 - 10:00;-0.5;0.0;-0.6;4.6;0.0;0.5;3.3;-0.6;4.6
2012-03-14;3.9109;3.9088;3.9109;3.909;3.9109;3.9098;false;0.0021;3.9109;3.8829;3.909;3.8859;3.8889;false;true;false;true;true;true;true;;1331683200000000;1331683200000000;09:00 - 09:30;false;true;true;;;3.8829;3.9109;3.9109;3.8829;1331686800000000;1331693100000000;true;11:30 - 12:00;10:00 - 10:30;-12.3;1.0;-12.4;1.0;1.0;0.4;-9.5;-12.4;1.0
2012-03-15;3.836;3.8337;3.836;3.8348;3.8348;3.8359;true;0.0023;3.8439;3.8278;3.842;3.83;3.835;true;true;true;true;true;false;false;1331769600000000;1331773200000000;1331769600000000;09:00 - 09:30;true;false;false;;;3.8278;3.8439;3.8278;3.8439;1331774100000000;1331775000000000;true;10:30 - 11:00;10:00 - 10:30;4.4;-2.5;4.5;-2.5;0.5;1.0;0.6;-2.5;4.5
