date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2012-03-01;38.52;38.37;38.5;38.39;38.42;38.5;true;0.15;39.13;38.29;39.12;38.51;39.12;true;true;true;false;true;true;false;1330590600000000;;1330590600000000;03:30 - 03:45;true;true;true;;;38.29;39.13;38.29;39.13;1330594200000000;1330607700000000;true;08:15 - 08:30;04:30 - 04:45;38.72;38.74;false;false;5.0;6.7;-0.5;-0.9;5.1;-0.5;0.4;0.9;5.0;-0.5;5.1;;;;;;
2012-03-02;3.926;3.917;3.925;3.917;3.919;3.917;false;0.009;3.944;3.905;3.94;3.908;3.915;true;true;true;true;true;false;false;1330686000000000;1330677000000000;1330677000000000;03:30 - 03:45;false;false;true;;;3.906;3.944;3.944;3.906;1330687800000000;1330691400000000;true;07:30 - 07:45;06:30 - 06:45;3.934;3.932;false;false;-1.2;-1.3;2.9;3.3;-1.3;2.9;0.2;0.0;-0.3;-1.4;2.9;Strong Downtrend;Contraction;false;true;0.05;0.2
2012-03-05;3.8959;3.8819;3.8959;3.8838;3.8838;3.8839;true;0.014;3.888;3.8619;3.885;3.8638;3.8749;false;true;false;true;true;true;true;;1330937100000000;1330937100000000;03:45 - 04:00;false;true;true;3.8819;3.888;3.8619;3.886;3.8788;3.8619;1330938000000000;1330938000000000;false;04:00 - 04:15;04:00 - 04:15;3.9048;3.9039;false;false;-1.4;-1.8;-0.3;-0.5;-1.5;0.2;0.1;0.1;-0.5;-1.5;0.4;Strong Downtrend;Contraction;true;false;0.0072;1.9
2012-03-06;3.836;3.8257;3.8328;3.8267;3.8278;3.8267;false;0.0103;3.8289;3.757;3.8259;3.7639;3.7639;false;true;false;true;true;true;true;;1331025300000000;1331025300000000;04:15 - 04:30;false;true;true;3.8218;3.8289;3.757;3.812;3.812;3.757;1331026200000000;1331039700000000;false;08:15 - 08:30;04:30 - 04:45;3.8719;3.8378;false;false;-6.6;-11.4;-1.4;-2.5;-6.7;-1.4;0.2;0.0;-6.0;-6.7;0.3;Strong Downtrend;Medium Uptrend;true;false;0.0092;1.1
2012-03-07;3.762;3.7519;3.7579;3.7559;3.7569;3.7559;false;0.0101;3.7849;3.7239;3.782;3.7269;3.7269;true;true;true;true;true;false;false;1331114400000000;1331109000000000;1331109000000000;03:30 - 03:45;false;false;true;;;3.7239;3.7849;3.737;3.7239;1331109900000000;1331109900000000;false;03:45 - 04:00;03:45 - 04:00;3.7419;3.7609;false;true;-2.7;-16.0;-1.5;-9.5;-2.8;3.2;0.4;0.3;-2.5;-2.8;3.2;Strong Uptrend;Strong Downtrend;false;false;0.0042;2.4
2012-03-08;3.808;3.7908;3.8048;3.7918;3.7918;3.8048;true;0.0172;3.8299;3.7878;3.8269;3.7929;3.8028;true;true;true;false;true;true;false;1331199000000000;;1331199000000000;04:30 - 04:45;true;true;false;3.7878;3.809;3.7968;3.8299;3.8098;3.8299;1331199900000000;1331204400000000;false;06:00 - 06:15;04:45 - 05:00;3.7719;3.7888;false;false;2.2;2.9;1.2;1.4;2.3;0.4;0.1;0.9;0.7;-0.1;2.3;Strong Uptrend;Strong Uptrend;false;false;0.0052;3.3
2012-03-09;3.8168;3.7958;3.8099;3.8029;3.8078;3.8099;true;0.021;3.82;3.7988;3.8158;3.8008;3.8158;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;3.7968;3.8158;true;true;;;;;;;0.5;0.6;0.9;0.1;1.1;Expansion;Contraction;false;false;0.002;10.5
2012-03-12;3.847;3.8357;3.8438;3.8388;3.842;3.8438;true;0.0113;3.848;3.821;3.8479;3.8228;3.8228;true;true;true;true;true;false;false;;1331541000000000;1331541000000000;04:30 - 04:45;false;true;true;3.8349;3.848;3.821;3.847;3.847;3.821;1331544600000000;1331554500000000;true;08:15 - 08:30;05:30 - 05:45;3.8589;3.8468;false;true;-1.3;-3.5;1.0;1.6;-1.4;1.0;0.5;0.7;-1.2;-1.4;1.0;Strong Downtrend;Strong Uptrend;false;true;0.0041;2.8
2012-03-13;3.8739;3.8667;3.8709;3.8669;3.8699;3.8709;true;0.0072;3.894;3.8698;3.888;3.872;3.8749;true;false;true;false;true;true;true;1331623800000000;;1331623800000000;03:30 - 03:45;true;true;true;;;3.8698;3.894;3.8698;3.894;1331626500000000;1331631900000000;true;05:45 - 06:00;04:15 - 04:30;3.8469;3.8659;false;false;3.7;6.7;0.5;0.8;3.8;0.5;0.5;0.6;1.2;0.5;3.8;Strong Uptrend;Medium Uptrend;false;false;0.0052;1.4
2012-03-14;3.8709;3.8579;3.8678;3.8579;3.8579;3.8639;true;0.013;3.877;3.847;3.8728;3.8569;3.8578;true;true;true;true;true;false;false;1331715600000000;1331727300000000;1331715600000000;05:00 - 05:15;true;false;false;3.859;3.8719;3.847;3.877;3.8709;3.877;1331716500000000;1331716500000000;false;05:15 - 05:30;05:15 - 05:30;3.909;3.8929;false;false;1.4;1.9;1.0;1.4;1.5;-0.8;0.0;0.5;-0.0;-0.8;1.5;Strong Downtrend;Strong Uptrend;false;true;0.0021;6.2
2012-03-15;3.857;3.8419;3.853;3.847;3.847;3.8529;true;0.0151;3.867;3.845;3.8639;3.8468;3.8568;true;false;true;false;true;true;true;1331803800000000;;1331803800000000;05:30 - 05:45;true;true;false;3.845;3.861;3.8468;3.867;3.8468;3.867;1331808300000000;1331811000000000;true;07:30 - 07:45;06:45 - 07:00;3.8369;3.8399;false;false;1.6;3.3;0.4;-0.0;1.7;0.4;0.4;0.8;1.0;0.3;1.7;Strong Uptrend;Strong Downtrend;true;false;0.0023;6.6
2012-03-16;3.889;3.8819;3.887;3.884;3.8857;3.887;true;0.0071;3.911;3.8848;3.9089;3.8859;3.9039;true;false;true;false;true;true;true;1331884800000000;;1331884800000000;04:00 - 04:15;true;true;true;3.8848;3.896;3.8889;3.911;3.8889;3.911;1331885700000000;1331885700000000;true;04:15 - 04:30;04:15 - 04:30;3.8879;3.8849;true;true;4.0;8.9;1.0;1.7;4.1;1.0;0.6;0.8;3.1;0.5;4.1;Weak Downtrend;Strong Uptrend;false;false;0.0043;1.7
2012-03-19;3.8729;3.8668;3.8718;3.8698;3.8698;3.8699;true;0.0061;3.9;3.8538;3.899;3.8589;3.899;true;true;true;true;true;false;false;1332152100000000;1332144900000000;1332144900000000;04:15 - 04:30;false;false;false;3.8668;3.872;3.8538;3.9;3.8629;3.8538;1332145800000000;1332145800000000;false;04:30 - 04:45;04:30 - 04:45;3.8758;;false;;-2.1;-8.0;-0.7;-3.5;-2.2;5.4;0.4;0.5;5.2;-2.2;5.4;Medium Downtrend;Strong Downtrend;true;false;0.0041;1.5
2012-03-20;3.891;3.8858;3.8889;3.8879;3.8879;3.888;true;0.0052;3.888;3.8128;3.887;3.8179;3.8187;false;true;false;true;true;true;true;;1332228600000000;1332228600000000;03:30 - 03:45;false;true;true;;;3.8128;3.8869;3.8869;3.8128;1332234000000000;1332245700000000;true;08:15 - 08:30;05:00 - 05:15;3.899;3.8799;false;false;-14.0;-75.1;0.2;-1.1;-14.1;0.2;0.4;0.4;-13.0;-14.1;0.4;Strong Downtrend;Contraction;false;false;0.0031;1.7
2012-03-21;3.861;3.8508;3.8609;3.8508;3.8609;3.8508;false;0.0102;3.8599;3.8348;3.857;3.837;3.8399;false;true;false;true;true;true;true;;1332315900000000;1332315900000000;03:45 - 04:00;false;true;true;3.8498;3.8549;3.8348;3.8599;3.8599;3.8348;1332318600000000;1332327600000000;true;07:00 - 07:15;04:30 - 04:45;3.8468;3.8529;false;false;-1.5;-1.5;0.8;0.9;-1.6;0.8;0.9;0.0;-1.1;-1.6;0.8;Strong Uptrend;Strong Uptrend;true;true;0.002;5.1
2012-03-22;3.816;3.8078;3.8129;3.8078;3.8079;3.8078;false;0.0082;3.8108;3.7598;3.808;3.7628;3.765;false;true;false;true;true;true;true;;1332401400000000;1332401400000000;03:30 - 03:45;false;true;true;;;3.7598;3.8108;3.8108;3.7598;1332402300000000;1332418500000000;true;08:15 - 08:30;03:45 - 04:00;3.843;3.814;false;true;-5.8;-9.4;0.3;0.5;-5.9;0.3;0.0;0.0;-5.3;-5.9;0.3;Strong Downtrend;Strong Downtrend;true;false;0.0032;2.6
2012-03-23;3.8089;3.7998;3.8059;3.7998;3.8019;3.8059;true;0.0091;3.824;3.788;3.8189;3.7889;3.7978;true;true;true;true;true;false;false;1332491400000000;1332501300000000;1332491400000000;04:30 - 04:45;true;false;false;3.7997;3.81;3.788;3.824;3.8138;3.824;1332492300000000;1332493200000000;false;05:00 - 05:15;04:45 - 05:00;3.7848;3.794;false;false;2.6;3.9;1.6;2.3;2.7;-1.2;0.3;0.7;-0.2;-1.2;2.7;Strong Uptrend;Strong Uptrend;true;true;0.0051;1.8
2012-03-26;3.819;3.8107;3.815;3.812;3.8129;3.812;false;0.0083;3.858;3.7939;3.8549;3.7967;3.8539;true;true;true;true;true;false;false;1332759600000000;1332747000000000;1332747000000000;03:30 - 03:45;false;false;false;;;3.7939;3.858;3.8129;3.7939;1332748800000000;1332751500000000;true;04:45 - 05:00;04:00 - 04:15;3.812;3.8239;false;false;-2.0;-6.0;0.2;0.3;-2.1;5.6;0.2;0.1;5.2;-2.1;5.6;Weak Uptrend;Strong Uptrend;true;true;0.007;1.2
2012-03-27;3.887;3.8768;3.8858;3.8789;3.8848;3.8789;false;0.0102;3.9029;3.8549;3.8979;3.8589;3.8678;true;true;true;true;true;false;false;1332834300000000;1332846000000000;1332834300000000;03:45 - 04:00;true;false;false;3.8758;3.88;3.8549;3.9029;3.89;3.9029;1332835200000000;1332835200000000;false;04:00 - 04:15;04:00 - 04:15;3.8888;3.8748;false;false;2.5;3.4;1.3;1.7;2.6;-2.1;0.8;0.3;-0.8;-2.1;2.6;Strong Downtrend;Strong Uptrend;false;true;0.0023;4.4
2012-03-28;3.85;3.8397;3.848;3.8397;3.8397;3.848;true;0.0103;3.856;3.8099;3.8539;3.8159;3.818;true;true;true;true;true;false;false;1332919800000000;1332927900000000;1332919800000000;03:30 - 03:45;true;false;false;;;3.8099;3.856;3.8499;3.856;1332920700000000;1332920700000000;true;03:45 - 04:00;03:45 - 04:00;3.8659;3.8589;false;false;1.5;1.9;1.0;1.3;1.6;-2.8;0.0;0.9;-2.1;-2.8;1.6;Strong Downtrend;Strong Downtrend;false;true;0.0022;4.7
2012-03-29;3.801;3.7889;3.793;3.7918;3.793;3.7918;false;0.0121;3.8039;3.7638;3.8038;3.7669;3.787;true;true;true;true;true;false;false;1333008000000000;1333012500000000;1333008000000000;04:00 - 04:15;true;false;false;3.7888;3.798;3.7638;3.8039;3.7988;3.8039;1333008900000000;1333008900000000;true;04:15 - 04:30;04:15 - 04:30;3.8119;3.7958;false;true;1.2;10.0;0.9;5.9;1.3;-2.0;0.4;0.3;-0.1;-2.0;1.3;Strong Downtrend;Medium Uptrend;false;true;0.0063;1.9
2012-03-30;3.829;3.8117;3.8269;3.8149;3.8149;3.8269;true;0.0173;3.8439;3.8118;3.8399;3.816;3.8309;true;false;true;false;true;true;true;1333107000000000;;1333107000000000;07:30 - 07:45;true;true;true;3.8118;3.8318;3.8298;3.842;3.8349;3.842;1333107900000000;1333107900000000;false;07:45 - 08:00;07:45 - 08:00;3.8088;3.808;false;false;1.7;2.2;1.4;1.7;1.8;1.1;0.2;0.9;1.2;0.1;1.9;Strong Uptrend;Strong Uptrend;true;false;0.0042;4.1
2012-04-02;3.86;3.8458;3.8589;3.8508;3.8529;3.8508;false;0.0142;3.859;3.8278;3.8569;3.8358;3.8439;false;true;false;true;true;true;true;;1333355400000000;1333355400000000;04:30 - 04:45;false;true;true;3.8478;3.859;3.8278;3.8538;3.8538;3.8278;1333359900000000;1333367100000000;true;07:45 - 08:00;05:45 - 06:00;3.8589;3.861;true;false;-1.2;-2.8;0.5;0.3;-1.3;0.5;0.5;0.3;-0.2;-1.3;0.9;Medium Downtrend;Strong Uptrend;false;false;0.0031;4.6
2012-04-03;3.946;3.9398;3.9449;3.9428;3.9449;3.9439;false;0.0062;3.945;3.8929;3.9428;3.8958;3.9129;false;true;false;true;true;true;true;;1333439100000000;1333439100000000;03:45 - 04:00;false;true;true;3.9367;3.945;3.8929;3.937;3.937;3.8929;1333440000000000;1333453500000000;false;07:45 - 08:00;04:00 - 04:15;3.9159;3.9129;false;false;-7.5;-23.7;-0.5;-2.8;-7.6;-0.5;0.8;0.6;-4.4;-7.6;0.8;Strong Uptrend;Strong Uptrend;true;false;0.003;2.1
2012-04-04;3.8798;3.8659;3.8778;3.8689;3.8778;3.872;false;0.0139;3.874;3.8258;3.8709;3.833;3.833;false;true;false;true;true;true;true;;1333528200000000;1333528200000000;04:30 - 04:45;false;true;true;3.8639;3.874;3.8258;3.8608;3.8608;3.8258;1333536300000000;1333541700000000;false;08:15 - 08:30;06:45 - 07:00;3.8859;3.8639;false;false;-2.8;-4.8;-0.4;-1.0;-2.9;-0.4;0.8;0.4;-2.4;-2.9;0.5;Strong Downtrend;Strong Downtrend;false;true;0.0063;2.2
2012-04-05;3.8109;3.8008;3.8079;3.8038;3.8059;3.8038;false;0.0101;3.8109;3.7738;3.8068;3.7769;3.8;false;true;false;true;true;true;true;;1333611000000000;1333611000000000;03:30 - 03:45;false;true;true;;;3.7738;3.8109;3.8109;3.7738;1333612800000000;1333619100000000;true;05:45 - 06:00;04:00 - 04:15;3.803;3.8039;true;false;-2.6;-7.3;1.0;1.7;-2.7;1.0;0.5;0.2;-0.1;-2.7;1.0;Weak Uptrend;Strong Downtrend;true;false;0.004;2.5
2012-04-09;3.779;3.775;3.7789;3.775;3.775;3.7788;true;0.004;3.783;3.7229;3.7799;3.7288;3.7288;true;true;true;true;true;false;false;;1333956600000000;1333956600000000;03:30 - 03:45;false;true;true;;;3.7229;3.7798;3.7798;3.7229;1333958400000000;1333973700000000;true;08:15 - 08:30;04:00 - 04:15;3.7879;3.796;false;false;-13.0;-13.3;1.1;1.2;-13.1;1.1;0.0;0.9;-11.6;-13.1;2.0;Strong Downtrend;Strong Downtrend;false;false;0.0052;0.8
2012-04-10;3.751;3.7408;3.748;3.7428;3.7428;3.7449;true;0.0102;3.745;3.7148;3.7439;3.7169;3.7359;false;true;false;true;true;true;true;;1334043000000000;1334043000000000;03:30 - 03:45;false;true;true;;;3.7148;3.744;3.744;3.7148;1334046600000000;1334055600000000;true;07:00 - 07:15;04:30 - 04:45;3.726;3.7519;false;false;-2.5;-5.3;0.3;0.2;-2.6;0.3;0.1;0.4;-0.5;-2.6;0.4;Strong Uptrend;Contraction;true;true;0.0051;2.0
2012-04-11;3.659;3.648;3.6578;3.649;3.6569;3.6578;true;0.011;3.6679;3.6289;3.6609;3.6339;3.6428;true;true;true;true;true;false;false;1334138400000000;1334130300000000;1334130300000000;03:45 - 04:00;false;false;true;3.6498;3.662;3.6289;3.6679;3.641;3.6289;1334131200000000;1334131200000000;false;04:00 - 04:15;04:00 - 04:15;3.6649;3.6539;false;true;-1.7;-2.2;-0.7;-1.0;-1.8;1.8;0.8;0.8;-0.5;-1.8;1.8;Strong Downtrend;Strong Downtrend;false;true;0.0072;1.5
2012-04-12;3.677;3.6698;3.6748;3.6718;3.6729;3.6718;false;0.0072;3.69;3.6599;3.6879;3.6639;3.6808;true;true;true;true;true;false;false;1334225700000000;1334215800000000;1334215800000000;03:30 - 03:45;false;false;false;;;3.6599;3.69;3.666;3.6599;1334216700000000;1334216700000000;false;03:45 - 04:00;03:45 - 04:00;3.6449;3.6559;false;false;-1.3;-3.9;-0.6;-2.0;-1.4;2.8;0.4;0.2;1.5;-1.4;2.8;Strong Uptrend;Contraction;true;true;0.0051;1.4
2012-04-13;3.6889;3.6789;3.6849;3.6809;3.6809;3.6809;false;0.01;3.683;3.6498;3.6799;3.655;3.655;false;true;false;true;true;true;true;;1334302200000000;1334302200000000;03:30 - 03:45;false;true;true;;;3.6498;3.683;3.683;3.6498;1334316600000000;1334319300000000;true;08:15 - 08:30;07:30 - 07:45;3.7148;3.6888;false;true;-2.9;-7.7;0.4;0.5;-3.0;0.4;0.1;0.1;-2.4;-3.0;0.4;Strong Downtrend;Strong Uptrend;true;false;0.003;3.3
2012-04-16;3.5799;3.5678;3.5799;3.5709;3.5719;3.5799;true;0.0121;3.62;3.5729;3.6178;3.5739;3.6178;true;false;true;false;true;true;true;1334563200000000;;1334563200000000;04:00 - 04:15;true;true;true;3.5729;3.583;3.5798;3.62;3.5798;3.62;1334564100000000;1334576700000000;true;07:45 - 08:00;04:15 - 04:30;3.6059;3.585;false;false;4.3;5.4;1.0;1.0;4.4;1.0;0.4;1.0;4.2;0.5;4.4;Strong Downtrend;Strong Downtrend;false;true;0.0102;1.2
2012-04-17;3.604;3.5838;3.6019;3.5868;3.5868;3.6019;true;0.0202;3.6359;3.5958;3.6349;3.597;3.6228;true;false;true;false;true;true;true;1334648700000000;;1334648700000000;03:45 - 04:00;true;true;true;3.5968;3.606;3.5958;3.6359;3.5958;3.6359;1334650500000000;1334662200000000;true;07:30 - 07:45;04:15 - 04:30;3.6209;3.61;false;false;2.5;3.2;0.6;0.6;2.6;0.6;0.2;0.9;2.0;0.6;2.6;Strong Downtrend;Contraction;true;false;0.0033;6.1
2012-04-18;3.665;3.6519;3.6649;3.6528;3.6649;3.6528;false;0.0131;3.661;3.6248;3.6598;3.6288;3.633;false;true;false;true;true;true;true;;1334738700000000;1334738700000000;04:45 - 05:00;false;true;true;3.6498;3.661;3.6248;3.651;3.651;3.6248;1334740500000000;1334748600000000;false;07:30 - 07:45;05:15 - 05:30;3.6438;3.6598;false;false;-2.0;-2.3;-0.1;-0.2;-2.1;-0.1;0.9;0.0;-1.5;-2.1;0.6;Strong Uptrend;Strong Uptrend;false;false;0.0049;2.7
2012-04-19;3.6519;3.6348;3.65;3.6379;3.6379;3.65;true;0.0171;3.6538;3.6088;3.6528;3.6128;3.617;true;true;true;true;true;false;false;1334822400000000;1334830500000000;1334822400000000;04:00 - 04:15;true;false;false;3.6428;3.653;3.6088;3.6538;3.6408;3.6538;1334824200000000;1334824200000000;true;04:30 - 04:45;04:30 - 04:45;3.627;3.6309;false;false;1.1;1.3;0.4;0.3;1.2;-1.5;0.2;0.9;-1.0;-1.5;1.2;Strong Uptrend;Contraction;true;false;0.004;4.3
2012-04-20;3.6439;3.6329;3.6419;3.638;3.638;3.6399;true;0.011;3.6818;3.6349;3.6779;3.6378;3.6779;true;false;true;false;true;true;true;1334908800000000;;1334908800000000;04:00 - 04:15;true;true;true;3.6349;3.6458;3.6349;3.6818;3.6349;3.6818;1334912400000000;1334924100000000;true;08:15 - 08:30;05:00 - 05:15;3.628;3.6379;false;true;4.4;11.2;0.2;-0.7;4.5;0.2;0.5;0.7;4.1;0.2;4.5;Strong Uptrend;Contraction;false;false;0.0031;3.5
2012-04-23;3.6489;3.6328;3.6488;3.6348;3.6488;3.6379;false;0.0161;3.647;3.6068;3.6449;3.6098;3.6109;false;true;false;true;true;true;true;;1335166200000000;1335166200000000;03:30 - 03:45;false;true;true;;;3.6068;3.647;3.647;3.6068;1335168900000000;1335183300000000;true;08:15 - 08:30;04:15 - 04:30;3.69;3.6619;false;false;-1.6;-1.9;0.8;0.8;-1.7;0.8;0.9;0.3;-1.4;-1.7;0.8;Strong Downtrend;Medium Uptrend;false;true;0.0042;3.8
2012-04-24;3.66;3.6509;3.657;3.6509;3.6509;3.657;true;0.0091;3.671;3.6499;3.6709;3.6519;3.6638;true;true;true;false;true;true;false;1335255300000000;;1335255300000000;04:15 - 04:30;true;true;true;3.6559;3.664;3.6499;3.671;3.6499;3.671;1335262500000000;1335267900000000;true;07:45 - 08:00;06:15 - 06:30;3.6278;3.6368;false;false;2.2;3.2;-0.1;-0.1;2.3;-0.1;0.0;0.7;1.5;-0.1;2.3;Strong Uptrend;Strong Uptrend;false;false;0.0023;4.0
2012-04-25;3.68;3.6679;3.6789;3.6699;3.6699;3.6789;true;0.0121;3.713;3.6748;3.7089;3.6769;3.7068;true;false;true;false;true;true;true;1335339000000000;;1335339000000000;03:30 - 03:45;true;true;true;;;3.6748;3.713;3.6748;3.713;1335340800000000;1335354300000000;true;07:45 - 08:00;04:00 - 04:15;3.6819;3.671;false;false;3.7;4.7;0.6;0.6;3.8;0.6;0.2;1.0;3.3;0.6;3.8;Medium Downtrend;Strong Uptrend;false;true;0.0051;2.4
2012-04-26;3.726;3.7148;3.7249;3.717;3.7178;3.7249;true;0.0112;3.745;3.7188;3.7408;3.721;3.7408;true;false;true;false;true;true;true;1335425400000000;;1335425400000000;03:30 - 03:45;true;true;true;;;3.7188;3.745;3.7188;3.745;1335432600000000;1335442500000000;true;08:15 - 08:30;05:30 - 05:45;3.7059;3.696;false;false;2.6;3.5;0.4;0.3;2.7;0.4;0.3;1.0;2.4;0.4;2.7;Strong Uptrend;Contraction;false;true;0.0041;2.7
