date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2012-03-01;38.64;38.37;38.6;38.39;38.42;38.6;true;0.27;39.13;38.29;39.12;38.61;39.12;true;true;true;false;true;true;false;1330592400000000;;1330592400000000;04:00 - 04:30;true;true;true;;;38.29;39.13;38.29;39.13;1330594200000000;1330607700000000;true;08:00 - 08:30;04:30 - 05:00;2.8;-0.2;2.9;-0.2;0.2;0.9;2.8;-0.2;2.9
2012-03-02;3.926;3.905;3.925;3.908;3.919;3.911;false;0.021;3.944;3.906;3.94;3.909;3.915;true;false;true;false;true;true;true;1330686000000000;;1330686000000000;06:00 - 06:30;true;true;false;3.91;3.927;3.906;3.944;3.929;3.944;1330686900000000;1330687800000000;false;06:30 - 07:00;06:00 - 06:30;1.8;1.2;1.9;0.1;0.7;0.3;0.5;0.1;1.9
2012-03-05;3.8959;3.8778;3.8959;3.8778;3.8838;3.8778;false;0.0181;3.886;3.8619;3.883;3.8638;3.8749;false;true;false;true;true;true;true;;1330938000000000;1330938000000000;04:00 - 04:30;false;true;true;;;3.8629;3.886;3.869;3.8629;1330938900000000;1330938900000000;false;04:00 - 04:30;04:00 - 04:30;-0.8;-0.5;-0.9;0.4;0.3;0.0;-0.2;-0.9;0.4
2012-03-06;3.836;3.8219;3.8328;3.8248;3.8278;3.8259;false;0.0141;3.827;3.757;3.8259;3.7639;3.7639;false;true;false;true;true;true;true;;1331025300000000;1331025300000000;04:00 - 04:30;false;true;true;3.8218;3.827;3.757;3.812;3.812;3.757;1331026200000000;1331039700000000;false;08:00 - 08:30;04:30 - 05:00;-4.6;-0.8;-4.7;-0.8;0.4;0.2;-4.2;-4.7;0.3
2012-03-07;3.762;3.7239;3.7579;3.7309;3.7569;3.7309;false;0.0381;3.7849;3.7258;3.782;3.7269;3.7269;true;false;true;false;true;true;true;1331114400000000;;1331114400000000;05:00 - 05:30;true;true;false;3.7297;3.7618;3.7258;3.7849;3.7779;3.7849;1331115300000000;1331115300000000;false;05:00 - 05:30;05:00 - 05:30;1.6;1.5;1.7;0.1;0.9;0.2;0.1;0.1;1.7
2012-03-08;3.808;3.7878;3.8059;3.7918;3.7918;3.794;true;0.0202;3.8299;3.7898;3.8269;3.7929;3.8028;true;false;true;false;true;true;true;1331199000000000;;1331199000000000;04:30 - 05:00;true;true;false;3.7898;3.809;3.7968;3.8299;3.8098;3.8299;1331199900000000;1331204400000000;false;06:00 - 06:30;04:30 - 05:00;2.0;1.1;2.1;0.5;0.2;0.4;0.8;0.1;2.1
2012-03-09;3.8168;3.7958;3.811;3.8029;3.8078;3.8038;false;0.021;3.82;3.7988;3.8158;3.8008;3.8158;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;;;;;0.5;0.3;0.9;0.1;1.1
2012-03-12;3.848;3.8357;3.8469;3.8388;3.842;3.8469;true;0.0123;3.8479;3.821;3.8479;3.8228;3.8228;false;true;false;true;true;true;true;;1331541000000000;1331541000000000;04:30 - 05:00;false;true;true;3.8349;3.8479;3.821;3.847;3.847;3.821;1331544600000000;1331554500000000;true;08:00 - 08:30;05:30 - 06:00;-1.1;0.9;-1.2;0.9;0.5;0.9;-1.1;-1.2;0.9
2012-03-13;3.8847;3.8667;3.8799;3.8669;3.8699;3.8788;true;0.018;3.894;3.8698;3.888;3.873;3.8749;true;false;true;false;true;true;true;1331631900000000;;1331631900000000;05:30 - 06:00;true;true;false;3.8698;3.8829;3.8749;3.892;3.8798;3.892;1331633700000000;1331638200000000;true;07:30 - 08:00;06:00 - 06:30;1.4;0.8;1.5;0.5;0.2;0.7;0.5;0.2;1.6
2012-03-14;3.8709;3.8579;3.8678;3.8579;3.8579;3.866;true;0.013;3.877;3.847;3.8728;3.8569;3.8578;true;true;true;true;true;false;false;1331715600000000;1331727300000000;1331715600000000;05:00 - 05:30;true;false;false;3.859;3.8719;3.847;3.877;3.8709;3.877;1331716500000000;1331716500000000;false;05:00 - 05:30;05:00 - 05:30;1.4;1.0;1.5;-0.8;0.0;0.7;-0.0;-0.8;1.5
2012-03-15;3.857;3.8419;3.853;3.847;3.847;3.8499;true;0.0151;3.867;3.8458;3.8639;3.8468;3.8568;true;false;true;false;true;true;true;1331803800000000;;1331803800000000;05:30 - 06:00;true;true;false;3.8458;3.861;3.8468;3.867;3.8468;3.867;1331808300000000;1331811000000000;true;07:30 - 08:00;06:30 - 07:00;1.6;0.4;1.7;0.4;0.4;0.6;1.0;0.3;1.7
