date;dr_high;dr_low;idr_high;idr_low;dr_open;dr_close;greenbox;dr_range;session_high;session_low;session_body_high;session_body_low;session_close;breached_dr_high;breached_dr_low;closed_above_dr_high;closed_below_dr_low;dr_confirmed;dr_true_close;dr_true_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;dr_upday;dr_true;close_outside_dr;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_dr;expansion_window;retracement_window;expansion_level;retracement_level;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level
2012-03-01;39.36;39.07;39.32;39.18;39.27;39.32;true;0.29;39.35;39.04;39.33;39.11;39.33;false;true;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;;;;;0.6;0.8;0.8;-0.2;0.9
2012-03-02;3.932;3.889;3.929;3.898;3.929;3.91;false;0.043;3.922;3.898;3.92;3.9;3.911;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;0.9;0.4;0.5;0.2;0.7
2012-03-05;3.8699;3.8348;3.8698;3.8429;3.8698;3.8429;false;0.0351;3.873;3.8389;3.8689;3.8418;3.8639;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;;;;;0.9;0.2;0.8;0.1;1.0
2012-03-06;3.7639;3.7498;3.7598;3.7529;3.7529;3.7578;true;0.0141;3.7719;3.7297;3.7669;3.7339;3.7409;true;true;true;true;true;false;false;1331049600000000;1331054100000000;1331049600000000;11:00 - 11:30;true;false;false;3.7538;3.763;3.7297;3.7719;3.7638;3.7719;1331050500000000;1331050500000000;true;11:00 - 11:30;11:00 - 11:30;1.5;1.0;1.6;-1.4;0.3;0.6;-0.6;-1.4;1.6
2012-03-07;3.7378;3.7128;3.734;3.7139;3.7139;3.734;true;0.025;3.777;3.7309;3.773;3.7319;3.7699;true;false;true;false;true;true;true;1331135100000000;;1331135100000000;10:30 - 11:00;true;true;true;3.7309;3.7459;3.7459;3.777;3.7459;3.777;1331136000000000;1331136000000000;false;11:00 - 11:30;11:00 - 11:30;2.5;1.4;2.6;1.4;0.1;0.9;2.3;0.8;2.6
2012-03-08;3.803;3.7688;3.7978;3.7749;3.7978;3.7789;false;0.0342;3.7999;3.7768;3.7999;3.7779;3.7978;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;0.8;0.2;0.8;0.2;0.9
2012-03-09;3.8619;3.7968;3.8499;3.806;3.806;3.8499;true;0.0651;3.876;3.8419;3.8629;3.8439;3.8439;true;false;true;false;true;true;true;;;;;false;true;false;;;;;;;;;false;;;;;;;0.1;0.8;0.7;0.6;1.2
2012-03-12;3.8489;3.8279;3.8439;3.8298;3.8409;3.8378;false;0.021;3.8519;3.8249;3.8519;3.8358;3.8389;true;true;true;false;true;true;false;1331568000000000;;1331568000000000;12:00 - 12:30;true;true;false;3.8249;3.8509;3.8348;3.8519;3.8429;3.8519;1331568900000000;1331568900000000;true;12:00 - 12:30;12:00 - 12:30;1.1;0.8;1.2;0.4;0.7;0.5;0.6;-0.1;1.2
2012-03-13;3.8778;3.8639;3.872;3.8669;3.8688;3.872;true;0.0139;3.915;3.8698;3.9109;3.8729;3.9039;true;false;true;false;true;true;true;1331649000000000;;1331649000000000;10:30 - 11:00;true;true;true;;;3.88;3.915;3.88;3.915;1331649900000000;1331656200000000;false;12:30 - 13:00;10:30 - 11:00;3.6;1.2;3.7;1.2;0.4;0.6;2.9;0.5;3.7
2012-03-14;3.8639;3.8519;3.8619;3.8529;3.8529;3.8569;true;0.012;3.864;3.8258;3.8599;3.8299;3.8348;true;true;false;true;true;true;false;;1331737200000000;1331737200000000;11:00 - 11:30;false;true;true;3.8549;3.864;3.8258;3.8558;3.8558;3.8258;1331745300000000;1331751600000000;true;15:00 - 15:30;13:00 - 13:30;-2.1;0.3;-2.2;0.3;0.0;0.4;-1.5;-2.2;1.0
2012-03-15;3.867;3.8498;3.8629;3.8509;3.8609;3.86;false;0.0172;3.9019;3.8588;3.9019;3.861;3.8989;true;false;true;false;true;true;true;1331821800000000;;1331821800000000;10:30 - 11:00;true;true;true;;;3.8678;3.9019;3.8678;3.9019;1331822700000000;1331830800000000;false;13:00 - 13:30;10:30 - 11:00;3.0;1.1;3.1;1.1;0.7;0.6;2.9;0.6;3.1
2012-03-16;3.939;3.9009;3.935;3.906;3.9249;3.906;false;0.0381;3.911;3.8668;3.9089;3.8729;3.8808;false;true;false;true;true;true;true;;1331910000000000;1331910000000000;11:00 - 11:30;false;true;true;3.8869;3.9089;3.8668;3.899;3.899;3.8668;1331911800000000;1331911800000000;false;11:30 - 12:00;11:30 - 12:00;-0.8;-0.1;-0.9;-0.1;0.6;0.1;-0.6;-0.9;0.2
2012-03-19;3.908;3.8879;3.9078;3.8938;3.8938;3.9078;true;0.0201;3.918;3.8918;3.9139;3.8989;3.9049;true;false;true;false;true;true;true;1332167400000000;;1332167400000000;10:30 - 11:00;true;true;false;;;3.8918;3.918;3.91;3.918;1332168300000000;1332168300000000;false;10:30 - 11:00;10:30 - 11:00;1.4;1.1;1.5;0.2;0.3;1.0;0.9;0.2;1.5
2012-03-20;3.849;3.8188;3.847;3.823;3.8239;3.8308;true;0.0302;3.844;3.8149;3.839;3.8199;3.836;false;true;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;;;;;0.1;0.3;0.5;-0.2;0.8
2012-03-21;3.8609;3.843;3.857;3.8458;3.8499;3.857;true;0.0179;3.86;3.8268;3.858;3.83;3.8329;false;true;false;true;true;true;true;;1332341100000000;1332341100000000;10:30 - 11:00;false;true;true;3.8507;3.86;3.8268;3.854;3.854;3.8268;1332346500000000;1332351000000000;true;13:30 - 14:00;12:00 - 12:30;-0.9;0.6;-1.0;0.6;0.3;0.7;-0.6;-1.0;0.9
2012-03-22;3.77;3.7548;3.7679;3.7569;3.7579;3.7679;true;0.0152;3.776;3.752;3.773;3.7549;3.772;true;true;true;false;true;true;false;1332430200000000;;1332430200000000;11:30 - 12:00;true;true;true;3.7558;3.7709;3.752;3.776;;;;;false;;;;;1.4;-0.1;0.3;0.9;1.2;-0.1;1.4
2012-03-23;3.7909;3.7608;3.7909;3.7699;3.7909;3.7798;false;0.0301;3.822;3.7798;3.8198;3.7808;3.803;true;false;true;false;true;true;true;1332513900000000;;1332513900000000;10:30 - 11:00;true;true;true;3.7798;3.786;3.7989;3.822;3.8059;3.822;1332514800000000;1332515700000000;false;11:00 - 11:30;11:00 - 11:30;2.0;1.5;2.1;1.3;1.0;0.7;1.5;0.7;2.1
2012-03-26;3.8829;3.8478;3.8789;3.8499;3.8509;3.8789;true;0.0351;3.8949;3.8729;3.8949;3.8749;3.8949;true;false;true;false;true;true;true;1332780300000000;;1332780300000000;12:30 - 13:00;true;true;true;3.8729;3.884;3.8858;3.8949;3.8858;3.8949;1332781200000000;1332790200000000;false;15:30 - 16:00;13:00 - 13:30;1.3;1.1;1.4;1.1;0.1;0.9;1.4;0.8;1.4
2012-03-27;3.8929;3.872;3.8879;3.8738;3.8849;3.8738;false;0.0209;3.882;3.8549;3.882;3.8638;3.8638;false;true;false;true;true;true;true;;1332858600000000;1332858600000000;10:30 - 11:00;false;true;true;;;3.8549;3.882;3.869;3.8549;1332860400000000;1332860400000000;false;11:00 - 11:30;11:00 - 11:30;-0.8;-0.2;-0.9;0.4;0.6;0.0;-0.4;-0.9;0.4
2012-03-28;3.8089;3.7957;3.8068;3.799;3.7999;3.799;false;0.0132;3.804;3.7819;3.803;3.7849;3.803;false;true;false;true;true;true;true;;1332945000000000;1332945000000000;10:30 - 11:00;false;true;false;;;3.7819;3.804;3.803;3.7819;1332947700000000;1332949500000000;true;11:30 - 12:00;11:00 - 11:30;-1.0;0.5;-1.1;0.6;0.3;0.2;0.5;-1.1;0.6
