date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2017-12-12;504.1;496.8;501.9;496.9;496.9;499.3;true;7.3;538.9;486.5;536.6;491.0;513.1;true;true;true;true;true;false;false;1513036800000000;1513037100000000;1513036800000000;09:00 - 09:15;true;false;true;;;486.5;538.9;486.5;538.9;1513038000000000;1513052100000000;true;13:15 - 13:30;09:15 - 09:30;499.1;517.6;false;false;5.7;8.4;-1.4;-2.0;5.8;-1.4;0.1;0.4;2.3;-1.4;5.8;;Strong Uptrend;true;true;15.5;0.5
2017-12-13;640.0;617.6;639.8;620.4;623.0;620.4;false;22.4;640.0;584.1;639.2;591.2;612.1;false;true;false;true;true;true;true;;1513123200000000;1513123200000000;09:00 - 09:15;false;true;true;;;584.1;640.0;640.0;584.1;1513125300000000;1513133400000000;true;11:45 - 12:00;09:30 - 09:45;620.4;606.0;false;false;-1.4;-1.8;1.0;1.0;-1.5;1.0;0.2;0.1;-0.3;-1.5;1.0;Strong Uptrend;Strong Uptrend;false;true;33.8;0.7
2017-12-14;693.4;678.0;693.1;683.9;688.6;693.1;true;15.4;738.7;683.7;736.9;685.0;721.1;true;false;true;false;true;true;true;1513211400000000;;1513211400000000;09:30 - 09:45;true;true;true;683.7;693.3;694.9;738.7;694.9;738.7;1513211700000000;1513226400000000;false;13:30 - 13:45;09:30 - 09:45;693.0;732.5;false;false;3.9;5.9;1.1;1.2;4.0;1.1;0.7;1.0;2.8;0.4;4.0;Strong Downtrend;Strong Downtrend;false;false;14.8;1.0
2017-12-15;691.2;678.2;688.4;678.8;679.6;688.4;true;13.0;690.3;601.4;689.7;601.8;645.3;false;true;false;true;true;true;true;;1513297500000000;1513297500000000;09:15 - 09:30;false;true;true;677.0;690.3;601.4;675.1;675.1;601.4;1513297800000000;1513305600000000;false;11:30 - 11:45;09:30 - 09:45;689.7;645.2;true;false;-5.9;-8.0;-0.3;-0.4;-6.0;-0.3;0.1;0.7;-2.6;-6.0;0.9;Strong Uptrend;Strong Uptrend;true;true;4.9;2.7
2017-12-18;714.5;705.0;711.8;705.4;705.6;707.2;true;9.5;715.1;670.9;712.1;675.9;705.0;true;true;false;true;true;true;false;;1513557000000000;1513557000000000;09:30 - 09:45;false;true;false;706.1;712.2;670.9;715.1;702.6;670.9;1513557300000000;1513560300000000;false;10:15 - 10:30;09:30 - 09:45;707.4;704.9;true;false;-3.5;-5.3;-0.3;-0.5;-3.6;1.0;0.0;0.2;0.0;-3.6;1.0;Strong Uptrend;Weak Uptrend;true;true;17.6;0.5
2017-12-19;792.9;777.8;791.3;783.5;788.0;787.0;false;15.1;830.1;771.7;827.0;772.3;818.3;true;true;true;true;true;false;false;1513647000000000;1513642800000000;1513642800000000;09:15 - 09:30;false;false;false;777.7;787.0;771.9;830.1;777.8;771.9;1513643100000000;1513643100000000;false;09:15 - 09:30;09:15 - 09:30;787.0;819.9;false;false;-0.3;-1.4;0.0;-0.8;-0.4;3.4;0.6;0.6;2.6;-0.5;3.4;Strong Uptrend;Medium Downtrend;false;false;23.0;0.7
2017-12-20;822.0;811.9;820.0;813.4;813.4;815.3;true;10.1;819.9;720.7;818.1;732.0;777.1;false;true;false;true;true;true;true;;1513728600000000;1513728600000000;09:00 - 09:15;false;true;true;810.8;819.9;720.7;798.4;791.2;720.7;1513728900000000;1513730400000000;false;09:30 - 09:45;09:15 - 09:30;814.8;789.1;false;false;-9.0;-14.0;-2.1;-3.4;-9.1;-1.4;0.1;0.3;-3.5;-9.1;0.7;Medium Downtrend;Strong Uptrend;false;true;15.4;0.7
2017-12-21;798.1;784.3;797.4;787.7;787.7;797.4;true;13.8;838.0;784.0;836.1;785.6;829.8;true;true;true;false;true;true;false;1513817400000000;;1513817400000000;09:45 - 10:00;true;true;true;787.4;798.4;784.0;838.0;784.0;838.0;1513824600000000;1513833000000000;true;14:00 - 14:15;11:45 - 12:00;797.2;829.8;false;false;3.8;5.1;-0.0;-0.3;3.9;-0.0;0.3;1.0;3.3;-0.0;3.9;Strong Downtrend;Medium Downtrend;false;true;19.5;0.7
2017-12-22;787.0;779.6;787.0;780.2;784.9;784.2;false;7.4;792.5;646.2;789.1;649.7;717.0;true;true;true;true;true;false;false;1513900800000000;1513902300000000;1513900800000000;09:00 - 09:15;true;false;false;;;646.2;792.5;785.5;792.5;1513901100000000;1513901100000000;true;09:00 - 09:15;09:00 - 09:15;784.0;714.7;true;false;1.7;1.8;0.8;0.8;1.8;-18.0;0.8;0.7;-8.4;-18.0;1.8;Strong Downtrend;Strong Downtrend;true;true;50.8;0.1
2017-12-25;695.0;667.5;688.2;671.6;677.3;688.2;true;27.5;729.0;683.3;725.9;686.5;722.3;true;false;true;false;true;true;true;1514160300000000;;1514160300000000;09:00 - 09:15;true;true;true;686.0;695.0;684.4;729.0;684.4;729.0;1514163900000000;1514167500000000;true;11:00 - 11:15;10:00 - 10:15;687.6;722.0;false;false;2.2;3.4;0.7;0.8;2.3;0.7;0.4;0.8;2.0;0.6;2.3;Strong Uptrend;Weak Downtrend;true;true;21.8;1.3
2017-12-26;734.0;723.5;731.9;723.7;729.1;724.1;false;10.5;757.0;715.9;756.2;716.9;739.4;true;true;true;true;true;false;false;1514247600000000;1514248500000000;1514247600000000;09:15 - 09:30;true;false;true;723.6;734.2;715.9;757.0;715.9;757.0;1514251500000000;1514261100000000;true;13:00 - 13:15;10:15 - 10:30;724.1;743.1;false;false;3.1;4.0;-0.7;-0.9;3.2;-0.7;0.6;0.1;1.6;-0.7;3.2;Strong Uptrend;Strong Downtrend;false;false;8.4;1.3
2017-12-27;751.1;740.1;751.1;743.1;743.1;751.1;true;11.0;762.7;739.3;762.0;741.0;761.1;true;true;true;false;true;true;false;1514334600000000;;1514334600000000;09:30 - 09:45;true;true;true;744.5;753.0;739.3;762.7;739.3;762.7;1514343900000000;1514349900000000;true;13:45 - 14:00;12:00 - 12:15;751.1;755.1;false;false;2.0;2.4;-0.0;-0.4;2.1;-0.0;0.3;1.0;2.0;-0.0;2.1;Weak Uptrend;Weak Downtrend;false;true;23.0;0.5
2017-12-28;739.9;734.0;739.0;734.6;734.6;734.6;false;5.9;739.0;679.5;738.8;679.7;699.5;false;true;false;true;true;true;true;;1514420700000000;1514420700000000;09:15 - 09:30;false;true;true;734.6;739.0;679.5;737.7;737.7;679.5;1514422500000000;1514429400000000;true;11:45 - 12:00;09:45 - 10:00;734.6;705.0;false;false;-9.2;-12.5;0.6;0.7;-9.3;0.6;0.1;0.1;-5.9;-9.3;0.8;Contraction;Strong Uptrend;true;false;10.4;0.6
2017-12-29;712.8;703.7;711.9;705.6;705.6;711.9;true;9.1;735.4;708.0;734.7;709.0;733.8;true;false;true;false;true;true;true;1514507700000000;;1514507700000000;09:30 - 09:45;true;true;true;709.7;713.3;708.0;735.4;708.0;735.4;1514510100000000;1514521800000000;true;13:30 - 13:45;10:15 - 10:30;712.0;733.5;true;false;3.4;4.7;0.5;0.4;3.5;0.5;0.3;1.0;3.4;0.5;3.5;Weak Uptrend;Strong Uptrend;false;false;2.5;3.6
2018-01-02;751.4;748.7;750.5;748.7;750.5;750.5;false;2.7;874.5;748.7;873.5;748.7;841.4;true;false;true;false;true;true;true;1514851200000000;;1514851200000000;09:00 - 09:15;true;true;true;;;753.6;874.5;753.6;874.5;1514851500000000;1514859600000000;false;11:15 - 11:30;09:00 - 09:15;748.7;828.1;false;false;46.5;69.8;1.9;2.8;46.6;1.9;0.7;0.7;34.4;0.0;46.6;Strong Uptrend;Strong Uptrend;true;false;3.2;0.8
2018-01-03;859.3;851.0;856.2;851.6;856.2;856.2;false;8.3;879.4;853.7;878.1;854.3;869.5;true;false;true;false;true;true;true;1514937900000000;;1514937900000000;09:00 - 09:15;true;true;true;855.4;858.7;853.7;879.4;858.7;879.4;1514938200000000;1514942100000000;true;10:15 - 10:30;09:00 - 09:15;855.6;861.4;true;false;3.4;6.0;1.0;1.6;3.5;0.4;0.7;0.7;2.3;0.4;3.5;Weak Downtrend;Medium Downtrend;true;true;5.4;1.5
2018-01-04;943.6;934.5;942.4;934.5;942.4;934.5;false;9.1;935.3;915.0;934.7;916.2;920.6;false;true;false;true;true;true;true;;1515024300000000;1515024300000000;09:00 - 09:15;false;true;true;932.0;935.0;915.0;934.3;934.3;915.0;1515029100000000;1515031800000000;false;11:00 - 11:15;10:15 - 10:30;934.7;922.0;false;false;-2.1;-2.4;-0.1;-0.1;-2.2;-0.1;0.8;0.0;-1.6;-2.2;0.0;Strong Uptrend;Strong Uptrend;false;true;14.3;0.6
2018-01-05;949.3;938.5;948.1;938.5;945.0;938.5;false;10.8;992.5;930.7;991.6;930.7;983.8;true;true;true;true;true;false;false;1515114000000000;1515110400000000;1515110400000000;09:00 - 09:15;false;false;false;;;930.8;992.5;932.6;930.8;1515110700000000;1515110700000000;false;09:00 - 09:15;09:00 - 09:15;938.3;990.5;false;false;-0.7;-0.8;-0.6;-0.7;-0.8;5.0;0.6;0.0;4.1;-0.8;5.0;Strong Downtrend;Strong Downtrend;false;false;3.3;3.3
