date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2017-12-12;530.4;516.5;525.1;516.8;525.1;517.8;false;13.9;570.0;506.6;569.9;507.0;553.0;true;true;true;true;true;false;false;1513081200000000;1513068600000000;1513068600000000;03:45 - 04:00;false;false;false;515.7;519.9;506.6;570.0;516.6;506.6;1513069500000000;1513070700000000;true;04:15 - 04:30;04:00 - 04:15;499.1;517.6;false;true;-0.7;-1.2;0.0;-0.1;-0.8;3.8;0.6;0.0;2.6;-0.8;3.8;Strong Uptrend;;true;false;7.3;1.9
2017-12-13;636.9;623.5;632.4;627.5;629.0;631.0;true;13.4;690.0;627.9;688.1;632.0;679.4;true;false;true;false;true;true;true;1513153800000000;;1513153800000000;03:30 - 03:45;true;true;true;;;634.5;690.0;634.5;690.0;1513154100000000;1513169100000000;true;07:45 - 08:00;03:30 - 03:45;620.4;606.0;false;false;4.9;12.7;0.9;1.5;5.0;0.9;0.5;0.6;4.2;0.4;5.0;Contraction;Strong Uptrend;false;true;22.4;0.6
2017-12-14;728.1;694.8;727.2;697.1;721.2;704.9;false;33.3;742.0;682.6;741.9;686.5;686.5;true;true;true;true;true;false;false;1513244400000000;1513257600000000;1513244400000000;04:30 - 04:45;true;false;false;694.5;729.1;682.6;742.0;727.0;742.0;1513245600000000;1513247100000000;true;05:15 - 05:30;05:00 - 05:15;693.0;732.5;false;false;1.4;1.4;1.0;1.0;1.5;-0.3;0.8;0.4;-0.2;-0.3;1.5;Strong Uptrend;Strong Downtrend;true;true;15.4;2.2
2017-12-15;657.8;635.3;656.8;639.8;644.1;656.8;true;22.5;664.3;621.0;661.0;622.1;661.0;true;true;true;true;true;false;false;1513326600000000;1513331700000000;1513326600000000;03:30 - 03:45;true;false;true;;;621.0;662.2;621.0;662.2;1513333800000000;1513344300000000;true;08:15 - 08:30;05:30 - 05:45;689.7;645.2;false;false;1.1;1.3;-0.6;-1.1;1.2;-0.6;0.4;1.0;1.2;-0.6;1.3;Strong Downtrend;Strong Uptrend;false;true;13.0;1.7
2017-12-18;714.2;705.2;711.4;706.5;707.9;706.8;false;9.0;750.7;706.4;749.6;706.7;725.0;true;false;true;false;true;true;true;1513587300000000;;1513587300000000;03:45 - 04:00;true;true;true;706.4;718.0;710.6;750.7;710.6;750.7;1513587900000000;1513597200000000;true;06:30 - 06:45;04:00 - 04:15;707.4;704.9;false;false;5.0;9.0;0.6;0.9;5.1;0.6;0.3;0.2;2.2;0.2;5.1;Contraction;Strong Uptrend;false;true;9.5;0.9
2017-12-19;846.2;839.3;846.2;842.3;843.1;846.2;true;6.9;870.0;789.8;867.0;790.2;836.0;true;true;true;true;true;false;false;1513672500000000;1513677900000000;1513672500000000;03:30 - 03:45;true;false;false;843.1;847.0;789.8;870.0;848.9;870.0;1513672800000000;1513676100000000;false;04:30 - 04:45;03:30 - 03:45;787.0;819.9;false;false;4.4;7.1;1.4;1.7;4.5;-7.1;0.6;1.0;-0.4;-7.1;4.5;Strong Uptrend;Strong Uptrend;false;false;15.1;0.5
2017-12-20;788.4;768.0;787.0;773.7;773.7;787.0;true;20.4;832.5;784.5;830.6;785.0;815.1;true;false;true;false;true;true;true;1513758900000000;;1513758900000000;03:30 - 03:45;true;true;true;784.5;787.0;789.1;832.5;789.1;832.5;1513762500000000;1513774200000000;false;07:45 - 08:00;04:30 - 04:45;814.8;789.1;false;false;3.1;4.4;1.1;1.2;3.2;1.1;0.3;1.0;2.4;0.9;3.2;Strong Downtrend;Medium Downtrend;false;true;10.1;2.0
2017-12-21;835.0;819.4;832.7;821.8;832.4;823.7;false;15.6;839.8;818.8;838.9;821.5;826.4;true;true;true;false;true;true;false;1513860000000000;;1513860000000000;07:30 - 07:45;true;true;false;818.8;838.1;823.6;839.8;832.9;839.8;1513860900000000;1513860900000000;true;07:45 - 08:00;07:45 - 08:00;797.2;829.8;false;false;1.3;1.6;0.9;1.1;1.4;0.3;0.9;0.3;0.5;-0.0;1.4;Strong Uptrend;Strong Downtrend;true;true;13.8;1.1
2017-12-22;634.8;599.6;630.1;605.0;626.2;630.1;true;35.2;706.1;598.9;702.0;598.9;598.9;true;true;true;true;true;false;false;1513931700000000;1513949100000000;1513931700000000;03:30 - 03:45;true;false;false;616.2;631.7;598.9;706.1;619.3;706.1;1513932000000000;1513939200000000;true;05:30 - 05:45;03:30 - 03:45;784.0;714.7;false;false;3.0;4.0;0.6;0.6;3.1;-0.0;0.8;0.9;-0.0;-0.0;3.1;Strong Downtrend;Strong Downtrend;true;false;7.4;4.8
2017-12-25;725.1;706.1;720.4;710.5;717.2;720.4;true;19.0;750.0;717.9;749.5;718.4;724.4;true;false;true;false;true;true;true;1514190600000000;;1514190600000000;03:30 - 03:45;true;true;false;;;717.9;750.0;717.9;750.0;1514195400000000;1514206200000000;true;07:45 - 08:00;04:45 - 05:00;687.6;722.0;false;true;2.3;3.9;0.7;0.8;2.4;0.7;0.6;0.8;1.0;0.7;2.4;Strong Uptrend;Strong Uptrend;true;true;27.5;0.7
