date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2017-12-12;614.1;574.5;612.9;575.4;575.4;595.4;true;39.6;627.0;563.1;625.7;575.0;601.5;true;true;true;false;true;true;false;1513094700000000;;1513094700000000;11:00 - 11:15;true;true;false;585.8;615.0;563.1;627.0;602.3;627.0;1513096800000000;1513096800000000;true;11:30 - 11:45;11:30 - 11:45;499.1;517.6;false;false;1.3;1.3;0.8;0.8;1.4;-0.2;0.1;0.6;0.7;-0.2;1.4;Strong Uptrend;Strong Uptrend;false;false;17.9;2.2
2017-12-13;742.0;708.2;735.0;709.5;710.0;725.0;true;33.8;725.2;627.1;722.8;634.9;668.0;false;true;false;true;true;true;true;;1513179000000000;1513179000000000;10:30 - 10:45;false;true;true;;;627.1;724.9;724.9;627.1;1513179300000000;1513190400000000;true;13:30 - 13:45;10:30 - 10:45;620.4;606.0;false;false;-2.3;-3.2;0.4;0.6;-2.4;0.4;0.0;0.4;-1.2;-2.4;0.5;Strong Uptrend;Weak Uptrend;true;true;41.4;0.8
2017-12-14;675.4;647.0;671.5;651.1;663.0;663.1;true;28.4;692.7;649.7;689.9;650.9;678.1;true;false;true;false;true;true;true;1513266000000000;;1513266000000000;10:30 - 10:45;true;true;true;659.0;672.4;649.7;692.7;649.7;692.7;1513277400000000;1513284000000000;true;15:30 - 15:45;13:45 - 14:00;693.0;732.5;false;false;1.6;2.0;0.1;-0.0;1.7;0.1;0.6;0.6;1.1;0.1;1.7;Strong Downtrend;Strong Uptrend;true;false;33.6;0.8
2017-12-15;690.0;669.7;690.0;671.0;671.8;690.0;true;20.3;692.4;669.6;690.0;670.4;676.3;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;689.7;645.2;false;false;;;;;;;0.1;1.0;0.3;-0.1;1.1;Strong Uptrend;Strong Downtrend;false;true;29.0;0.7
2017-12-18;728.6;708.4;728.4;708.5;708.5;728.4;true;20.2;785.0;725.9;785.0;728.4;771.1;true;false;true;false;true;true;true;1513611000000000;;1513611000000000;10:30 - 10:45;true;true;true;;;725.9;785.0;725.9;785.0;1513614300000000;1513628100000000;true;15:15 - 15:30;11:15 - 11:30;707.4;704.9;false;false;3.7;3.8;0.9;0.9;3.8;0.9;0.1;1.0;3.2;0.9;3.8;Weak Uptrend;Weak Uptrend;true;true;13.8;1.5
2017-12-19;842.5;806.0;840.1;809.7;840.1;825.1;false;36.5;844.8;819.7;843.3;819.7;819.7;true;false;true;false;true;true;true;1513708800000000;;1513708800000000;13:30 - 13:45;true;true;false;820.2;841.3;819.7;844.8;840.4;844.8;1513709100000000;1513709100000000;true;13:45 - 14:00;13:45 - 14:00;787.0;819.9;false;true;1.0;1.1;1.0;1.1;1.1;0.4;1.0;0.6;0.4;0.4;1.1;Medium Downtrend;Strong Uptrend;true;false;19.7;1.9
2017-12-20;817.9;799.7;815.6;804.5;808.4;815.3;true;18.2;816.5;766.6;815.4;768.1;806.0;false;true;false;true;true;true;true;;1513785000000000;1513785000000000;10:45 - 11:00;false;true;false;804.0;816.5;766.6;814.4;801.4;766.6;1513785300000000;1513786200000000;true;11:00 - 11:15;10:45 - 11:00;814.8;789.1;false;false;-1.8;-3.4;0.0;-0.3;-1.9;0.8;0.4;0.8;0.3;-1.9;0.9;Medium Uptrend;Contraction;true;true;39.8;0.5
2017-12-21;819.8;780.9;818.5;782.0;816.8;788.6;false;38.9;791.9;752.0;790.3;755.8;759.2;false;true;false;true;true;true;true;;1513870200000000;1513870200000000;10:30 - 10:45;false;true;true;;;752.0;791.9;791.9;752.0;1513870800000000;1513872000000000;true;11:00 - 11:15;10:30 - 10:45;797.2;829.8;false;false;-0.7;-0.8;0.2;0.2;-0.8;0.2;0.9;0.1;-0.6;-0.8;0.2;Medium Downtrend;Strong Uptrend;true;true;15.6;2.5
2017-12-22;635.5;519.1;630.3;530.2;556.9;625.5;true;116.4;686.1;590.0;682.8;590.1;682.8;true;false;true;false;true;true;true;1513957200000000;;1513957200000000;10:30 - 10:45;true;true;true;617.6;636.4;590.0;686.1;590.0;686.1;1513959900000000;1513976100000000;true;15:45 - 16:00;11:15 - 11:30;784.0;714.7;false;false;1.4;1.5;0.7;0.6;1.5;0.7;0.4;1.0;1.5;0.7;1.5;Weak Downtrend;Strong Downtrend;true;false;46.8;2.5
2017-12-25;722.0;698.8;722.0;700.6;713.3;712.2;false;23.2;742.0;692.7;742.0;707.4;719.8;true;true;true;false;true;true;false;1514216700000000;;1514216700000000;10:45 - 11:00;true;true;false;711.8;720.8;692.7;742.0;692.7;742.0;1514217300000000;1514233500000000;true;15:15 - 15:30;10:45 - 11:00;687.6;722.0;false;false;1.8;1.9;-0.2;-0.3;1.9;-0.2;0.7;0.6;1.0;-0.2;1.9;Weak Downtrend;Medium Uptrend;true;true;29.1;0.8
