date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2008-01-02;1.6674;1.6655;1.6672;1.6661;1.6663;1.6672;true;0.0019;1.6674;1.6606;1.6672;1.66105;1.6647;false;true;false;true;true;true;true;;1199234700000000;1199234700000000;09:45 - 10:00;false;true;true;1.6652;1.6674;1.6606;1.6653;1.6645;1.6606;1199235600000000;1199246400000000;false;13:00 - 13:15;10:00 - 10:15;1.6672;1.6637;false;false;-2.5;-4.9;-0.6;-1.5;-2.6;-0.2;0.4;0.8;-0.5;-2.6;1.0;;Contraction;true;true;0.0037;0.5
2008-01-03;1.6658;1.6636;1.6648;1.664;1.664;1.6648;true;0.0022;1.6687;1.6637;1.6682;1.6647;1.666;true;false;true;false;true;true;true;1199321100000000;;1199321100000000;09:45 - 10:00;true;true;true;1.6637;1.6659;1.6642;1.6687;1.6656;1.6687;1199322000000000;1199325600000000;true;11:00 - 11:15;10:00 - 10:15;1.6648;1.66565;false;true;2.3;5.8;1.0;2.0;2.4;0.3;0.2;0.6;1.1;0.1;2.4;Medium Uptrend;Weak Downtrend;true;true;0.004;0.6
2008-01-04;1.67335;1.67135;1.6731;1.6717;1.6731;1.6717;false;0.002;1.68105;1.6706;1.6795;1.6717;1.6734;true;true;true;false;true;true;false;1199404800000000;;1199404800000000;09:00 - 09:15;true;true;true;;;1.672;1.68105;1.6723;1.68105;1199406600000000;1199412900000000;true;11:15 - 11:30;09:30 - 09:45;1.6717;1.6742;false;false;4.8;6.6;0.5;0.5;4.9;0.4;0.9;0.2;1.1;-0.3;4.9;Strong Uptrend;Strong Uptrend;true;true;0.00295;0.7
2008-01-07;1.6906;1.6879;1.6905;1.6885;1.6905;1.6896;false;0.0027;1.6908;1.685;1.6901;1.6861;1.6861;true;true;false;true;true;true;false;;1199664000000000;1199664000000000;09:00 - 09:15;false;true;true;;;1.685;1.6908;1.6908;1.685;1199676600000000;1199682900000000;true;14:15 - 14:30;12:30 - 12:45;1.6896;1.6862;false;false;-1.0;-1.7;1.0;1.1;-1.1;1.0;0.9;0.6;-0.7;-1.1;1.0;Strong Uptrend;Strong Uptrend;true;false;0.00275;1.0
2008-01-08;1.6871;1.6838;1.68455;1.6841;1.68455;1.6841;false;0.0033;1.68505;1.67295;1.68455;1.6743;1.67625;false;true;false;true;true;true;true;;1199751300000000;1199751300000000;09:15 - 09:30;false;true;true;1.68375;1.68505;1.67295;1.68355;1.68355;1.67295;1199752200000000;1199763000000000;false;12:30 - 12:45;09:30 - 09:45;1.6841;1.6754;false;false;-3.2;-24.7;-0.1;-1.3;-3.3;-0.1;0.2;0.0;-2.3;-3.3;0.3;Medium Downtrend;Weak Downtrend;false;true;0.00235;1.4
2008-01-09;1.67255;1.67125;1.67235;1.67165;1.67165;1.67235;true;0.0013;1.6739;1.66355;1.67285;1.6646;1.66735;true;true;true;true;true;false;false;1199836800000000;1199838600000000;1199836800000000;09:00 - 09:15;true;false;false;;;1.66355;1.6739;1.67225;1.6739;1199837700000000;1199837700000000;true;09:15 - 09:30;09:15 - 09:30;1.67225;1.6683;false;false;2.0;3.2;0.8;0.9;2.1;-5.9;0.4;0.9;-2.9;-5.9;2.1;None;Strong Downtrend;true;true;0.00265;0.5
2008-01-10;1.6617;1.6593;1.6607;1.6598;1.6598;1.6602;true;0.0024;1.6628;1.65775;1.66265;1.65775;1.66265;true;true;true;true;true;false;false;1199941200000000;1199925000000000;1199925000000000;09:30 - 09:45;false;false;false;1.6591;1.6618;1.65775;1.6628;;;;;false;;;1.6602;1.6602;false;false;;;;;-0.7;1.4;0.2;0.3;1.3;-0.7;1.4;Weak Downtrend;Expansion;false;true;0.00525;0.5
2008-01-11;1.65535;1.65345;1.6542;1.65405;1.65405;1.6542;true;0.0019;1.6575;1.64955;1.65575;1.65065;1.65515;true;true;true;true;true;false;false;1200010500000000;1200013200000000;1200010500000000;09:15 - 09:30;true;false;false;1.65415;1.65585;1.64955;1.6575;1.64955;1.6575;1200015000000000;1200023100000000;true;12:45 - 13:00;10:30 - 10:45;1.6542;1.6543;false;true;2.1;23.0;-2.0;-30.0;2.2;-2.0;0.4;0.4;0.9;-2.0;2.2;Strong Downtrend;Medium Uptrend;true;true;0.0022;0.9
2008-01-14;1.6611;1.6577;1.661;1.65775;1.661;1.65775;false;0.0034;1.6583;1.6512;1.65775;1.6518;1.6557;false;true;false;true;true;true;true;;1200268800000000;1200268800000000;09:00 - 09:15;false;true;true;;;1.6512;1.6563;1.6563;1.6512;1200269700000000;1200281400000000;false;12:30 - 12:45;09:15 - 09:30;1.65775;1.6548;false;false;-1.9;-2.0;-0.5;-0.5;-2.0;-0.5;0.9;0.0;-0.6;-2.0;0.1;Strong Uptrend;Strong Downtrend;false;false;0.00175;1.9
2008-01-15;1.6552;1.65295;1.65465;1.653;1.653;1.65465;true;0.00225;1.65655;1.6511;1.6563;1.65165;1.6522;true;true;true;true;true;false;false;1200355200000000;1200363300000000;1200355200000000;09:00 - 09:15;true;false;false;;;1.6511;1.65655;1.65385;1.65655;1200358800000000;1200358800000000;true;10:00 - 10:15;10:00 - 10:15;1.65465;1.6522;false;false;1.5;2.1;0.5;0.6;1.6;-0.8;0.1;0.8;-0.3;-0.8;1.6;Weak Downtrend;Strong Uptrend;true;true;0.0026;0.9
