date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2008-01-02;1.6663;1.65445;1.666;1.6628;1.666;1.6635;false;0.01185;1.6686;1.66265;1.6684;1.6631;1.6648;true;false;true;false;true;true;true;1199271600000000;;1199271600000000;06:00 - 06:15;true;true;false;1.66265;1.66555;1.6643;1.6686;1.6661;1.6686;1199272500000000;1199277000000000;true;07:30 - 07:45;06:15 - 06:30;1.6672;1.6637;false;false;1.1;1.8;1.0;1.1;1.2;0.9;1.0;0.8;0.9;0.7;1.2;Medium Downtrend;;false;true;0.0019;6.2
2008-01-03;1.6707;1.6678;1.6695;1.6689;1.6689;1.6692;true;0.0029;1.6801;1.669;1.6789;1.6692;1.671;true;false;true;false;true;true;true;1199350800000000;;1199350800000000;04:00 - 04:15;true;true;true;;;1.6691;1.6801;1.6691;1.6801;1199352600000000;1199359800000000;true;06:30 - 06:45;04:30 - 04:45;1.6648;1.66565;false;false;4.2;18.6;0.5;0.4;4.3;0.5;0.4;0.5;1.2;0.5;4.3;Strong Uptrend;Contraction;true;true;0.0023;1.3
2008-01-04;1.67045;1.66765;1.66975;1.66805;1.66975;1.66925;false;0.0028;1.67165;1.66725;1.67065;1.66755;1.669;true;true;true;true;true;false;false;1199451600000000;1199442600000000;1199442600000000;05:30 - 05:45;false;false;false;1.66815;1.67095;1.66735;1.67165;1.6692;1.66735;1199443500000000;1199443500000000;true;05:45 - 06:00;05:45 - 06:00;1.6717;1.6742;false;false;-0.1;-0.4;0.5;0.6;-0.2;1.4;0.7;0.5;0.4;-0.2;1.4;Strong Downtrend;Strong Uptrend;true;true;0.0063;0.4
2008-01-07;1.68445;1.67855;1.68385;1.6801;1.68385;1.683;false;0.0059;1.68725;1.6768;1.6861;1.678;1.6861;true;true;true;true;true;false;false;1199710800000000;1199700000000000;1199700000000000;05:00 - 05:15;false;false;false;1.6791;1.6831;1.6768;1.68725;1.6794;1.6768;1199700900000000;1199700900000000;true;05:15 - 05:30;05:15 - 05:30;1.6896;1.6862;false;false;-0.2;-0.8;0.1;-0.2;-0.3;1.4;0.8;0.7;1.2;-0.3;1.4;Strong Downtrend;Medium Uptrend;false;true;0.0034;1.7
2008-01-08;1.6748;1.67205;1.6744;1.67305;1.6744;1.67325;false;0.00275;1.6757;1.66995;1.67475;1.67075;1.6716;true;true;false;true;true;true;false;;1199790000000000;1199790000000000;06:00 - 06:15;false;true;true;1.67195;1.6757;1.66995;1.67445;1.67445;1.66995;1199793600000000;1199796300000000;true;07:45 - 08:00;07:00 - 07:15;1.6841;1.6754;false;false;-0.7;-2.2;0.8;1.0;-0.8;0.8;0.8;0.4;-0.2;-0.8;1.3;Strong Downtrend;Medium Downtrend;false;true;0.0039;0.7
2008-01-09;1.66845;1.66585;1.66795;1.66685;1.66765;1.66685;false;0.0026;1.66735;1.66;1.66705;1.66085;1.663;false;true;false;true;true;true;true;;1199870100000000;1199870100000000;04:15 - 04:30;false;true;true;1.66595;1.66735;1.66;1.66635;1.66635;1.66;1199871000000000;1199884500000000;true;08:15 - 08:30;04:30 - 04:45;1.67225;1.6683;false;true;-2.2;-6.2;0.1;-0.5;-2.3;0.1;0.6;0.3;-1.1;-2.3;0.5;Strong Downtrend;Medium Uptrend;false;true;0.00265;1.0
2008-01-10;1.66415;1.66035;1.66395;1.66045;1.66395;1.66045;false;0.0038;1.6623;1.6583;1.6617;1.6588;1.66035;false;true;false;true;true;true;true;;1199956500000000;1199956500000000;04:15 - 04:30;false;true;false;1.65985;1.66085;1.6583;1.6623;1.6623;1.6583;1199966400000000;1199969100000000;true;07:45 - 08:00;07:00 - 07:15;1.6602;1.6602;false;false;-0.5;-0.6;0.5;0.5;-0.6;0.5;0.9;0.0;0.0;-0.6;0.5;Weak Uptrend;Weak Downtrend;false;false;0.0027;1.4
2008-01-11;1.6524;1.64765;1.65105;1.64885;1.65105;1.65025;false;0.00475;1.65655;1.64905;1.65485;1.65025;1.65245;true;false;true;false;true;true;true;1200051000000000;;1200051000000000;06:30 - 06:45;true;true;true;1.64905;1.6527;1.65235;1.65655;1.6527;1.65655;1200051900000000;1200054600000000;false;07:30 - 07:45;06:45 - 07:00;1.6542;1.6543;false;false;1.8;3.5;1.1;1.8;1.9;1.0;0.8;0.6;1.1;0.3;1.9;Strong Downtrend;Strong Downtrend;false;true;0.0025;1.9
2008-01-14;1.6606;1.65775;1.65995;1.65835;1.65995;1.65895;false;0.00285;1.65955;1.6543;1.65905;1.6548;1.6549;false;true;false;true;true;true;true;;1200301200000000;1200301200000000;04:00 - 04:15;false;true;true;;;1.6543;1.65955;1.65955;1.6543;1200304800000000;1200316500000000;true;08:15 - 08:30;05:00 - 05:15;1.65775;1.6548;false;false;-1.2;-2.5;0.6;0.7;-1.3;0.6;0.7;0.4;-1.0;-1.3;0.6;Contraction;Expansion;false;true;0.009;0.3
2008-01-15;1.6532;1.6487;1.6508;1.6493;1.6493;1.6502;true;0.0045;1.6559;1.6483;1.6553;1.649;1.6541;true;true;true;false;true;true;false;1200394800000000;;1200394800000000;06:00 - 06:15;true;true;true;1.6483;1.65395;1.6501;1.6559;1.65365;1.6559;1200395700000000;1200396600000000;false;06:30 - 06:45;06:15 - 06:30;1.65465;1.6522;false;true;1.5;4.3;1.2;2.9;1.6;0.4;0.2;0.4;1.2;-0.0;1.6;Medium Downtrend;Weak Uptrend;false;true;0.00355;1.3
