date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2008-01-02;1.6688;1.6602;1.6675;1.6608;1.6637;1.6658;true;0.0086;1.6762;1.6641;1.6746;1.6653;1.6664;true;false;true;false;true;true;true;1199288700000000;;1199288700000000;10:45 - 11:00;true;true;false;1.6646;1.6669;1.666;1.6762;1.6708;1.6762;1199289600000000;1199292300000000;false;11:45 - 12:00;11:00 - 11:15;1.6672;1.6637;true;false;1.8;2.2;1.3;1.5;1.9;0.7;0.5;0.7;0.8;0.5;1.9;Weak Uptrend;Medium Downtrend;true;true;0.01185;0.7
2008-01-03;1.6696;1.6654;1.6694;1.6661;1.6694;1.6661;false;0.0042;1.6774;1.6643;1.6762;1.6661;1.6753;true;true;true;false;true;true;false;1199376900000000;;1199376900000000;11:15 - 11:30;true;true;true;1.6643;1.6692;1.6692;1.6774;1.6692;1.6774;1199378700000000;1199392200000000;true;15:30 - 15:45;11:45 - 12:00;1.6648;1.66565;false;true;2.8;3.4;1.0;1.0;2.9;1.0;1.0;0.2;2.4;-0.2;2.9;Weak Downtrend;Strong Uptrend;true;true;0.0029;1.4
2008-01-04;1.69035;1.68225;1.68955;1.68285;1.68295;1.68855;true;0.0081;1.69585;1.6851;1.69465;1.6866;1.69465;true;false;true;false;true;true;true;1199461500000000;;1199461500000000;10:45 - 11:00;true;true;true;1.68685;1.6889;1.6851;1.69585;1.6851;1.69585;1199466000000000;1199479500000000;true;15:45 - 16:00;12:00 - 12:15;1.6717;1.6742;false;false;1.6;1.9;0.4;0.4;1.7;0.4;0.1;0.8;1.6;0.4;1.7;Strong Uptrend;Strong Downtrend;false;false;0.0028;2.9
2008-01-07;1.69235;1.686;1.69215;1.6861;1.6861;1.69215;true;0.00635;1.69445;1.6837;1.6922;1.6852;1.68665;true;true;false;true;true;true;false;;1199723400000000;1199723400000000;11:30 - 11:45;false;true;false;1.6873;1.69445;1.68455;1.6925;1.68605;1.68455;1199724300000000;1199724300000000;true;11:45 - 12:00;11:45 - 12:00;1.6896;1.6862;false;false;-0.2;-0.2;0.0;-0.1;-0.3;1.0;0.0;0.9;0.1;-0.4;1.3;Strong Uptrend;Strong Downtrend;false;false;0.0059;1.1
2008-01-08;1.67375;1.66635;1.6727;1.66765;1.6727;1.66765;false;0.0074;1.6745;1.66355;1.6736;1.66415;1.6736;true;true;false;true;true;true;false;;1199816100000000;1199816100000000;13:15 - 13:30;false;true;false;1.66665;1.67185;1.66355;1.6745;1.66695;1.66355;1199817000000000;1199818800000000;true;14:00 - 14:15;13:30 - 13:45;1.6841;1.6754;false;false;-0.3;-0.8;0.0;-0.2;-0.4;1.1;0.8;0.1;0.9;-0.4;1.1;Weak Downtrend;Strong Downtrend;false;true;0.00275;2.7
2008-01-09;1.66255;1.6599;1.6616;1.66075;1.6616;1.66145;false;0.00265;1.6674;1.66065;1.66625;1.66125;1.6622;true;false;true;false;true;true;true;1199893500000000;;1199893500000000;10:45 - 11:00;true;true;false;1.66065;1.6624;1.66145;1.6674;1.6624;1.6674;1199894400000000;1199905200000000;true;14:00 - 14:15;11:00 - 11:15;1.67225;1.6683;false;false;2.8;7.8;1.0;2.0;2.9;0.6;0.7;0.6;0.9;0.3;2.9;Strong Downtrend;Strong Downtrend;false;true;0.0026;1.0
2008-01-10;1.6659;1.6584;1.6645;1.65885;1.6618;1.66005;false;0.0075;1.6606;1.64765;1.66005;1.64795;1.65095;false;true;false;true;true;true;true;;1199980800000000;1199980800000000;11:00 - 11:15;false;true;true;1.65795;1.6606;1.64765;1.6597;1.6597;1.64765;1199982600000000;1199997000000000;true;15:30 - 15:45;11:30 - 11:45;1.6602;1.6602;false;false;-1.4;-1.9;0.1;0.1;-1.5;0.1;0.4;0.2;-1.0;-1.5;0.2;Expansion;Weak Uptrend;false;true;0.0038;2.0
2008-01-11;1.6558;1.6523;1.655;1.65245;1.65245;1.6544;true;0.0035;1.66005;1.65255;1.6596;1.65425;1.65805;true;false;true;false;true;true;true;1200069900000000;;1200069900000000;11:45 - 12:00;true;true;true;1.65255;1.656;1.65575;1.66005;1.65575;1.66005;1200070800000000;1200077100000000;true;13:45 - 14:00;12:00 - 12:15;1.6542;1.6543;false;false;2.2;2.9;1.0;1.3;2.3;1.0;0.1;0.7;1.7;0.1;2.3;Medium Uptrend;Strong Downtrend;true;true;0.00475;0.7
2008-01-14;1.6555;1.6519;1.6553;1.6523;1.6549;1.6536;false;0.0036;1.6609;1.6518;1.65955;1.6525;1.6535;true;true;true;false;true;true;false;1200328200000000;;1200328200000000;11:30 - 11:45;true;true;false;1.6518;1.6555;1.6522;1.6609;1.6554;1.6609;1200329100000000;1200332700000000;true;12:45 - 13:00;11:45 - 12:00;1.65775;1.6548;false;false;2.5;2.8;1.0;1.1;2.5;0.1;0.9;0.5;0.5;-0.0;2.5;Strong Downtrend;Contraction;false;true;0.00285;1.3
2008-01-15;1.6631;1.656;1.6625;1.6563;1.6563;1.6625;true;0.0071;1.6763;1.6623;1.6747;1.6625;1.6743;true;false;true;false;true;true;true;1200411000000000;;1200411000000000;10:30 - 10:45;true;true;true;;;1.6653;1.6763;1.6653;1.6763;1200412800000000;1200427200000000;false;15:00 - 15:15;11:00 - 11:15;1.65465;1.6522;false;false;2.8;3.2;1.4;1.5;2.9;1.4;0.1;1.0;2.6;0.9;2.9;Strong Uptrend;Medium Downtrend;true;true;0.0045;1.6
