date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2008-01-01;1.45982;1.4577;1.45965;1.45841;1.45841;1.45937;true;0.00212;1.45987;1.45754;1.45978;1.4577;1.45927;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;1.45841;1.45964;false;true;;;;;;;0.3;0.7;0.7;-0.1;1.0;;Weak Uptrend;true;false;0.0009;2.4
2008-01-02;1.46239;1.4604;1.46198;1.46082;1.46198;1.46101;false;0.00199;1.46487;1.45925;1.46437;1.45952;1.46437;true;true;true;true;true;false;false;1199247300000000;1199234700000000;1199234700000000;09:45 - 10:00;false;false;false;1.46021;1.4616;1.45938;1.46487;1.46037;1.45938;1199235600000000;1199236500000000;false;10:15 - 10:30;10:00 - 10:15;1.46172;1.46325;false;false;-0.5;-1.2;-0.1;-0.4;-0.6;2.2;0.7;0.3;1.9;-0.6;2.2;Strong Uptrend;Weak Uptrend;true;true;0.00687;0.3
2008-01-03;1.47261;1.47068;1.47225;1.47093;1.47225;1.47168;false;0.00193;1.4723;1.46928;1.47182;1.46979;1.47085;false;true;false;true;true;true;true;;1199322000000000;1199322000000000;10:00 - 10:15;false;true;false;1.47098;1.4723;1.46928;1.47215;1.47131;1.46928;1199323800000000;1199323800000000;true;10:30 - 10:45;10:30 - 10:45;1.47142;1.47106;true;true;-0.7;-1.2;0.3;0.2;-0.8;0.7;0.8;0.5;0.0;-0.8;0.8;Medium Uptrend;Weak Uptrend;true;true;0.00315;0.6
2008-01-04;1.47501;1.47327;1.47447;1.47356;1.47356;1.47447;true;0.00174;1.47519;1.47298;1.47482;1.4733;1.47335;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;1.47404;1.47427;false;false;;;;;;;0.1;0.6;0.0;-0.2;1.1;Medium Uptrend;Strong Uptrend;false;true;0.00704;0.2
2008-01-07;1.47509;1.47388;1.47483;1.47423;1.47473;1.47423;false;0.00121;1.4747;1.46951;1.4744;1.47077;1.47255;false;true;false;true;true;true;true;;1199668500000000;1199668500000000;10:15 - 10:30;false;true;true;1.47368;1.4747;1.46951;1.47375;1.47375;1.46951;1199670300000000;1199673900000000;false;11:45 - 12:00;10:45 - 11:00;1.47483;1.47196;true;false;-3.6;-7.8;-0.2;-0.8;-3.7;-0.2;0.7;0.2;-1.1;-3.7;0.6;Medium Downtrend;Strong Uptrend;false;true;0.00172;0.7
2008-01-08;1.46928;1.46764;1.46882;1.46802;1.46882;1.46821;false;0.00164;1.47175;1.46754;1.47113;1.46791;1.47092;true;true;true;false;true;true;false;1199760300000000;;1199760300000000;11:45 - 12:00;true;true;true;1.46754;1.46943;1.4688;1.47175;1.46888;1.47175;1199761200000000;1199762100000000;true;12:15 - 12:30;12:00 - 12:15;1.4681;1.46941;true;false;2.5;4.6;0.8;1.1;2.6;0.8;0.8;0.4;2.1;-0.0;2.6;Strong Downtrend;Weak Uptrend;false;true;0.00392;0.4
2008-01-09;1.47129;1.47006;1.47101;1.47042;1.47057;1.47101;true;0.00123;1.47215;1.4705;1.47194;1.4709;1.47194;true;false;true;false;true;true;true;1199840400000000;;1199840400000000;10:00 - 10:15;true;true;true;1.4705;1.47169;1.47053;1.47215;1.47053;1.47215;1199844900000000;1199855700000000;true;14:15 - 14:30;11:15 - 11:30;1.4705;1.47151;true;false;1.6;2.9;0.4;0.2;1.7;0.4;0.5;0.8;1.6;0.4;1.7;Medium Downtrend;Strong Downtrend;false;true;0.00317;0.4
2008-01-10;1.46597;1.46562;1.4659;1.46574;1.46578;1.46577;false;0.00035;1.46601;1.46555;1.46593;1.46567;1.4658;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;1.46582;1.46578;true;false;;;;;;;0.4;0.4;0.5;-0.2;1.1;Strong Downtrend;Strong Uptrend;true;true;0.00634;0.1
2008-01-11;1.48072;1.47915;1.48039;1.47959;1.48039;1.47983;false;0.00157;1.48141;1.47819;1.48093;1.47882;1.4808;true;true;true;true;true;false;false;1200024900000000;1200012300000000;1200012300000000;09:45 - 10:00;false;false;false;1.47887;1.47989;1.47819;1.48141;1.47982;1.47819;1200015000000000;1200017700000000;true;11:15 - 11:30;10:30 - 10:45;1.47976;1.4808;true;false;-0.6;-1.7;0.4;0.2;-0.7;1.4;0.7;0.4;1.0;-0.7;1.4;Strong Uptrend;Contraction;true;false;0.00196;0.8
2008-01-14;1.48159;1.47981;1.4809;1.48021;1.4809;1.4807;false;0.00178;1.48174;1.47931;1.48148;1.48011;1.4812;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;1.48035;1.48145;true;true;;;;;;;0.6;0.4;0.7;-0.3;1.0;Strong Uptrend;Weak Uptrend;false;true;0.00294;0.6
