date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2008-01-01;1.45922;1.45814;1.45893;1.45816;1.45859;1.45816;false;0.00108;1.45916;1.45822;1.45907;1.45832;1.45853;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;1.45841;1.45964;false;false;;;;;;;0.4;0.0;0.3;0.0;0.9;Contraction;;false;true;0.00212;0.5
2008-01-02;1.46711;1.46385;1.46675;1.46485;1.46515;1.46585;true;0.00326;1.47012;1.46473;1.46957;1.46514;1.46754;true;false;true;false;true;true;true;1199270700000000;;1199270700000000;05:45 - 06:00;true;true;true;1.46473;1.46727;1.46669;1.47012;1.46724;1.47012;1199271600000000;1199276100000000;false;07:15 - 07:30;06:00 - 06:15;1.46172;1.46325;false;false;1.9;2.7;1.1;1.3;2.0;0.9;0.4;0.7;1.2;0.3;2.0;Strong Uptrend;Strong Uptrend;false;false;0.00199;1.6
2008-01-03;1.47317;1.46842;1.47221;1.46955;1.47221;1.46955;false;0.00475;1.47807;1.46914;1.47676;1.46948;1.47371;true;false;true;false;true;true;true;1199355300000000;;1199355300000000;05:15 - 05:30;true;true;true;1.46914;1.47186;1.47162;1.47807;1.47265;1.47807;1199356200000000;1199361600000000;true;07:00 - 07:15;05:30 - 05:45;1.47142;1.47106;false;false;2.0;3.2;0.9;1.2;2.1;0.7;0.8;0.3;1.2;0.2;2.1;Expansion;Medium Uptrend;false;true;0.00193;2.5
2008-01-04;1.47146;1.4691;1.47114;1.47015;1.47033;1.47114;true;0.00236;1.4734;1.46931;1.47265;1.46984;1.47234;true;false;true;false;true;true;true;1199437200000000;;1199437200000000;04:00 - 04:15;true;true;true;;;1.46931;1.4734;1.46931;1.4734;1199443500000000;1199451600000000;true;08:00 - 08:15;05:45 - 06:00;1.47404;1.47427;false;false;1.8;3.2;0.1;-0.8;1.9;0.1;0.6;0.9;1.4;0.1;1.9;Strong Downtrend;Medium Uptrend;false;true;0.00174;1.4
2008-01-07;1.46907;1.46557;1.4687;1.46639;1.46639;1.4687;true;0.0035;1.47367;1.4662;1.4725;1.4669;1.4725;true;false;true;false;true;true;true;1199696400000000;;1199696400000000;04:00 - 04:15;true;true;true;;;1.4662;1.47367;1.4662;1.47367;1199700900000000;1199711700000000;true;08:15 - 08:30;05:15 - 05:30;1.47483;1.47196;false;false;2.3;3.1;0.2;-0.0;2.4;0.2;0.3;0.9;2.0;0.2;2.4;Strong Downtrend;Medium Downtrend;false;true;0.00121;2.9
2008-01-08;1.47224;1.46904;1.47181;1.47041;1.47181;1.47114;false;0.0032;1.47334;1.46924;1.47244;1.46998;1.47149;true;false;true;false;true;true;true;1199794500000000;;1199794500000000;07:15 - 07:30;true;true;false;1.46924;1.47228;1.4701;1.47278;1.47086;1.47278;1199795400000000;1199795400000000;true;07:30 - 07:45;07:30 - 07:45;1.4681;1.46941;false;true;1.1;1.6;0.6;0.4;1.2;0.4;0.9;0.7;0.8;0.1;1.4;Medium Uptrend;Strong Downtrend;true;true;0.00164;2.0
2008-01-09;1.47296;1.46993;1.47279;1.47075;1.47279;1.4711;false;0.00303;1.47172;1.46651;1.47123;1.46785;1.46828;false;true;false;true;true;true;true;;1199880000000000;1199880000000000;07:00 - 07:15;false;true;true;1.46963;1.47172;1.46651;1.47022;1.47022;1.46651;1199882700000000;1199883600000000;true;08:00 - 08:15;07:45 - 08:00;1.4705;1.47151;true;false;-1.1;-2.0;0.0;-0.3;-1.2;0.0;0.9;0.3;-0.6;-1.2;0.5;Expansion;Medium Downtrend;true;true;0.00123;2.5
2008-01-10;1.4683;1.46531;1.46801;1.46577;1.46577;1.4671;true;0.00299;1.46986;1.46387;1.46902;1.46407;1.46598;true;true;true;true;true;false;false;1199958300000000;1199969100000000;1199958300000000;04:45 - 05:00;true;false;false;1.46684;1.46874;1.46387;1.46942;1.46838;1.46942;1199959200000000;1199959200000000;false;05:00 - 05:15;05:00 - 05:15;1.46582;1.46578;false;false;1.3;1.6;1.1;1.2;1.4;-0.4;0.2;0.6;0.3;-0.4;1.6;Expansion;Strong Downtrend;false;true;0.00035;8.5
2008-01-11;1.48033;1.477;1.47987;1.4775;1.47987;1.4775;false;0.00333;1.48056;1.47585;1.47915;1.477;1.47785;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;1.47976;1.4808;false;false;;;;;;;0.8;0.1;0.2;-0.4;1.0;Weak Downtrend;Strong Uptrend;false;false;0.00157;2.1
2008-01-14;1.48797;1.48584;1.48758;1.48632;1.48758;1.48726;false;0.00213;1.49146;1.48672;1.49023;1.48722;1.48797;true;false;true;false;true;true;true;1200302100000000;;1200302100000000;04:15 - 04:30;true;true;false;1.48672;1.48849;1.4874;1.49146;1.48793;1.49146;1200306600000000;1200311100000000;true;06:45 - 07:00;05:30 - 05:45;1.48035;1.48145;false;false;2.6;4.0;1.0;1.3;2.7;0.8;0.9;0.7;1.0;0.5;2.7;Strong Uptrend;Strong Uptrend;false;true;0.00178;1.2
2008-01-15;1.4869;1.48413;1.48655;1.48498;1.48655;1.4856;false;0.00277;1.48922;1.48294;1.48865;1.48355;1.48848;true;true;true;true;true;false;false;1200395700000000;1200387600000000;1200387600000000;04:00 - 04:15;false;false;false;;;1.48294;1.48922;1.48449;1.48294;1200388500000000;1200388500000000;true;04:15 - 04:30;04:15 - 04:30;1.48647;1.48732;false;false;-0.4;-1.2;0.1;-0.4;-0.5;1.8;0.8;0.5;1.5;-0.5;1.8;Weak Downtrend;Medium Downtrend;true;true;0.00121;2.3
2008-01-16;1.48252;1.47944;1.4821;1.47958;1.48193;1.4816;false;0.00308;1.48189;1.47641;1.48164;1.47694;1.47993;false;true;false;true;true;true;true;;1200479400000000;1200479400000000;05:30 - 05:45;false;true;false;1.47911;1.48189;1.47641;1.48038;1.47852;1.47641;1200480300000000;1200480300000000;false;05:45 - 06:00;05:45 - 06:00;1.4799;1.48338;true;false;-0.9;-1.2;-0.3;-0.5;-1.0;0.3;0.8;0.7;0.1;-1.0;0.7;Weak Uptrend;Strong Downtrend;true;true;0.00248;1.2
