date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2008-01-01;1.45903;1.45844;1.45893;1.45872;1.45893;1.45873;false;0.00059;1.46174;1.45718;1.46126;1.45746;1.45938;true;true;true;true;true;false;false;1199208600000000;1199213100000000;1199208600000000;12:30 - 12:45;true;false;true;1.45823;1.45956;1.45718;1.46174;1.4594;1.46174;1199209500000000;1199211300000000;false;13:15 - 13:30;12:45 - 13:00;1.45841;1.45964;false;false;5.5;14.3;1.7;3.3;5.6;-2.1;0.9;0.5;1.6;-2.1;5.6;Contraction;;false;false;0.00063;0.9
2008-01-02;1.46624;1.46403;1.46593;1.46447;1.46593;1.46525;false;0.00221;1.4749;1.46521;1.47355;1.46536;1.47268;true;false;true;false;true;true;true;1199286000000000;;1199286000000000;10:00 - 10:15;true;true;true;;;1.46852;1.4749;1.46852;1.4749;1199286900000000;1199292300000000;false;11:45 - 12:00;10:15 - 10:30;1.46172;1.46325;false;false;4.9;7.1;2.1;2.8;5.0;2.1;0.9;0.6;4.0;0.6;5.0;Contraction;Strong Uptrend;true;true;0.00265;0.8
2008-01-03;1.47381;1.47128;1.47293;1.47243;1.47261;1.47293;true;0.00253;1.47617;1.47066;1.47603;1.47132;1.47472;true;true;true;false;true;true;false;1199382300000000;;1199382300000000;12:45 - 13:00;true;true;true;1.47066;1.47433;1.47348;1.47617;1.47348;1.47617;1199383200000000;1199385900000000;true;13:45 - 14:00;13:00 - 13:15;1.47142;1.47106;true;false;1.9;7.4;0.9;2.1;2.0;0.9;0.6;0.7;1.4;-0.2;2.0;Weak Uptrend;Expansion;false;false;0.00347;0.7
2008-01-04;1.48103;1.47764;1.47975;1.47807;1.47975;1.47807;false;0.00339;1.47938;1.47399;1.47911;1.47509;1.47509;false;true;false;true;true;true;true;;1199458800000000;1199458800000000;10:00 - 10:15;false;true;true;;;1.47492;1.47938;1.47938;1.47492;1199462400000000;1199479500000000;true;15:45 - 16:00;11:00 - 11:15;1.47404;1.47427;false;false;-0.8;-1.8;0.5;0.7;-0.9;0.5;0.6;0.1;-0.8;-1.1;0.5;Strong Uptrend;Strong Downtrend;true;true;0.00219;1.5
2008-01-07;1.47259;1.471;1.47221;1.47129;1.47129;1.47177;true;0.00159;1.47297;1.46662;1.47236;1.46766;1.46948;true;true;false;true;true;true;false;;1199721600000000;1199721600000000;11:00 - 11:15;false;true;true;1.47138;1.47297;1.46662;1.47017;1.47017;1.46662;1199722500000000;1199723400000000;false;11:30 - 11:45;11:15 - 11:30;1.47483;1.47196;false;true;-2.7;-5.0;-0.6;-1.3;-2.8;-0.6;0.1;0.4;-1.0;-2.8;1.2;Strong Uptrend;Strong Downtrend;true;true;0.00238;0.7
2008-01-08;1.4735;1.47131;1.47277;1.47156;1.47156;1.47277;true;0.00219;1.47428;1.46975;1.47299;1.47039;1.47068;true;true;false;true;true;true;false;;1199805300000000;1199805300000000;10:15 - 10:30;false;true;true;1.4715;1.47428;1.46975;1.47219;1.47162;1.46975;1199806200000000;1199806200000000;true;10:30 - 10:45;10:30 - 10:45;1.4681;1.46941;false;false;-0.7;-1.4;0.1;0.0;-0.8;0.4;0.1;0.6;-0.3;-0.8;1.3;Medium Uptrend;Medium Uptrend;true;true;0.0032;0.7
2008-01-09;1.46822;1.46599;1.46797;1.46627;1.46627;1.46797;true;0.00223;1.46916;1.46357;1.46824;1.46433;1.46665;true;true;true;true;true;false;false;1199890800000000;1199892600000000;1199890800000000;10:00 - 10:15;true;false;false;;;1.46357;1.4684;1.46632;1.4684;1199891700000000;1199891700000000;true;10:15 - 10:30;10:15 - 10:30;1.4705;1.47151;false;false;1.0;1.2;0.2;0.1;1.1;-1.0;0.2;0.9;0.3;-1.0;1.5;Strong Downtrend;Expansion;false;true;0.00303;0.7
2008-01-10;1.4751;1.46876;1.47391;1.46935;1.46935;1.47386;true;0.00634;1.48133;1.47193;1.48044;1.47247;1.47949;true;false;true;false;true;true;true;1199985300000000;;1199985300000000;12:15 - 12:30;true;true;true;1.47193;1.4751;1.47704;1.48133;1.47704;1.48133;1199986200000000;1199987100000000;false;12:45 - 13:00;12:30 - 12:45;1.46582;1.46578;false;false;1.9;2.6;1.4;1.7;2.0;1.4;0.1;0.9;1.7;0.5;2.0;Strong Uptrend;Expansion;true;false;0.00299;2.1
2008-01-11;1.47919;1.4777;1.47845;1.47827;1.47845;1.47828;false;0.00149;1.4819;1.47672;1.48173;1.47721;1.47738;true;true;true;true;true;false;false;1200068100000000;1200081600000000;1200068100000000;11:15 - 11:30;true;false;false;1.47781;1.47966;1.47672;1.4819;1.47791;1.4819;1200070800000000;1200074400000000;true;13:00 - 13:15;12:00 - 12:15;1.47976;1.4808;false;false;2.8;20.1;0.2;-1.9;2.9;-0.6;0.6;0.4;-0.2;-0.6;2.9;Contraction;Weak Downtrend;false;true;0.00271;0.5
2008-01-14;1.48951;1.48809;1.48902;1.48867;1.48902;1.48867;false;0.00142;1.48955;1.48592;1.48863;1.48654;1.48706;true;true;false;true;true;true;false;;1200322800000000;1200322800000000;10:00 - 10:15;false;true;true;;;1.48592;1.48955;1.48955;1.48592;1200327300000000;1200336300000000;true;13:45 - 14:00;11:15 - 11:30;1.48035;1.48145;false;false;-1.5;-7.8;1.0;2.5;-1.6;1.0;0.6;0.4;-0.8;-1.6;1.0;Strong Uptrend;Strong Uptrend;true;true;0.00213;0.7
