date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2008-01-02;1.98945;1.98655;1.9892;1.98725;1.9892;1.98725;false;0.0029;1.98905;1.98155;1.9884;1.98215;1.9884;false;true;false;true;true;true;true;;1199232000000000;1199232000000000;09:00 - 09:15;false;true;false;;;1.98155;1.98905;1.98665;1.98155;1199233800000000;1199239200000000;true;11:00 - 11:15;09:30 - 09:45;1.98725;1.987;false;true;-1.7;-2.9;0.0;-0.4;-1.8;0.8;0.9;0.2;0.6;-1.8;0.8;Strong Uptrend;Medium Downtrend;true;true;0.00275;1.1
2008-01-03;1.98175;1.9806;1.9817;1.9809;1.9816;1.9817;true;0.00115;1.9838;1.9797;1.9832;1.9801;1.98265;true;true;true;true;true;false;false;1199318400000000;1199322000000000;1199318400000000;09:00 - 09:15;true;false;true;;;1.9797;1.9838;1.9797;1.9838;1199322900000000;1199334600000000;true;13:30 - 13:45;10:15 - 10:30;1.9817;1.98275;false;false;2.7;3.6;-0.7;-1.5;2.8;-0.7;0.9;1.0;1.8;-0.7;2.8;Strong Uptrend;Strong Downtrend;false;true;0.00305;0.4
2008-01-04;1.9737;1.97213;1.97365;1.97265;1.97265;1.97365;true;0.00157;1.9739;1.97075;1.97365;1.9712;1.9718;true;true;false;true;true;true;false;;1199406600000000;1199406600000000;09:30 - 09:45;false;true;true;1.9715;1.9739;1.97075;1.97355;1.97355;1.97075;1199412000000000;1199421900000000;true;13:45 - 14:00;11:00 - 11:15;1.97365;1.97135;false;false;-0.8;-1.9;0.9;0.9;-0.9;0.9;0.3;0.9;-0.3;-0.9;1.1;Strong Downtrend;Strong Uptrend;false;true;0.00705;0.2
2008-01-07;1.9723;1.97105;1.97205;1.9717;1.97205;1.9717;false;0.00125;1.97215;1.9681;1.97185;1.9685;1.97035;false;true;false;true;true;true;true;;1199668500000000;1199668500000000;10:15 - 10:30;false;true;true;1.9709;1.97205;1.9681;1.9717;1.9717;1.9681;1199670300000000;1199673900000000;true;11:45 - 12:00;10:45 - 11:00;1.9717;1.97015;false;false;-2.3;-10.2;0.5;0.0;-2.4;0.5;0.8;0.5;-0.6;-2.4;0.8;Strong Downtrend;Strong Uptrend;true;false;0.0021;0.6
2008-01-08;1.96765;1.9664;1.96765;1.9666;1.96765;1.9666;false;0.00125;1.97265;1.96655;1.97215;1.9666;1.9717;true;false;true;false;true;true;true;1199750400000000;;1199750400000000;09:00 - 09:15;true;true;true;;;1.96695;1.97265;1.96695;1.97265;1199751300000000;1199762100000000;true;12:15 - 12:30;09:15 - 09:30;1.9666;1.97085;false;false;5.0;5.7;0.5;0.4;5.1;0.5;1.0;0.2;4.3;0.2;5.1;Strong Downtrend;Medium Downtrend;false;true;0.00255;0.5
2008-01-09;1.97325;1.97115;1.9732;1.97135;1.9732;1.97135;false;0.0021;1.97625;1.9713;1.97605;1.9714;1.9753;true;false;true;false;true;true;true;1199839500000000;;1199839500000000;09:45 - 10:00;true;true;true;1.9713;1.97315;1.9722;1.97625;1.9722;1.97625;1199841300000000;1199851200000000;true;13:00 - 13:15;10:15 - 10:30;1.9714;1.9758;false;false;2.4;2.6;0.5;0.5;2.5;0.5;1.0;0.1;2.0;0.1;2.5;Strong Downtrend;Strong Downtrend;false;true;0.0012;1.8
2008-01-10;1.9577;1.9568;1.9577;1.9573;1.9574;1.9573;false;0.0009;1.95895;1.9555;1.95855;1.95565;1.9562;true;true;true;true;true;false;false;1199924100000000;1199938500000000;1199924100000000;09:15 - 09:30;true;false;false;1.9565;1.95735;1.9555;1.95895;1.95775;1.95895;1199925900000000;1199927700000000;false;10:15 - 10:30;09:45 - 10:00;1.9573;1.95575;false;false;2.3;4.1;1.1;1.2;2.4;-1.4;0.7;0.6;-0.6;-1.4;2.4;Strong Downtrend;Medium Uptrend;false;false;0.00525;0.2
2008-01-11;1.96185;1.9602;1.96165;1.96055;1.96165;1.96125;false;0.00165;1.96355;1.96015;1.96275;1.96065;1.9615;true;true;true;false;true;true;false;1200019500000000;;1200019500000000;11:45 - 12:00;true;true;false;1.96015;1.96165;1.96125;1.96355;1.9617;1.96355;1200021300000000;1200023100000000;true;12:45 - 13:00;12:15 - 12:30;1.96125;1.96185;false;false;2.0;2.7;1.0;1.1;2.1;0.7;0.9;0.7;0.8;-0.0;2.1;Contraction;Strong Uptrend;true;false;0.0016;1.0
2008-01-14;1.9592;1.95769;1.95881;1.9588;1.95881;1.9588;false;0.00151;1.9598;1.9576;1.95945;1.95775;1.95945;true;true;true;false;true;true;false;1200274200000000;;1200274200000000;10:30 - 10:45;true;true;true;1.9576;1.95955;1.95795;1.9598;1.95795;1.9598;1200285000000000;1200287700000000;true;14:15 - 14:30;13:30 - 13:45;1.9588;1.95895;false;true;1.3;100.0;0.2;-85.0;1.4;0.2;0.8;0.8;1.2;-0.0;1.4;Weak Uptrend;Strong Downtrend;false;true;0.0016;0.9
2008-01-15;1.95415;1.9531;1.954;1.9532;1.9532;1.954;true;0.00105;1.9582;1.9536;1.958;1.95375;1.958;true;false;true;false;true;true;true;1200355200000000;;1200355200000000;09:00 - 09:15;true;true;true;;;1.9536;1.9582;1.9536;1.9582;1200356100000000;1200371400000000;true;13:30 - 13:45;09:15 - 09:30;1.954;1.95725;false;false;4.8;6.2;0.5;0.5;4.9;0.5;0.1;0.9;4.7;0.5;4.9;Strong Downtrend;Strong Uptrend;false;true;0.00285;0.4
