date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2008-01-01;1.98586;1.98444;1.98577;1.98468;1.98468;1.98498;true;0.00142;1.98588;1.98347;1.98555;1.98407;1.9843;true;true;false;true;true;true;false;;1199184300000000;1199184300000000;05:45 - 06:00;false;true;true;1.98375;1.98588;1.98347;1.98554;1.98519;1.98347;1199185200000000;1199187000000000;true;06:30 - 06:45;06:00 - 06:15;1.98608;1.9849;false;false;-0.6;-1.1;0.5;0.4;-0.7;0.7;0.1;0.3;-0.1;-0.7;1.0;Weak Downtrend;;false;true;0.00156;0.9
2008-01-02;1.9853;1.9787;1.9851;1.98125;1.98125;1.9835;true;0.0066;1.9876;1.97975;1.9855;1.9807;1.9807;true;false;true;false;true;true;true;1199264400000000;;1199264400000000;04:00 - 04:15;true;true;false;;;1.97975;1.9865;1.98195;1.9865;1199269800000000;1199275200000000;true;07:00 - 07:15;05:30 - 05:45;1.98725;1.987;false;false;1.1;1.3;0.5;0.2;1.2;0.2;0.4;0.8;0.4;0.2;1.4;Strong Downtrend;Strong Uptrend;false;true;0.00365;1.8
2008-01-03;1.98065;1.9759;1.9798;1.97715;1.9798;1.97715;false;0.00475;1.9826;1.97115;1.98075;1.97245;1.98005;true;true;true;true;true;false;false;1199365200000000;1199351700000000;1199351700000000;04:15 - 04:30;false;false;false;1.97615;1.97885;1.97115;1.9826;1.97605;1.97115;1199352600000000;1199353500000000;true;04:45 - 05:00;04:30 - 04:45;1.9817;1.98275;false;false;-1.0;-2.2;0.0;-0.5;-1.0;1.4;0.8;0.2;0.8;-1.0;1.4;Medium Downtrend;Medium Uptrend;false;false;0.00205;2.3
2008-01-04;1.9722;1.96775;1.9714;1.96925;1.96925;1.9711;true;0.00445;1.98005;1.97005;1.9797;1.97015;1.97625;true;false;true;false;true;true;true;1199439000000000;;1199439000000000;04:30 - 04:45;true;true;true;1.97015;1.97125;1.97345;1.98005;1.9751;1.98005;1199439900000000;1199443500000000;false;05:45 - 06:00;04:45 - 05:00;1.97365;1.97135;false;true;2.7;5.0;1.7;2.8;2.8;1.3;0.4;0.8;2.0;0.6;2.8;Medium Downtrend;Medium Downtrend;false;true;0.0024;1.9
2008-01-07;1.97325;1.96535;1.9726;1.967;1.967;1.9726;true;0.0079;1.9748;1.9697;1.9734;1.9702;1.9732;true;false;true;false;true;true;true;1199706300000000;;1199706300000000;06:45 - 07:00;true;true;false;1.9697;1.9738;1.971;1.9748;1.97205;1.9748;1199708100000000;1199708100000000;true;07:15 - 07:30;07:15 - 07:30;1.9717;1.97015;false;false;1.1;1.3;0.9;1.0;1.2;0.8;0.3;1.0;1.0;0.6;1.2;Expansion;Medium Downtrend;false;true;0.0014;5.6
2008-01-08;1.98285;1.9772;1.98195;1.97735;1.97735;1.98195;true;0.00565;1.98215;1.97345;1.982;1.97455;1.97555;false;true;false;true;true;true;true;;1199789100000000;1199789100000000;05:45 - 06:00;false;true;true;1.9764;1.98215;1.97345;1.9776;1.977;1.97345;1199790000000000;1199792700000000;false;06:45 - 07:00;06:00 - 06:15;1.9666;1.97085;false;false;-0.6;-0.8;-0.1;-0.1;-0.7;0.0;0.0;0.8;-0.3;-0.7;0.8;Strong Uptrend;Strong Downtrend;true;true;0.00215;2.6
2008-01-09;1.97125;1.96305;1.97125;1.9647;1.97125;1.9647;false;0.0082;1.96555;1.95995;1.9647;1.96095;1.9624;false;true;false;true;true;true;true;;1199870100000000;1199870100000000;04:15 - 04:30;false;true;true;1.96375;1.96515;1.95995;1.9653;1.9653;1.95995;1199878200000000;1199884500000000;true;08:15 - 08:30;06:30 - 06:45;1.9714;1.9758;false;false;-0.3;-0.7;0.2;0.0;-0.4;0.2;1.0;0.2;-0.1;-0.4;0.3;Medium Downtrend;Strong Downtrend;true;true;0.0021;3.9
2008-01-10;1.95825;1.9545;1.95755;1.955;1.955;1.95755;true;0.00375;1.96685;1.9545;1.96515;1.95525;1.9563;true;false;true;false;true;true;true;1199956500000000;;1199956500000000;04:15 - 04:30;true;true;false;1.957;1.9579;1.9545;1.96685;1.95715;1.96685;1199957400000000;1199966400000000;true;07:00 - 07:15;04:30 - 04:45;1.9573;1.95575;false;false;3.2;4.6;0.8;0.9;3.3;0.0;0.2;0.9;0.5;0.0;3.3;Weak Downtrend;Medium Downtrend;false;true;0.002;1.9
2008-01-11;1.95465;1.9509;1.9541;1.95245;1.95245;1.953;true;0.00375;1.96145;1.9483;1.95905;1.95;1.95745;true;true;true;true;true;false;false;1200047400000000;1200043800000000;1200043800000000;04:30 - 04:45;false;false;false;1.95095;1.9542;1.9483;1.96145;1.9518;1.9483;1200044700000000;1200044700000000;true;04:45 - 05:00;04:45 - 05:00;1.96125;1.96185;false;false;-0.6;-2.5;0.2;-0.4;-0.7;2.8;0.4;0.5;1.7;-0.7;2.8;Strong Downtrend;Contraction;true;true;0.0017;2.2
2008-01-14;1.96475;1.9605;1.96405;1.962;1.96405;1.962;false;0.00425;1.96445;1.95805;1.9636;1.95815;1.95815;false;true;false;true;true;true;true;;1200301200000000;1200301200000000;04:00 - 04:15;false;true;true;;;1.95805;1.96445;1.96445;1.95805;1200303000000000;1200316500000000;true;08:15 - 08:30;04:30 - 04:45;1.9588;1.95895;false;false;-0.5;-1.9;0.9;1.1;-0.6;0.9;0.8;0.3;-0.6;-0.6;0.9;Strong Uptrend;Contraction;false;true;0.00186;2.3
2008-01-15;1.95885;1.95555;1.9588;1.95625;1.9571;1.9588;true;0.0033;1.9698;1.958;1.96835;1.9588;1.96835;true;false;true;false;true;true;true;1200387600000000;;1200387600000000;04:00 - 04:15;true;true;true;;;1.9595;1.9698;1.9595;1.9698;1200390300000000;1200402900000000;false;08:15 - 08:30;04:45 - 05:00;1.954;1.95725;false;false;4.3;5.3;1.2;1.3;4.4;1.2;0.5;1.0;3.9;0.8;4.4;Strong Uptrend;Strong Downtrend;true;true;0.0014;2.4
2008-01-16;1.96215;1.95835;1.9618;1.95915;1.9593;1.9618;true;0.0038;1.9638;1.9529;1.96265;1.95515;1.96265;true;true;true;true;true;false;false;1200489300000000;1200478500000000;1200478500000000;05:15 - 05:30;false;false;false;1.95835;1.96185;1.9529;1.9638;1.95695;1.9529;1200479400000000;1200480300000000;false;05:45 - 06:00;05:30 - 05:45;1.9579;1.96105;false;false;-1.4;-2.3;-0.4;-0.9;-1.5;1.4;0.2;0.9;1.1;-1.5;1.4;Medium Uptrend;Strong Downtrend;true;true;0.00225;1.7
2008-01-17;1.96965;1.96055;1.96905;1.963;1.96395;1.96905;true;0.0091;1.97185;1.96145;1.9708;1.96245;1.96905;true;false;true;false;true;true;true;1200561300000000;;1200561300000000;04:15 - 04:30;true;true;false;1.96835;1.97085;1.96145;1.97105;1.96845;1.97105;1200562200000000;1200562200000000;true;04:30 - 04:45;04:30 - 04:45;1.9623;1.963;true;true;1.1;1.3;0.9;1.0;1.2;0.1;0.4;1.0;1.0;0.1;1.3;Expansion;Strong Downtrend;true;false;0.0021;4.3
2008-01-18;1.97045;1.9674;1.96955;1.96765;1.96955;1.9683;false;0.00305;1.9724;1.9562;1.97075;1.9567;1.96075;true;true;true;true;true;false;false;1200646800000000;1200648600000000;1200646800000000;04:00 - 04:15;true;false;false;;;1.9562;1.97115;1.9683;1.97115;1200647700000000;1200647700000000;true;04:15 - 04:30;04:15 - 04:30;1.97;1.96865;true;false;1.2;1.8;0.3;0.4;1.3;-3.6;0.8;0.3;-2.1;-3.6;1.7;Weak Downtrend;Strong Downtrend;true;false;0.002;1.5
2008-01-21;1.95155;1.948;1.95125;1.94825;1.95125;1.9491;false;0.00355;1.95285;1.94595;1.9523;1.94645;1.94695;true;true;true;true;true;false;false;1200908700000000;1200913200000000;1200908700000000;04:45 - 05:00;true;false;false;1.94885;1.95205;1.94595;1.95285;1.9505;1.95285;1200909600000000;1200909600000000;true;05:00 - 05:15;05:00 - 05:15;1.957;1.9509;false;false;1.3;1.5;0.8;0.8;1.4;-0.5;1.0;0.4;-0.2;-0.5;1.4;Medium Downtrend;Medium Downtrend;false;true;0.0069;0.5
2008-01-22;1.9516;1.9336;1.9504;1.93405;1.93405;1.94975;true;0.018;1.96035;1.94675;1.95475;1.948;1.95475;true;false;true;false;true;true;true;1200999600000000;;1200999600000000;06:00 - 06:15;true;true;true;1.94675;1.95265;1.9491;1.96035;1.9491;1.96035;1201005900000000;1201007700000000;true;08:15 - 08:30;07:45 - 08:00;1.9403;1.9393;false;false;1.4;1.6;0.9;1.0;1.5;0.9;0.1;0.9;1.2;0.8;1.5;Expansion;Strong Downtrend;false;false;0.0026;6.9
2008-01-23;1.96145;1.95695;1.9599;1.95815;1.959;1.9599;true;0.0045;1.9607;1.9478;1.95985;1.95045;1.9506;false;true;false;true;true;true;true;;1201079700000000;1201079700000000;04:15 - 04:30;false;true;true;1.95755;1.9603;1.9478;1.9607;1.9607;1.9478;1201080600000000;1201094100000000;true;08:15 - 08:30;04:30 - 04:45;1.9602;1.9567;true;false;-2.0;-5.9;0.8;1.4;-2.1;0.8;0.4;0.6;-1.5;-2.1;0.8;Weak Downtrend;Strong Uptrend;false;true;0.003;1.5
2008-01-24;1.95735;1.95225;1.95635;1.95235;1.95235;1.95485;true;0.0051;1.9644;1.95335;1.9636;1.95425;1.9618;true;false;true;false;true;true;true;1201166100000000;;1201166100000000;04:15 - 04:30;true;true;true;1.9539;1.95745;1.95335;1.9644;1.95335;1.9644;1201170600000000;1201176000000000;true;07:00 - 07:15;05:30 - 05:45;1.9567;1.9546;true;false;2.3;3.0;0.3;0.3;2.4;0.3;0.1;0.6;1.9;0.3;2.4;Expansion;Strong Uptrend;false;true;0.0021;2.4
2008-01-25;1.9844;1.97767;1.98345;1.981;1.98345;1.98125;false;0.00673;1.9821;1.97615;1.98175;1.9773;1.98175;false;true;false;true;true;true;true;;1201262400000000;1201262400000000;07:00 - 07:15;false;true;false;1.97615;1.98125;1.9771;1.9821;1.97885;1.9771;1201263300000000;1201263300000000;true;07:15 - 07:30;07:15 - 07:30;1.9778;1.97855;true;true;-0.0;-1.5;0.1;-0.9;-0.1;0.6;0.8;0.5;0.6;-0.3;0.6;Medium Uptrend;Strong Uptrend;true;true;0.0026;2.6
2008-01-28;1.98155;1.9763;1.98095;1.97715;1.97895;1.98095;true;0.00525;1.98605;1.9785;1.98585;1.979;1.98445;true;false;true;false;true;true;true;1201517100000000;;1201517100000000;05:45 - 06:00;true;true;true;1.9785;1.98125;1.9813;1.98605;1.9813;1.98605;1201519800000000;1201525200000000;true;08:00 - 08:15;06:30 - 06:45;1.9865;1.97305;false;false;1.8;2.3;1.0;1.1;1.9;1.0;0.6;0.9;1.6;0.5;1.9;Medium Downtrend;Expansion;false;true;0.00665;0.8
2008-01-29;1.98825;1.98485;1.98795;1.9849;1.98795;1.98665;false;0.0034;1.99285;1.9863;1.99235;1.9866;1.98795;true;false;true;false;true;true;true;1201604400000000;;1201604400000000;06:00 - 06:15;true;true;false;1.9863;1.9885;1.98675;1.99285;1.988;1.99285;1201605300000000;1201608900000000;true;07:15 - 07:30;06:15 - 06:30;1.9845;1.98311;false;false;2.3;2.6;1.0;1.1;2.4;0.6;1.0;0.6;1.0;0.5;2.4;Weak Uptrend;Weak Downtrend;true;false;0.0019;1.8
2008-01-30;1.9916;1.98905;1.9916;1.9896;1.9896;1.9916;true;0.00255;1.99495;1.98705;1.9939;1.98825;1.98825;true;true;true;true;true;false;false;1201687200000000;1201698900000000;1201687200000000;05:00 - 05:15;true;false;false;1.98805;1.99175;1.98705;1.99495;1.9902;1.99495;1201688100000000;1201696200000000;true;07:30 - 07:45;05:15 - 05:30;1.98915;1.9898;true;false;2.3;2.6;0.5;0.3;2.4;-0.7;0.3;1.0;-0.3;-0.7;2.4;Weak Uptrend;Strong Uptrend;true;true;0.0017;1.5
2008-01-31;1.9881;1.98405;1.988;1.98565;1.988;1.987;false;0.00405;1.9945;1.98545;1.994;1.9862;1.98865;true;false;true;false;true;true;true;1201772700000000;;1201772700000000;04:45 - 05:00;true;true;true;1.98545;1.98755;1.9873;1.9945;1.98805;1.9945;1201773600000000;1201779900000000;true;06:45 - 07:00;05:00 - 05:15;1.98375;1.9852;false;true;2.5;3.7;1.0;1.1;2.6;0.9;1.0;0.8;1.2;0.4;2.6;Weak Uptrend;Medium Downtrend;true;true;0.0039;1.0
