date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2008-01-01;1.98545;1.98439;1.98496;1.98466;1.98496;1.98495;false;0.00106;1.98711;1.98324;1.98697;1.98361;1.98542;true;true;true;true;true;false;false;1199209500000000;1199201400000000;1199201400000000;10:30 - 10:45;false;false;false;1.98407;1.98534;1.98324;1.98711;1.98584;1.98324;1199209500000000;1199209500000000;true;12:45 - 13:00;12:45 - 13:00;1.98608;1.9849;false;true;-1.0;-4.7;1.3;3.9;-1.1;2.5;0.5;0.5;0.9;-1.1;2.5;Weak Downtrend;;false;true;0.00133;0.8
2008-01-02;1.9801;1.97735;1.9798;1.97835;1.97855;1.97835;false;0.00275;1.9842;1.9779;1.98265;1.97835;1.9808;true;false;true;false;true;true;true;1199286000000000;;1199286000000000;10:00 - 10:15;true;true;true;;;1.9779;1.9842;1.9779;1.9842;1199288700000000;1199292300000000;true;11:45 - 12:00;10:45 - 11:00;1.98725;1.987;false;false;2.4;4.0;0.3;-0.3;2.5;0.3;0.5;0.4;1.3;0.3;2.5;Medium Downtrend;Strong Downtrend;true;true;0.0039;0.7
2008-01-03;1.97705;1.974;1.97655;1.9744;1.97655;1.9744;false;0.00305;1.9762;1.97055;1.97585;1.97065;1.97335;false;true;false;true;true;true;true;;1199375100000000;1199375100000000;10:45 - 11:00;false;true;true;1.9723;1.9762;1.97055;1.97545;;;;;false;;;1.9817;1.98275;false;false;;;;;-1.2;0.4;0.8;0.1;-0.3;-1.2;0.7;Strong Downtrend;Medium Downtrend;false;false;0.0024;1.3
2008-01-04;1.98045;1.9734;1.9797;1.97515;1.9797;1.97515;false;0.00705;1.9768;1.9711;1.9765;1.97155;1.9716;false;true;false;true;true;true;true;;1199467800000000;1199467800000000;12:30 - 12:45;false;true;true;1.9716;1.9768;1.9711;1.97355;1.97255;1.9711;1199468700000000;1199469600000000;false;13:00 - 13:15;12:45 - 13:00;1.97365;1.97135;true;false;-0.3;-0.8;-0.2;-0.6;-0.4;0.0;0.8;0.2;-0.3;-0.4;0.4;Strong Uptrend;Medium Downtrend;true;true;0.00445;1.6
2008-01-07;1.974;1.9719;1.9738;1.9722;1.9722;1.97225;true;0.0021;1.9756;1.9679;1.97535;1.9686;1.9697;true;true;true;true;true;false;false;1199719800000000;1199722500000000;1199719800000000;10:30 - 10:45;true;false;false;1.9718;1.973;1.9679;1.9756;1.9742;1.9756;1199720700000000;1199720700000000;false;10:45 - 11:00;10:45 - 11:00;1.9717;1.97015;false;false;1.7;2.1;1.1;1.3;1.8;-1.9;0.2;0.2;-1.0;-1.9;1.8;Strong Uptrend;Strong Downtrend;true;true;0.0044;0.5
2008-01-08;1.97755;1.975;1.97725;1.9752;1.9752;1.97725;true;0.00255;1.97835;1.9708;1.97725;1.97115;1.9719;true;true;false;true;true;true;false;;1199806200000000;1199806200000000;10:30 - 10:45;false;true;true;1.9753;1.97835;1.9708;1.97495;1.97495;1.9708;1199816100000000;1199822400000000;false;15:00 - 15:15;13:15 - 13:30;1.9666;1.97085;false;false;-1.6;-2.1;-0.1;-0.2;-1.7;-0.1;0.0;0.8;-1.3;-1.7;1.3;Medium Downtrend;Strong Uptrend;true;false;0.00445;0.6
2008-01-09;1.9597;1.9585;1.95905;1.9587;1.959;1.95905;true;0.0012;1.96025;1.95535;1.95945;1.9557;1.9585;true;true;false;true;true;true;false;;1199891700000000;1199891700000000;10:15 - 10:30;false;true;false;1.959;1.96025;1.95535;1.95905;1.95905;1.95535;1199892600000000;1199895300000000;true;11:15 - 11:30;10:30 - 10:45;1.9714;1.9758;false;false;-2.6;-9.5;0.4;1.0;-2.7;0.4;0.4;0.4;0.0;-2.7;1.4;Strong Downtrend;Medium Downtrend;false;true;0.0038;0.3
2008-01-10;1.96245;1.9572;1.9608;1.9572;1.9572;1.95895;true;0.00525;1.9634;1.95515;1.9629;1.95575;1.9629;true;true;true;true;true;false;false;1199997000000000;1199978100000000;1199978100000000;10:15 - 10:30;false;false;false;1.9575;1.9599;1.95515;1.9634;1.95855;1.95515;1199980800000000;1199984400000000;true;12:00 - 12:15;11:00 - 11:15;1.9573;1.95575;false;false;-0.3;-0.5;0.2;0.3;-0.4;1.1;0.0;0.3;1.0;-0.4;1.1;Medium Uptrend;Weak Downtrend;true;true;0.00295;1.8
2008-01-11;1.95865;1.95705;1.9579;1.9571;1.9571;1.9578;true;0.0016;1.96175;1.9558;1.9613;1.95635;1.95635;true;true;true;true;true;false;false;1200063600000000;1200074400000000;1200063600000000;10:00 - 10:15;true;false;false;;;1.9558;1.96175;1.9571;1.96175;1200067200000000;1200069000000000;true;11:30 - 11:45;11:00 - 11:15;1.96125;1.96185;false;false;2.9;5.8;0.1;0.0;3.0;-0.7;0.1;0.5;-0.4;-0.7;3.0;Strong Uptrend;Strong Downtrend;false;false;0.0032;0.5
2008-01-14;1.9593;1.9577;1.9586;1.9582;1.9586;1.9582;false;0.0016;1.9603;1.9556;1.9592;1.9562;1.9565;true;true;false;true;true;true;false;;1200330900000000;1200330900000000;12:15 - 12:30;false;true;true;1.95705;1.9603;1.9556;1.95845;1.95845;1.9556;1200333600000000;1200340800000000;true;15:00 - 15:15;13:00 - 13:15;1.9588;1.95895;true;true;-1.3;-6.5;0.4;0.6;-1.4;0.4;0.5;0.3;-0.8;-1.4;1.6;Strong Downtrend;Strong Uptrend;false;true;0.00145;1.1
