date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2003-05-05;4.804;4.57;4.738;4.626;4.72;4.738;true;0.234;4.849;4.578;4.782;4.593;4.729;true;false;false;false;false;false;true;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.6;0.7;0.6;0.0;1.1;Expansion;;false;true;0.145;1.6
2003-05-06;4.838;4.618;4.789;4.676;4.734;4.757;true;0.22;4.856;4.598;4.796;4.601;4.718;true;true;false;true;true;true;false;;1052241300000000;1052241300000000;13:15 - 13:30;false;true;false;4.606;4.856;4.598;4.799;4.79;4.598;1052242200000000;1052242200000000;true;13:30 - 13:45;13:30 - 13:45;4.732;4.725;true;true;-0.0;-0.6;0.7;1.0;-0.1;0.8;0.5;0.6;0.4;-0.1;1.0;Weak Uptrend;Weak Downtrend;true;true;0.192;1.1
2003-05-07;4.799;4.609;4.783;4.676;4.717;4.783;true;0.19;4.798;4.499;4.764;4.556;4.684;false;true;false;true;true;true;true;;1052325000000000;1052325000000000;12:30 - 12:45;false;true;false;4.499;4.798;4.539;4.791;4.7;4.539;1052325900000000;1052325900000000;true;12:45 - 13:00;12:45 - 13:00;4.726;4.711;false;true;-0.3;-1.2;0.4;0.2;-0.4;0.9;0.5;0.9;0.3;-0.6;0.9;Weak Downtrend;Contraction;false;true;0.161;1.2
2003-05-08;4.772;4.58;4.74;4.669;4.697;4.74;true;0.192;4.825;4.58;4.791;4.598;4.714;true;false;true;false;true;true;true;1052410500000000;;1052410500000000;12:15 - 12:30;true;true;false;4.58;4.809;4.603;4.825;4.603;4.825;1052413200000000;1052417700000000;true;14:15 - 14:30;13:00 - 13:15;;;;;1.2;2.1;0.2;-0.9;1.3;0.2;0.7;0.9;0.7;0.0;1.3;Weak Uptrend;Weak Downtrend;false;true;0.152;1.3
2003-05-09;4.802;4.558;4.727;4.641;4.699;4.707;true;0.244;4.861;4.565;4.804;4.59;4.711;true;false;true;false;true;true;true;;;;;false;true;false;;;;;;;;;false;;;4.728;4.725;true;true;;;;;;;0.5;0.6;0.6;0.0;1.2;Expansion;Weak Downtrend;true;true;0.164;1.5
2003-05-12;4.83;4.578;4.818;4.681;4.694;4.818;true;0.252;4.905;4.568;4.905;4.605;4.771;true;true;true;false;true;true;false;1052762400000000;;1052762400000000;14:00 - 14:15;true;true;false;4.568;4.832;4.659;4.891;4.729;4.891;1052763300000000;1052763300000000;true;14:15 - 14:30;14:15 - 14:30;4.718;4.708;false;false;1.2;1.5;0.6;0.4;1.3;0.4;0.5;1.0;0.8;-0.0;1.3;Expansion;Expansion;true;true;0.195;1.3
2003-05-13;4.832;4.66;4.827;4.738;4.771;4.827;true;0.172;4.918;4.629;4.847;4.643;4.733;true;true;true;true;true;false;false;1052848800000000;1052853300000000;1052848800000000;14:00 - 14:15;true;false;false;4.65;4.918;4.629;4.834;;;;;false;;;4.785;4.777;false;false;;;;;1.1;-0.1;0.7;1.0;0.5;-0.1;1.6;Weak Uptrend;Weak Downtrend;true;true;0.192;0.9
2003-05-14;4.83;4.625;4.796;4.724;4.727;4.796;true;0.205;4.926;4.655;4.902;4.666;4.781;true;false;true;false;true;true;true;1052925300000000;;1052925300000000;11:15 - 11:30;true;true;false;4.655;4.86;4.655;4.926;4.655;4.926;1052929800000000;1052932500000000;true;13:15 - 13:30;12:30 - 12:45;;;;;1.4;2.8;0.2;-0.9;1.5;0.2;0.5;0.9;0.8;0.2;1.5;Expansion;Expansion;false;true;0.198;1.0
2003-05-15;4.795;4.614;4.778;4.701;4.714;4.768;true;0.181;4.853;4.608;4.821;4.637;4.692;true;true;true;false;true;true;false;1053013500000000;;1053013500000000;11:45 - 12:00;true;true;false;4.609;4.805;4.622;4.853;4.654;4.853;1053015300000000;1053016200000000;true;12:30 - 12:45;12:15 - 12:30;;;;;1.3;1.9;0.3;-0.6;1.4;0.1;0.6;0.9;0.5;-0.0;1.4;Weak Downtrend;Weak Downtrend;true;true;0.198;0.9
2003-05-16;4.837;4.587;4.811;4.668;4.781;4.73;false;0.25;4.822;4.589;4.792;4.606;4.699;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.7;0.5;0.4;0.0;0.9;Expansion;Expansion;true;true;0.16;1.6
2003-05-19;4.823;4.627;4.79;4.7;4.758;4.79;true;0.196;4.878;4.58;4.851;4.598;4.747;true;true;true;true;true;false;false;1053369000000000;;1053369000000000;14:30 - 14:45;true;true;false;4.58;4.878;4.647;4.859;4.705;4.859;1053369900000000;1053369900000000;true;14:45 - 15:00;14:45 - 15:00;;;;;1.1;1.7;0.4;0.1;1.2;0.2;0.7;0.9;0.7;-0.2;1.3;Expansion;;true;true;0.172;1.1
