date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2012-04-04;2782.78;2779.07;2782.78;2779.09;2779.09;2782.78;true;3.71;2782.78;2782.78;2782.78;2782.78;2782.78;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.0;1.0;1.0;1.0;1.0;;;;;;
2013-03-07;2796.136;2788.676;2796.136;2789.24;2796.136;2789.775;false;7.46;2792.552;2789.748;2792.552;2789.765;2792.552;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;2790.969;;false;;;;;;;;1.0;0.1;0.5;0.1;0.5;;;;;;
2013-05-23;3007.058;3002.098;3006.873;3002.098;3002.098;3006.873;true;4.96;3007.99;2995.401;3007.349;2996.47;2996.47;true;true;true;true;true;false;false;1369271700000000;1369279800000000;1369271700000000;10:15 - 10:30;true;false;false;3005.924;3006.695;2995.401;3007.872;3006.223;3007.872;1369272600000000;1369272600000000;true;10:30 - 10:45;10:30 - 10:45;;;;;1.1;1.2;0.9;0.9;1.2;-1.3;0.0;1.0;-1.1;-1.3;1.2;Strong Uptrend;Strong Downtrend;true;true;8.842;0.6
2013-05-24;2996.192;2992.502;2995.372;2992.765;2992.765;2995.372;true;3.69;3002.548;2993.637;3001.639;2994.144;2997.479;true;false;true;false;true;true;true;1369361700000000;;1369361700000000;11:15 - 11:30;true;true;true;2993.637;2996.895;2994.974;3002.548;2995.106;3002.548;1369362600000000;1369364400000000;true;12:00 - 12:15;11:30 - 11:45;2995.356;2998.552;false;false;2.7;3.7;0.8;0.9;2.8;0.7;0.1;0.8;1.4;0.4;2.8;;;;;;
2013-05-29;3008.161;3004.254;3007.686;3004.786;3004.786;3005.583;true;3.907;3006.156;2999.716;3005.573;3000.101;3003.025;false;true;false;true;true;true;true;;1369789200000000;1369789200000000;10:00 - 10:15;false;true;true;;;2999.716;3006.156;3006.156;2999.716;1369794600000000;1369799100000000;true;12:45 - 13:00;11:30 - 11:45;3005.266;3003.388;false;false;-1.1;-1.7;0.4;0.4;-1.2;0.4;0.1;0.3;-0.4;-1.2;0.4;Strong Downtrend;Strong Downtrend;true;false;4.492;0.9
2013-05-30;2997.59;2993.611;2996.511;2994.128;2996.511;2995.021;false;3.979;3000.065;2990.623;2998.774;2991.582;2997.825;true;true;true;true;true;false;false;1369886400000000;1369875600000000;1369875600000000;10:00 - 10:15;false;false;false;;;2990.623;3000.065;2993.221;2990.623;1369876500000000;1369876500000000;false;10:15 - 10:30;10:15 - 10:30;2994.128;2996.627;true;true;-0.7;-1.4;-0.1;-0.4;-0.8;1.6;0.7;0.3;1.0;-0.8;1.6;Medium Uptrend;Strong Downtrend;true;true;4.827;0.8
2013-05-31;3010.306;3009.15;3010.135;3009.265;3009.681;3010.032;true;1.156;3014.195;3005.018;3013.849;3005.775;3011.032;true;true;true;true;true;false;false;1369969200000000;1369962000000000;1369962000000000;10:00 - 10:15;false;false;false;;;3005.018;3014.195;3008.999;3005.018;1369962900000000;1369962900000000;false;10:15 - 10:30;10:15 - 10:30;3010.026;3013.175;false;false;-3.5;-4.8;-0.2;-0.4;-3.6;4.3;0.4;0.7;1.6;-3.6;4.3;Strong Uptrend;Strong Downtrend;false;false;6.147;0.2
2013-06-04;2987.399;2985.809;2987.385;2985.833;2985.833;2986.387;true;1.59;2987.061;2978.06;2986.33;2980.426;2983.285;false;true;false;true;true;true;true;;1370309400000000;1370309400000000;10:30 - 10:45;false;true;true;2985.814;2986.988;2980.21;2987.061;2981.997;2980.21;1370310300000000;1370310300000000;false;10:45 - 11:00;10:45 - 11:00;2986.846;2982.59;true;false;-3.5;-3.6;-2.4;-2.5;-3.6;0.7;0.0;0.3;-1.6;-4.9;0.7;Strong Downtrend;Medium Uptrend;true;true;5.46;0.3
2013-06-05;2977.489;2970.704;2976.256;2970.871;2974.718;2971.383;false;6.785;2976.099;2968.826;2975.554;2970.04;2973.399;false;true;false;true;true;true;true;;;;;false;true;false;;;;;;;;;false;;;2970.871;2975.084;true;true;;;;;;;0.5;0.1;0.3;-0.3;0.7;Strong Downtrend;Weak Downtrend;false;true;5.82;1.2
2013-06-06;2940.393;2938.128;2939.244;2938.605;2938.891;2939.203;true;2.265;2944.364;2937.243;2943.867;2937.475;2942.861;true;true;true;true;true;false;false;1370484000000000;1370480400000000;1370480400000000;10:00 - 10:15;false;false;false;;;2937.243;2944.364;2940.798;2937.243;1370481300000000;1370481300000000;true;10:15 - 10:30;10:15 - 10:30;2939.244;2943.093;true;false;-0.3;-2.1;1.1;3.4;-0.4;2.7;0.3;0.4;2.0;-0.4;2.7;Strong Downtrend;Medium Uptrend;true;true;2.88;0.8
