date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2013-05-23;2995.952;2989.223;2993.346;2989.76;2992.252;2993.238;true;6.729;2993.868;2961.128;2993.316;2963.075;2968.88;false;true;false;true;true;true;true;;1369297800000000;1369297800000000;04:30 - 04:45;false;true;true;2988.305;2993.868;2961.128;2989.385;2989.385;2961.128;1369298700000000;1369308600000000;true;07:30 - 07:45;04:45 - 05:00;;;;;-4.1;-7.9;0.0;-0.2;-4.2;0.0;0.4;0.5;-3.1;-4.2;0.6;Strong Downtrend;Strong Uptrend;true;false;4.96;1.4
2013-05-27;2998.265;2994.715;2997.857;2996.042;2996.114;2997.857;true;3.55;2998.881;2990.552;2998.613;2991.693;2992.482;true;true;true;true;true;false;false;1369650600000000;1369645200000000;1369645200000000;05:00 - 05:15;false;false;true;2996.281;2998.563;2990.552;2998.881;2998.881;2990.552;1369650600000000;1369653300000000;true;07:15 - 07:30;06:30 - 06:45;;;;;-1.1;-3.0;1.1;1.5;-1.2;1.1;0.3;0.8;-0.7;-1.2;1.1;;;;;;
2013-05-28;3007.28;3005.511;3007.17;3005.647;3007.17;3006.394;false;1.769;3023.094;3005.704;3021.645;3005.733;3018.742;true;false;true;false;true;true;true;1369729800000000;;1369729800000000;04:30 - 04:45;true;true;true;3005.704;3007.394;3007.022;3023.094;3007.022;3023.094;1369731600000000;1369737000000000;true;06:30 - 06:45;05:00 - 05:15;;;;;9.9;11.4;0.9;1.0;10.0;0.9;1.0;0.5;7.5;0.2;10.0;;;;;;
2013-05-29;3008.198;3003.596;3007.479;3003.596;3003.596;3007.479;true;4.602;3007.399;2989.038;3007.343;2989.255;2994.14;false;true;false;true;true;true;true;;1369817100000000;1369817100000000;04:45 - 05:00;false;true;true;3002.205;3007.399;2989.038;2999.302;2999.302;2989.038;1369818000000000;1369823400000000;false;06:30 - 06:45;05:00 - 05:15;3005.266;3003.388;false;false;-3.1;-3.7;-1.0;-1.2;-3.2;-1.0;0.0;0.8;-2.1;-3.2;0.8;Expansion;Strong Downtrend;false;true;3.907;1.2
2013-05-30;2995.381;2992.614;2995.204;2992.786;2992.786;2994.372;true;2.767;2994.738;2981.525;2994.3;2984.15;2988.158;false;true;false;true;true;true;true;;1369901700000000;1369901700000000;04:15 - 04:30;false;true;true;2993.044;2994.738;2981.525;2993.25;2989.885;2981.525;1369902600000000;1369906200000000;false;05:30 - 05:45;04:30 - 04:45;2994.128;2996.627;false;false;-4.0;-4.6;-1.0;-1.2;-4.1;0.2;0.0;0.6;-1.7;-4.1;0.7;Medium Downtrend;Strong Uptrend;false;false;3.979;0.7
2013-05-31;3013.899;3010.502;3013.376;3010.924;3011.237;3011.678;true;3.397;3013.079;2987.52;3012.39;2988.363;2989.095;false;true;false;true;true;true;true;;1369990800000000;1369990800000000;05:00 - 05:15;false;true;true;3010.217;3013.079;2987.52;3011.819;3011.819;2987.52;1369992600000000;1370001600000000;true;08:00 - 08:15;05:30 - 05:45;3010.026;3013.175;false;true;-6.7;-9.5;0.3;0.3;-6.8;0.3;0.2;0.3;-6.4;-6.8;0.7;Strong Uptrend;Strong Uptrend;false;false;1.156;2.9
2013-06-04;2985.855;2982.404;2985.257;2982.858;2983.735;2985.234;true;3.451;2991.062;2983.901;2990.328;2984.147;2985.004;true;false;true;false;true;true;true;1370332800000000;;1370332800000000;04:00 - 04:15;true;true;false;;;2983.901;2991.062;2984.933;2991.062;1370333700000000;1370340900000000;true;06:15 - 06:30;04:15 - 04:30;2986.846;2982.59;false;true;2.5;3.4;0.8;0.9;2.6;0.5;0.4;0.9;0.8;0.5;2.6;Medium Downtrend;Strong Downtrend;false;true;1.59;2.2
2013-06-05;2975.758;2971.469;2974.215;2972.303;2973.782;2973.811;true;4.289;2975.462;2964.735;2973.72;2965.262;2972.245;false;true;false;true;true;true;true;;1370421000000000;1370421000000000;04:30 - 04:45;false;true;false;2971.355;2974.46;2964.735;2975.462;2971.275;2964.735;1370426400000000;1370426400000000;false;06:00 - 06:15;06:00 - 06:15;2970.871;2975.084;false;true;-1.5;-3.9;-0.1;-0.6;-1.6;0.9;0.5;0.5;0.1;-1.6;0.9;Contraction;Strong Downtrend;false;true;6.785;0.6
2013-06-06;2943.897;2941.386;2943.897;2941.982;2943.048;2943.897;true;2.511;2945.898;2941.004;2945.887;2941.604;2945.028;true;true;true;false;true;true;false;1370505600000000;;1370505600000000;04:00 - 04:15;true;true;true;;;2941.004;2945.898;2941.004;2945.898;1370509200000000;1370516400000000;true;07:00 - 07:15;05:00 - 05:15;2939.244;2943.093;false;false;1.7;2.0;-0.1;-0.5;1.8;-0.1;0.7;1.0;1.5;-0.1;1.8;Strong Uptrend;Strong Downtrend;false;false;2.265;1.1
2013-06-07;2951.251;2945.111;2949.218;2946.118;2946.38;2949.055;true;6.14;2951.888;2941.613;2950.784;2943.562;2946.308;true;true;false;true;true;true;false;;1370595600000000;1370595600000000;05:00 - 05:15;false;true;false;2946.111;2951.282;2941.613;2951.888;2946.104;2941.613;1370597400000000;1370597400000000;true;05:30 - 05:45;05:30 - 05:45;2949.55;2951.162;true;true;-0.5;-1.4;0.1;-0.1;-0.6;1.1;0.2;0.6;0.1;-0.6;1.1;Expansion;Strong Uptrend;false;false;2.957;2.1
