date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2011-09-19;2319.73;2308.05;2319.24;2308.64;2314.69;2308.76;false;11.68;2308.76;2308.76;2308.76;2308.76;2308.76;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.5;0.0;0.0;0.0;0.0;Strong Uptrend;;false;false;17.63;0.7
2011-09-20;2306.14;2293.06;2305.33;2294.47;2295.84;2295.82;false;13.08;2295.89;2295.89;2295.89;2295.89;2295.89;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.2;0.2;0.2;0.2;0.2;Strong Downtrend;;false;true;9.83;1.3
2012-03-19;2736.99;2730.73;2736.14;2731.58;2736.14;2733.26;false;6.26;2733.26;2733.26;2733.26;2733.26;2733.26;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.8;0.4;0.4;0.4;0.4;Medium Uptrend;;true;true;13.85;0.5
2012-03-20;2738.9;2734.45;2737.96;2735.92;2737.11;2737.63;true;4.45;2737.63;2737.63;2737.63;2737.63;2737.63;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.5;0.7;0.7;0.7;0.7;Strong Uptrend;;true;true;6.68;0.7
2012-03-21;2750.72;2736.88;2750.56;2736.88;2750.52;2736.88;false;13.84;2736.88;2736.88;2736.88;2736.88;2736.88;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.9;0.0;0.0;0.0;0.0;Expansion;;true;true;7.11;1.9
2012-04-03;2779.15;2769.63;2779.11;2770.52;2772.65;2779.11;true;9.52;2782.78;2779.07;2782.78;2779.09;2782.78;true;false;true;false;true;true;true;1333470600000000;;1333470600000000;12:30 - 12:45;true;true;true;;;2781.1;2782.78;2781.1;2782.78;1333470900000000;1333471200000000;false;12:30 - 12:45;12:30 - 12:45;;;;;1.3;1.4;1.3;1.3;1.4;1.3;0.4;1.0;1.4;1.0;1.4;Medium Downtrend;;false;true;16.22;0.6
2012-04-10;2701.45;2693.62;2701.15;2693.92;2693.92;2695.12;true;7.83;2695.12;2695.12;2695.12;2695.12;2695.12;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.0;0.1;0.1;0.1;0.1;Medium Downtrend;;false;true;36.0;0.2
2012-04-18;2724.72;2715.89;2724.31;2715.89;2720.7;2716.14;false;8.83;2716.14;2716.14;2716.14;2716.14;2716.14;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.5;0.0;0.0;0.0;0.0;Medium Uptrend;;true;true;12.08;0.7
2012-04-23;2657.27;2653.1;2656.05;2653.19;2655.43;2653.5;false;4.17;2653.5;2653.5;2653.5;2653.5;2653.5;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.5;0.0;0.0;0.0;0.0;Strong Uptrend;;true;true;13.12;0.3
2012-04-25;2710.52;2705.7;2710.44;2706.46;2706.46;2709.62;true;4.82;2709.62;2709.62;2709.62;2709.62;2709.62;false;false;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.1;0.8;0.8;0.8;0.8;Strong Uptrend;;false;false;5.19;0.9
