date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2011-09-19;2278.29;2268.27;2277.64;2269.01;2277.64;2269.01;false;10.02;2319.73;2260.66;2319.24;2261.27;2308.95;true;true;true;true;true;false;false;1316444400000000;1316439900000000;1316439900000000;09:45 - 10:00;false;false;false;;;2260.66;2319.73;2267.9;2260.66;1316440800000000;1316440800000000;false;10:00 - 10:15;10:00 - 10:15;;;;;-0.7;-0.9;-0.1;-0.2;-0.8;5.1;0.9;0.0;4.0;-0.8;5.1;;;;;;
2011-09-20;2320.72;2304.49;2318.55;2306.38;2318.55;2306.38;false;16.23;2337.6;2293.06;2336.66;2294.47;2295.36;true;true;true;true;true;false;false;1316528400000000;1316545500000000;1316528400000000;10:15 - 10:30;true;false;false;2304.49;2320.29;2293.06;2337.6;2321.33;2337.6;1316528700000000;1316534100000000;false;11:45 - 12:00;10:15 - 10:30;;;;;2.0;2.5;1.1;1.3;2.1;-0.7;0.9;0.2;-0.5;-0.7;2.1;;;;;;
2011-09-21;2321.13;2307.68;2316.8;2308.41;2308.41;2311.15;true;13.45;2318.32;2258.92;2315.13;2259.17;2259.17;false;true;false;true;true;true;true;;1316615100000000;1316615100000000;10:15 - 10:30;false;true;true;2305.91;2318.32;2258.92;2315.39;2315.39;2258.92;1316629200000000;1316634900000000;true;15:45 - 16:00;14:15 - 14:30;;;;;-3.6;-5.8;0.5;0.8;-3.7;0.5;0.0;0.2;-3.7;-3.7;0.7;;;;;;
2011-09-22;2210.53;2195.42;2209.63;2195.42;2195.42;2203.38;true;15.11;2219.71;2159.07;2216.04;2161.6;2171.44;true;true;true;true;true;false;false;1316701200000000;1316699100000000;1316699100000000;09:45 - 10:00;false;false;true;;;2159.07;2219.71;2219.71;2159.07;1316702700000000;1316714400000000;true;14:00 - 14:15;10:45 - 11:00;;;;;-2.4;-2.5;1.6;1.7;-2.5;1.6;0.0;0.5;-1.6;-2.5;1.6;;;;;;
2012-01-20;2434.9;2428.66;2434.05;2428.66;2428.66;2434.05;true;6.24;2438.25;2429.05;2437.5;2429.88;2436.24;true;false;true;false;true;true;true;1327072800000000;;1327072800000000;10:15 - 10:30;true;true;true;2429.22;2434.03;2429.05;2438.25;2429.05;2438.25;1327077300000000;1327083900000000;true;13:15 - 13:30;11:30 - 11:45;;;;;1.5;1.7;0.1;0.1;1.6;0.1;0.0;0.9;1.3;0.1;1.6;;;;;;
2012-01-23;2446.63;2436.54;2446.38;2436.86;2436.86;2446.38;true;10.09;2455.22;2424.29;2453.85;2425.8;2437.37;true;true;true;true;true;false;false;1327330500000000;1327336500000000;1327330500000000;09:45 - 10:00;true;false;false;2444.46;2447.81;2424.29;2455.22;2449.06;2455.22;1327330800000000;1327331100000000;false;10:00 - 10:15;10:00 - 10:15;;;;;1.8;1.9;1.3;1.3;1.9;-1.2;0.1;1.0;0.1;-1.2;1.9;;;;;;
2012-01-24;2429.37;2423.36;2428.93;2424.13;2427.79;2426.23;false;6.01;2440.2;2424.51;2439.17;2425.94;2433.09;true;false;true;false;true;true;true;1327417200000000;;1327417200000000;10:00 - 10:15;true;true;true;2425.32;2428.84;2427.82;2440.2;2429.97;2440.2;1327417800000000;1327419900000000;false;10:45 - 11:00;10:00 - 10:15;;;;;2.8;3.3;1.1;1.3;2.9;0.8;0.8;0.5;1.7;0.2;2.9;;;;;;
2012-01-25;2456.55;2443.84;2456.55;2444.75;2456.55;2447.48;false;12.71;2470.57;2440.57;2469.36;2442.16;2465.54;true;true;true;true;true;false;false;1327514700000000;1327503900000000;1327503900000000;10:00 - 10:15;false;false;false;2443.14;2449.53;2440.57;2470.57;2449.14;2440.57;1327504800000000;1327505700000000;true;10:30 - 10:45;10:15 - 10:30;;;;;-0.2;-0.3;0.4;0.3;-0.3;2.1;1.0;0.2;1.7;-0.3;2.1;;;;;;
2012-01-26;2474.44;2467.99;2474.42;2468.92;2474.42;2472.52;false;6.45;2479.31;2444.87;2478.31;2445.1;2454.59;true;true;true;true;true;false;false;1327589400000000;1327591800000000;1327589400000000;09:45 - 10:00;true;false;false;2472.42;2474.92;2444.87;2479.31;2476.65;2479.31;1327589700000000;1327589700000000;false;09:45 - 10:00;09:45 - 10:00;;;;;1.7;1.8;1.4;1.5;1.8;-3.5;1.0;0.8;-2.0;-3.5;1.8;;;;;;
2012-01-27;2459.27;2449.83;2458.6;2450.38;2450.38;2458.39;true;9.44;2467.46;2452.63;2467.3;2453.93;2462.27;true;false;true;false;true;true;true;1327676100000000;;1327676100000000;09:45 - 10:00;true;true;true;2456.47;2459.53;2452.63;2467.46;2452.63;2467.46;1327677000000000;1327697100000000;true;15:45 - 16:00;10:00 - 10:15;;;;;1.8;2.0;0.3;0.3;1.9;0.3;0.1;1.0;1.4;0.3;1.9;;;;;;
