date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2013-01-02;91.72;91.64;91.71;91.65;91.65;91.7;true;0.08;92.68;91.63;92.66;91.65;92.64;true;true;true;false;true;true;false;1357087200000000;;1357087200000000;09:30 - 09:45;true;true;true;91.63;91.72;91.73;92.68;91.73;92.68;1357087500000000;1357103700000000;false;14:15 - 14:30;09:45 - 10:00;91.65;92.58;false;false;13.0;17.1;1.2;1.4;13.1;1.2;0.2;0.8;12.6;-0.1;13.1;;Strong Uptrend;false;true;0.4;0.2
2013-01-03;92.8;92.73;92.8;92.73;92.79;92.73;false;0.07;92.95;92.49;92.93;92.5;92.91;true;true;true;true;true;false;false;1357185000000000;1357171200000000;1357171200000000;09:00 - 09:15;false;false;false;;;92.49;92.95;92.79;92.49;1357174200000000;1357177800000000;true;10:45 - 11:00;09:45 - 10:00;92.73;92.82;false;false;-3.4;-3.4;0.8;0.8;-3.5;3.1;0.8;0.0;2.5;-3.5;3.1;Strong Downtrend;Strong Uptrend;false;false;0.33;0.2
2013-01-04;92.84;92.74;92.84;92.76;92.83;92.77;false;0.1;92.8;92.14;92.8;92.14;92.19;false;true;false;true;true;true;true;;1357258500000000;1357258500000000;09:15 - 09:30;false;true;true;92.74;92.8;92.14;92.72;92.72;92.14;1357258800000000;1357266300000000;false;11:15 - 11:30;09:15 - 09:30;92.77;92.18;false;false;-5.9;-7.7;-0.2;-0.6;-6.0;-0.2;0.8;0.2;-5.5;-6.0;0.5;Strong Downtrend;Strong Uptrend;false;false;0.4;0.3
2013-01-07;93.13;93.02;93.11;93.04;93.04;93.05;true;0.11;93.12;92.83;93.1;92.83;92.85;false;true;false;true;true;true;true;;1357516800000000;1357516800000000;09:00 - 09:15;false;true;true;;;92.83;93.12;93.12;92.83;1357526400000000;1357533900000000;true;13:45 - 14:00;11:30 - 11:45;93.05;92.85;false;false;-1.7;-3.0;0.9;1.1;-1.8;0.9;0.1;0.2;-1.6;-1.8;0.9;Strong Uptrend;Medium Uptrend;true;true;0.25;0.4
2013-01-08;93.28;93.23;93.28;93.23;93.25;93.28;true;0.05;93.33;93.12;93.31;93.13;93.21;true;true;true;true;true;false;false;1357603800000000;1357607700000000;1357603800000000;09:00 - 09:15;true;false;false;93.25;93.28;93.12;93.33;93.26;93.33;1357604100000000;1357604100000000;true;09:15 - 09:30;09:15 - 09:30;93.28;93.15;false;false;2.0;2.0;0.7;0.7;2.0;-2.2;0.4;1.0;-0.4;-2.2;2.0;Strong Uptrend;Medium Uptrend;false;true;0.44;0.1
2013-01-09;93.22;93.12;93.2;93.14;93.15;93.18;true;0.1;93.29;92.92;93.28;92.92;93.01;true;true;true;true;true;false;false;1357690200000000;1357691400000000;1357690200000000;09:00 - 09:15;true;false;false;93.15;93.2;92.92;93.28;93.24;93.28;1357690500000000;1357690500000000;false;09:15 - 09:30;09:15 - 09:30;93.18;92.97;false;false;1.6;2.3;1.2;1.7;1.7;-2.0;0.4;0.7;-1.1;-2.0;1.8;Contraction;Medium Uptrend;false;true;0.33;0.3
2013-01-10;93.21;93.16;93.19;93.17;93.19;93.18;false;0.05;93.53;93.08;93.51;93.08;93.48;true;true;true;true;true;false;false;1357783800000000;1357777500000000;1357777500000000;09:15 - 09:30;false;false;false;93.15;93.22;93.08;93.53;93.17;93.08;1357779000000000;1357781700000000;true;10:30 - 10:45;09:45 - 10:00;93.18;93.47;false;false;-1.6;-4.5;0.2;0.0;-1.7;7.4;0.6;0.4;6.4;-1.7;7.4;Strong Downtrend;Strong Uptrend;false;true;0.38;0.1
2013-01-11;94.09;94.01;94.09;94.02;94.02;94.07;true;0.08;94.06;93.81;94.06;93.82;93.92;false;true;false;true;true;true;true;;1357862400000000;1357862400000000;09:00 - 09:15;false;true;true;;;93.81;94.06;94.06;93.81;1357863600000000;1357874400000000;true;12:15 - 12:30;09:15 - 09:30;94.06;93.84;false;false;-2.5;-2.9;0.6;0.5;-2.6;0.6;0.1;0.7;-1.2;-2.6;0.6;Contraction;Strong Downtrend;false;false;0.42;0.2
2013-01-14;93.86;93.76;93.85;93.76;93.76;93.84;true;0.1;94.26;93.8;94.22;93.81;94.22;true;false;true;false;true;true;true;1358122200000000;;1358122200000000;09:00 - 09:15;true;true;true;93.82;93.89;93.8;94.26;93.8;94.26;1358124000000000;1358130300000000;true;11:15 - 11:30;09:30 - 09:45;93.83;94.16;false;false;5.0;5.5;0.4;0.5;5.1;0.4;0.0;0.9;4.7;0.4;5.1;Strong Uptrend;Medium Downtrend;false;false;0.54;0.2
2013-01-15;94.24;94.1;94.24;94.11;94.24;94.11;false;0.14;94.17;93.8;94.16;93.8;93.82;false;true;false;true;true;true;true;;1358212800000000;1358212800000000;10:15 - 10:30;false;true;true;94.09;94.17;93.8;94.13;94.13;93.8;1358214600000000;1358226600000000;true;14:00 - 14:15;10:45 - 11:00;94.11;93.85;false;false;-2.1;-2.3;0.2;0.1;-2.2;0.2;1.0;0.0;-2.0;-2.2;0.5;Strong Uptrend;Weak Uptrend;false;true;0.38;0.4
