date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2013-01-02;93.66;93.26;93.62;93.32;93.53;93.62;true;0.4;93.66;92.58;93.62;92.7;92.94;false;true;false;true;true;true;true;;1357142400000000;1357142400000000;11:00 - 11:15;false;true;true;93.19;93.66;92.58;93.26;93.26;92.58;1357142700000000;1357148100000000;false;12:30 - 12:45;11:00 - 11:15;91.65;92.58;false;false;-1.7;-2.4;0.0;-0.2;-1.8;0.0;0.6;0.9;-0.9;-1.8;1.0;Strong Uptrend;Strong Uptrend;false;false;0.11;3.6
2013-01-03;93.19;92.86;93.15;92.89;93.04;92.89;false;0.33;93.3;92.61;93.25;92.63;92.68;true;true;true;true;true;false;false;1357231500000000;1357227900000000;1357227900000000;10:45 - 11:00;false;false;true;92.79;93.18;92.61;93.3;93.3;92.61;1357233300000000;1357245300000000;true;15:30 - 15:45;12:15 - 12:30;92.73;92.82;false;false;-0.7;-1.0;1.3;1.5;-0.8;1.3;0.5;0.0;-0.6;-0.8;1.3;Strong Uptrend;Medium Downtrend;true;false;0.19;1.7
2013-01-04;92.96;92.56;92.92;92.61;92.61;92.92;true;0.4;93.15;92.22;93.08;92.33;93.06;true;true;true;true;true;false;false;1357322700000000;1357317000000000;1357317000000000;11:30 - 11:45;false;false;false;92.54;93.05;92.28;93.15;92.39;92.28;1357317300000000;1357317600000000;false;11:30 - 11:45;11:30 - 11:45;92.77;92.18;false;false;-0.7;-1.0;-0.5;-0.8;-0.8;1.4;0.1;0.9;1.2;-0.9;1.4;Strong Uptrend;Strong Downtrend;false;true;0.23;1.7
2013-01-07;92.87;92.62;92.81;92.7;92.7;92.81;true;0.25;93.34;92.77;93.28;92.81;93.22;true;false;true;false;true;true;true;1357570800000000;;1357570800000000;10:00 - 10:15;true;true;true;;;92.86;93.34;92.89;93.34;1357571100000000;1357573500000000;false;10:45 - 11:00;10:00 - 10:15;93.05;92.85;false;true;2.8;5.8;1.1;1.8;2.9;1.0;0.4;0.8;2.4;0.6;2.9;Medium Uptrend;Strong Downtrend;true;false;0.11;2.3
2013-01-08;93.55;93.11;93.49;93.17;93.47;93.17;false;0.44;93.3;92.68;93.29;92.7;93.29;false;true;false;true;true;true;true;;1357657500000000;1357657500000000;10:00 - 10:15;false;true;false;93.05;93.2;92.68;93.3;93.14;92.68;1357657800000000;1357659600000000;true;10:30 - 10:45;10:00 - 10:15;93.28;93.15;false;true;-0.9;-1.5;0.0;-0.1;-1.0;0.4;0.8;0.1;0.4;-1.0;0.4;Medium Uptrend;Strong Downtrend;true;true;0.13;3.4
2013-01-09;93.64;93.31;93.57;93.32;93.32;93.5;true;0.33;93.55;92.68;93.5;92.83;93.13;false;true;false;true;true;true;true;;1357745400000000;1357745400000000;10:30 - 10:45;false;true;true;93.39;93.55;92.68;93.25;93.25;92.68;1357745700000000;1357746300000000;false;10:45 - 11:00;10:30 - 10:45;93.18;92.97;false;false;-1.9;-2.5;-0.2;-0.3;-2.0;-0.2;0.0;0.5;-0.6;-2.0;0.7;Medium Uptrend;Expansion;false;true;0.39;0.8
2013-01-10;94.32;93.94;94.29;93.97;94.19;94.02;false;0.38;94.2;93.61;94.16;93.74;93.88;false;true;false;true;true;true;true;;1357842000000000;1357842000000000;13:15 - 13:30;false;true;true;93.83;94.2;93.61;94.09;94.09;93.61;1357843800000000;1357845300000000;true;14:15 - 14:30;13:45 - 14:00;93.18;93.47;false;false;-0.8;-1.1;0.3;0.3;-0.9;0.3;0.6;0.2;-0.2;-0.9;0.6;Strong Uptrend;Strong Uptrend;true;true;0.15;2.5
2013-01-11;93.3;92.88;93.21;92.92;93.14;93.13;false;0.42;93.77;92.65;93.75;92.83;93.65;true;true;true;true;true;false;false;1357927200000000;1357918200000000;1357918200000000;10:30 - 10:45;false;false;false;92.88;93.28;92.78;93.77;92.92;92.78;1357918500000000;1357918500000000;true;10:30 - 10:45;10:30 - 10:45;94.06;93.84;false;false;-0.2;-0.4;0.0;0.0;-0.3;2.1;0.6;0.5;1.8;-0.6;2.1;Strong Downtrend;Strong Downtrend;false;true;0.2;2.1
2013-01-14;93.82;93.28;93.78;93.33;93.75;93.33;false;0.54;94.28;92.95;94.28;93.01;94.19;true;true;true;true;true;false;false;1358191200000000;1358175600000000;1358175600000000;10:00 - 10:15;false;false;false;;;92.95;94.28;93.21;92.95;1358176500000000;1358177100000000;false;10:15 - 10:30;10:15 - 10:30;93.83;94.16;false;false;-0.6;-0.8;-0.2;-0.3;-0.7;1.8;0.8;0.0;1.6;-0.7;1.8;Medium Downtrend;Weak Uptrend;false;true;0.42;1.3
2013-01-15;94.17;93.79;94.12;93.81;94.12;93.88;false;0.38;94.06;93.22;94.01;93.29;93.46;false;true;false;true;true;true;true;;1358269500000000;1358269500000000;12:00 - 12:15;false;true;true;93.7;94.03;93.22;94.06;94.06;93.22;1358274300000000;1358277900000000;true;14:15 - 14:30;13:15 - 13:30;94.11;93.85;false;true;-1.5;-1.9;0.7;0.8;-1.6;0.7;0.8;0.2;-0.9;-1.6;0.7;Weak Uptrend;Strong Downtrend;true;false;0.32;1.2
