date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2003-05-06;4.774;4.632;4.739;4.639;4.693;4.739;true;0.142;4.835;4.626;4.791;4.648;4.754;true;true;true;false;true;true;false;;;;;false;true;false;;;;;;;;;false;;;4.732;4.725;false;false;;;;;;;0.4;0.7;0.8;-0.1;1.4;Contraction;Weak Uptrend;false;true;0.213;0.7
2003-05-07;4.815;4.655;4.746;4.667;4.737;4.746;true;0.16;4.826;4.571;4.768;4.604;4.713;true;true;false;true;true;true;false;;1052271000000000;1052271000000000;10:30 - 10:45;false;true;false;4.572;4.779;4.572;4.826;;;;;false;;;4.726;4.711;true;true;;;;;-0.6;1.0;0.5;0.5;0.3;-0.6;1.0;Contraction;Weak Downtrend;true;false;0.156;1.0
2003-05-08;4.724;4.582;4.689;4.589;4.643;4.689;true;0.142;4.759;4.533;4.753;4.565;4.672;true;true;true;true;true;false;false;1052364600000000;1052357400000000;1052357400000000;10:30 - 10:45;false;false;false;4.534;4.708;4.533;4.759;4.679;4.533;1052358300000000;1052358300000000;true;10:45 - 11:00;10:45 - 11:00;;;;;-0.3;-0.5;0.6;0.9;-0.4;1.2;0.4;0.7;0.6;-0.4;1.2;Weak Downtrend;Weak Uptrend;true;true;0.174;0.8
2003-05-09;4.79;4.644;4.735;4.646;4.705;4.735;true;0.146;4.787;4.601;4.777;4.633;4.724;false;true;false;true;true;true;true;;1052446500000000;1052446500000000;11:15 - 11:30;false;true;false;4.617;4.782;4.601;4.787;4.787;4.601;1052452800000000;1052456400000000;true;14:00 - 14:15;13:00 - 13:15;4.728;4.725;false;false;-0.2;-0.5;0.9;1.5;-0.3;0.9;0.4;0.6;0.5;-0.3;0.9;Weak Uptrend;Expansion;false;true;0.244;0.6
2003-05-13;4.824;4.682;4.789;4.689;4.743;4.789;true;0.142;4.852;4.644;4.838;4.697;4.743;true;true;true;false;true;true;false;;;;;false;true;false;;;;;;;;;false;;;4.785;4.777;false;false;;;;;;;0.4;0.7;0.4;-0.3;1.1;Weak Uptrend;Weak Uptrend;true;false;0.169;0.8
2003-05-14;4.804;4.662;4.769;4.669;4.723;4.769;true;0.142;4.868;4.637;4.842;4.674;4.775;true;true;true;false;true;true;false;1052881200000000;;1052881200000000;12:00 - 12:15;true;true;false;4.64;4.852;4.637;4.868;4.637;4.868;1052886600000000;1052886600000000;true;13:30 - 13:45;13:30 - 13:45;;;;;1.4;1.9;-0.1;-0.3;1.5;-0.1;0.5;0.8;0.8;-0.1;1.5;Contraction;Expansion;true;true;0.202;0.7
2003-05-15;4.857;4.686;4.797;4.686;4.764;4.797;true;0.171;4.865;4.641;4.828;4.671;4.775;true;true;false;true;true;true;false;;1052962200000000;1052962200000000;10:30 - 10:45;false;true;false;4.643;4.826;4.644;4.865;4.782;4.644;1052963100000000;1052963100000000;true;10:45 - 11:00;10:45 - 11:00;;;;;-0.2;-0.3;0.5;0.8;-0.3;1.0;0.4;0.6;0.5;-0.3;1.0;Weak Uptrend;Weak Downtrend;true;true;0.178;1.0
2003-05-16;4.744;4.602;4.709;4.609;4.663;4.709;true;0.142;4.809;4.612;4.781;4.641;4.744;true;false;true;false;true;true;true;1053046800000000;;1053046800000000;10:00 - 10:15;true;true;false;;;4.612;4.809;4.612;4.809;1053051300000000;1053059400000000;true;13:30 - 13:45;11:15 - 11:30;;;;;1.4;2.0;0.1;0.1;1.5;0.1;0.5;0.8;1.0;0.1;1.5;Weak Downtrend;Weak Uptrend;false;true;0.177;0.8
2003-05-20;4.831;4.676;4.781;4.683;4.748;4.781;true;0.155;4.869;4.622;4.854;4.662;4.757;true;true;true;true;true;false;false;1053389700000000;1053396900000000;1053389700000000;09:15 - 09:30;true;false;false;4.703;4.831;4.622;4.869;4.622;4.869;1053396900000000;1053405900000000;true;13:45 - 14:00;11:15 - 11:30;4.784;4.766;true;false;1.2;1.8;-0.3;-0.6;1.3;-0.3;0.5;0.7;0.6;-0.3;1.3;Weak Uptrend;Weak Downtrend;true;false;0.183;0.8
2003-05-21;4.765;4.605;4.709;4.612;4.665;4.709;true;0.16;4.789;4.592;4.762;4.625;4.749;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;4.705;4.702;false;false;;;;;;;0.3;0.6;0.8;-0.1;1.1;Weak Downtrend;Weak Downtrend;false;true;0.169;0.9
