date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2003-05-05;4.754;4.609;4.731;4.659;4.697;4.731;true;0.145;4.809;4.579;4.772;4.595;4.741;true;true;true;true;true;false;false;;1052124300000000;1052124300000000;04:45 - 05:00;false;true;false;4.588;4.754;4.581;4.809;4.775;4.581;1052126100000000;1052127000000000;true;05:30 - 05:45;05:15 - 05:30;;;;;-0.1;-1.0;1.1;1.6;-0.2;1.3;0.6;0.8;0.9;-0.3;1.3;;;;;;
2003-05-06;4.724;4.549;4.675;4.597;4.675;4.645;false;0.175;4.87;4.541;4.812;4.566;4.764;true;true;true;false;true;true;false;1052207100000000;;1052207100000000;03:45 - 04:00;true;true;true;4.552;4.733;4.6;4.87;4.6;4.87;1052216100000000;1052221500000000;true;07:45 - 08:00;06:15 - 06:30;4.732;4.725;false;false;1.8;3.5;0.3;0.1;1.9;0.3;0.8;0.6;1.3;-0.0;1.9;Weak Downtrend;Contraction;false;true;0.142;1.2
2003-05-07;4.808;4.649;4.779;4.7;4.715;4.779;true;0.159;4.808;4.54;4.76;4.588;4.697;false;true;false;true;true;true;true;;1052297100000000;1052297100000000;04:45 - 05:00;false;true;false;4.54;4.808;4.558;4.756;;;;;false;;;4.726;4.711;false;true;;;;;-0.6;0.6;0.4;0.8;0.3;-0.7;1.0;Weak Downtrend;Contraction;false;true;0.16;1.0
2003-05-08;4.698;4.547;4.672;4.599;4.639;4.672;true;0.151;4.738;4.488;4.696;4.534;4.649;true;true;false;true;true;true;false;;1052383500000000;1052383500000000;04:45 - 05:00;false;true;false;4.488;4.699;4.52;4.738;4.738;4.52;1052387100000000;1052392500000000;true;07:15 - 07:30;05:45 - 06:00;;;;;-0.1;-1.0;1.2;1.9;-0.2;1.2;0.6;0.8;0.6;-0.4;1.2;Weak Downtrend;Weak Downtrend;false;false;0.142;1.1
2003-05-09;4.738;4.582;4.701;4.634;4.683;4.701;true;0.156;4.801;4.559;4.769;4.583;4.725;true;true;true;false;true;true;false;1052466300000000;;1052466300000000;03:45 - 04:00;true;true;false;4.583;4.737;4.559;4.801;4.595;4.801;1052469900000000;1052473500000000;true;05:45 - 06:00;04:45 - 05:00;4.728;4.725;true;true;1.4;2.4;0.1;-0.5;1.5;-0.1;0.7;0.8;1.0;-0.1;1.5;Weak Downtrend;Weak Uptrend;false;true;0.146;1.1
2003-05-12;4.778;4.583;4.722;4.639;4.698;4.722;true;0.195;4.839;4.588;4.791;4.599;4.74;true;false;true;false;true;true;true;1052728200000000;;1052728200000000;04:30 - 04:45;true;true;false;4.588;4.839;4.605;4.822;;;;;false;;;4.718;4.708;false;false;;;;;1.3;0.2;0.6;0.8;0.9;0.1;1.4;;;;;;
2003-05-13;4.794;4.602;4.762;4.661;4.743;4.762;true;0.192;4.864;4.607;4.833;4.631;4.77;true;false;true;false;true;true;true;1052823600000000;;1052823600000000;07:00 - 07:15;true;true;false;4.607;4.841;4.653;4.864;4.659;4.864;1052824500000000;1052824500000000;true;07:15 - 07:30;07:15 - 07:30;4.785;4.777;true;true;1.3;2.0;0.3;-0.0;1.4;0.3;0.8;0.9;0.9;0.1;1.4;Weak Downtrend;Weak Uptrend;false;true;0.142;1.4
2003-05-14;4.81;4.631;4.776;4.697;4.74;4.776;true;0.179;4.894;4.581;4.845;4.629;4.772;true;true;true;true;true;false;false;1052901000000000;;1052901000000000;04:30 - 04:45;true;true;false;4.628;4.894;4.581;4.877;4.662;4.877;1052901900000000;1052901900000000;true;04:45 - 05:00;04:45 - 05:00;;;;;1.3;2.2;0.2;-0.4;1.4;-0.2;0.7;0.9;0.8;-0.2;1.5;Expansion;Contraction;true;true;0.142;1.3
2003-05-15;4.833;4.653;4.775;4.703;4.775;4.765;false;0.18;4.915;4.635;4.869;4.648;4.782;true;true;true;true;true;false;false;1052989200000000;;1052989200000000;05:00 - 05:15;true;true;false;4.635;4.862;4.677;4.915;4.695;4.915;1052991900000000;1052995500000000;true;06:45 - 07:00;05:45 - 06:00;;;;;1.4;2.9;0.3;-0.1;1.5;0.2;0.7;0.7;0.8;-0.0;1.5;Weak Downtrend;Weak Uptrend;false;true;0.171;1.1
2003-05-16;4.744;4.592;4.715;4.641;4.69;4.715;true;0.152;4.796;4.57;4.762;4.594;4.758;true;true;true;false;true;true;false;1053071100000000;;1053071100000000;03:45 - 04:00;true;true;true;4.593;4.739;4.57;4.796;4.592;4.796;1053075600000000;1053075600000000;true;05:00 - 05:15;05:00 - 05:15;;;;;1.3;2.0;0.0;-0.6;1.4;-0.1;0.7;0.9;1.1;-0.1;1.4;Weak Downtrend;Weak Downtrend;true;true;0.142;1.1
2003-05-19;4.794;4.633;4.754;4.682;4.73;4.754;true;0.161;4.947;4.631;4.876;4.633;4.749;true;true;true;false;true;true;false;1053331200000000;;1053331200000000;04:00 - 04:15;true;true;false;4.631;4.803;4.639;4.926;4.695;4.926;1053333900000000;1053333900000000;true;04:45 - 05:00;04:45 - 05:00;;;;;1.8;3.3;0.4;0.2;1.9;0.1;0.7;0.8;0.8;-0.0;2.0;;;;;;
2003-05-20;4.813;4.661;4.781;4.711;4.752;4.781;true;0.152;4.906;4.637;4.865;4.662;4.753;true;true;true;false;true;true;false;1053421200000000;;1053421200000000;05:00 - 05:15;true;true;false;4.637;4.892;4.653;4.906;4.676;4.906;1053425700000000;1053431100000000;true;07:45 - 08:00;06:15 - 06:30;4.784;4.766;true;false;1.6;2.7;0.1;-0.5;1.7;-0.0;0.6;0.8;0.7;-0.1;1.7;Weak Downtrend;Weak Uptrend;true;false;0.155;1.0
2003-05-21;4.789;4.633;4.761;4.684;4.713;4.761;true;0.156;4.855;4.539;4.811;4.562;4.683;true;true;true;true;true;false;false;1053504900000000;1053511200000000;1053504900000000;04:15 - 04:30;true;false;false;4.63;4.847;4.539;4.855;4.659;4.855;1053505800000000;1053505800000000;true;04:30 - 04:45;04:30 - 04:45;4.705;4.702;true;true;1.4;2.2;0.2;-0.3;1.5;-0.6;0.6;0.9;0.4;-0.6;1.5;Weak Uptrend;Weak Downtrend;false;true;0.16;1.0
2003-05-22;4.724;4.549;4.672;4.602;4.635;4.672;true;0.175;4.713;4.495;4.694;4.537;4.607;false;true;false;true;true;true;true;;1053593100000000;1053593100000000;04:45 - 05:00;false;true;false;4.543;4.713;4.495;4.709;4.709;4.495;1053596700000000;1053605700000000;true;08:15 - 08:30;05:45 - 06:00;4.657;4.655;false;false;-0.3;-1.5;0.9;1.5;-0.4;0.9;0.4;0.7;0.3;-0.4;0.9;Expansion;Weak Downtrend;true;true;0.142;1.2
2003-05-23;4.633;4.481;4.607;4.531;4.578;4.607;true;0.152;4.715;4.442;4.638;4.482;4.631;true;true;true;false;true;true;false;1053675900000000;;1053675900000000;03:45 - 04:00;true;true;false;4.478;4.635;4.442;4.715;4.442;4.715;1053681300000000;1053692100000000;true;08:15 - 08:30;05:15 - 05:30;4.596;4.599;false;false;1.5;2.4;-0.2;-1.1;1.6;-0.2;0.7;0.9;1.0;-0.2;1.6;Weak Uptrend;Medium Downtrend;true;true;0.15;1.0
2003-05-26;4.676;4.478;4.612;4.552;4.602;4.612;true;0.198;4.685;4.439;4.65;4.494;4.634;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;4.585;;true;;;;;;;;0.6;0.6;0.7;-0.2;1.0;;;;;;
2003-05-27;4.639;4.479;4.617;4.531;4.567;4.617;true;0.16;4.747;4.451;4.739;4.451;4.573;true;true;true;true;true;false;false;1054022400000000;;1054022400000000;04:00 - 04:15;true;true;false;4.481;4.649;4.451;4.742;4.529;4.742;1054023300000000;1054023300000000;true;04:15 - 04:30;04:15 - 04:30;;;;;1.6;2.4;0.4;-0.0;1.7;-0.1;0.6;0.9;0.6;-0.1;1.7;Weak Downtrend;None;true;false;0.147;1.1
2003-05-28;4.68;4.501;4.619;4.561;4.561;4.619;true;0.179;4.693;4.375;4.609;4.405;4.509;true;true;false;true;true;true;false;;1054111500000000;1054111500000000;04:45 - 05:00;false;true;false;4.46;4.693;4.375;4.622;4.622;4.375;1054115100000000;1054120500000000;true;07:15 - 07:30;05:45 - 06:00;4.564;4.587;false;false;-0.7;-3.2;0.6;1.0;-0.8;0.6;0.3;0.6;0.0;-0.8;1.0;Medium Uptrend;Weak Downtrend;true;true;0.179;1.0
2003-05-29;4.638;4.484;4.596;4.534;4.563;4.596;true;0.154;4.641;4.406;4.609;4.45;4.571;true;true;false;true;true;true;false;;1054197900000000;1054197900000000;04:45 - 05:00;false;true;false;4.465;4.641;4.406;4.63;4.63;4.406;1054198800000000;1054201500000000;true;05:45 - 06:00;05:00 - 05:15;4.578;;false;;-0.5;-2.0;0.9;1.5;-0.6;0.9;0.5;0.7;0.5;-0.6;1.0;Weak Uptrend;Contraction;false;true;0.161;1.0
2003-05-30;4.552;4.371;4.475;4.434;4.469;4.475;true;0.181;4.559;4.329;4.537;4.381;4.537;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.5;0.5;0.9;-0.3;1.0;Weak Downtrend;Medium Downtrend;false;true;0.142;1.3
2003-06-02;4.517;4.347;4.45;4.39;4.45;4.446;false;0.17;4.57;4.332;4.506;4.343;4.452;true;true;false;true;true;true;false;;;;;false;true;false;;;;;;;;;false;;;4.474;4.473;true;true;;;;;;;0.6;0.5;0.6;-0.1;1.3;;;;;;
2003-06-03;4.601;4.417;4.527;4.46;4.464;4.527;true;0.184;4.607;4.29;4.535;4.3;4.408;true;true;false;true;true;true;false;;1054629900000000;1054629900000000;04:45 - 05:00;false;true;true;4.337;4.607;4.29;4.582;4.582;4.29;1054635300000000;1054642500000000;true;08:15 - 08:30;06:15 - 06:30;4.455;4.474;true;false;-0.6;-2.5;0.8;1.8;-0.7;0.8;0.2;0.5;-0.1;-0.7;1.0;Weak Uptrend;Contraction;true;true;0.142;1.3
2003-06-04;4.488;4.329;4.451;4.38;4.443;4.451;true;0.159;4.57;4.327;4.496;4.336;4.436;true;true;true;false;true;true;false;1054712700000000;;1054712700000000;03:45 - 04:00;true;true;false;4.328;4.483;4.327;4.57;4.335;4.57;1054724400000000;1054727100000000;true;07:45 - 08:00;07:00 - 07:15;;;;;1.5;2.6;0.1;-0.6;1.6;-0.0;0.8;0.8;0.7;-0.0;1.6;Weak Downtrend;None;true;true;0.142;1.1
2003-06-05;4.518;4.35;4.484;4.395;4.429;4.484;true;0.168;4.517;4.305;4.517;4.326;4.438;false;true;false;true;true;true;true;;1054802700000000;1054802700000000;04:45 - 05:00;false;true;false;4.328;4.515;4.305;4.517;4.517;4.305;1054805400000000;1054809900000000;true;06:45 - 07:00;05:30 - 05:45;4.428;4.428;true;true;-0.2;-1.0;0.9;1.3;-0.3;0.9;0.4;0.7;0.5;-0.3;0.9;Weak Uptrend;Weak Downtrend;true;true;0.15;1.1
2003-06-06;4.511;4.342;4.449;4.386;4.423;4.449;true;0.169;4.515;4.319;4.507;4.341;4.443;true;true;false;true;true;true;false;;;;;false;true;false;;;;;;;;;false;;;4.445;4.431;false;false;;;;;;;0.4;0.6;0.5;-0.2;1.0;Weak Uptrend;Weak Uptrend;false;true;0.142;1.2
2003-06-09;4.519;4.37;4.492;4.42;4.456;4.492;true;0.149;4.582;4.293;4.532;4.344;4.445;true;true;true;true;true;false;false;1055144700000000;1055148300000000;1055144700000000;03:45 - 04:00;true;false;false;4.371;4.521;4.293;4.582;4.345;4.582;1055146500000000;1055151900000000;true;05:45 - 06:00;04:15 - 04:30;4.485;4.477;false;false;1.4;2.2;-0.1;-1.0;1.5;-0.5;0.6;0.9;0.6;-0.5;1.5;Weak Uptrend;Medium Downtrend;true;true;0.141;1.1
2003-06-10;4.481;4.33;4.456;4.381;4.428;4.456;true;0.151;4.508;4.287;4.481;4.323;4.4;true;true;false;true;true;true;false;;1055234700000000;1055234700000000;04:45 - 05:00;false;true;false;4.302;4.506;4.296;4.508;4.508;4.296;1055239200000000;1055243700000000;true;07:15 - 07:30;06:00 - 06:15;;;;;-0.2;-1.1;1.1;1.6;-0.3;1.1;0.6;0.8;0.4;-0.3;1.1;Weak Downtrend;Contraction;false;true;0.142;1.1
