date;range_high;range_low;range_high_body;range_low_body;range_open;range_close;greenbox;range_size;session_high;session_low;session_body_high;session_body_low;session_close;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;up_confirmation;down_confirmation;breakout_time;breakout_window;upday;range_holds;close_outside_range;pre_conf_min;pre_conf_max;after_conf_min;after_conf_max;max_retracement_value;max_expansion_value;max_retracement_time;max_expansion_time;retrace_into_range;expansion_window;retracement_window;day_open;ny_true_open;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_size_prev;range_multiplier
2003-05-05;4.804;4.587;4.72;4.694;4.72;4.703;false;0.217;4.849;4.57;4.782;4.593;4.729;true;true;false;false;false;false;false;;;;;false;true;false;;;;;;;;;false;;;;;;;;;;;;;0.6;0.5;0.6;-0.1;1.2;Expansion;;false;true;0.145;1.5
2003-05-06;4.838;4.625;4.789;4.691;4.734;4.691;false;0.213;4.856;4.598;4.796;4.601;4.718;true;true;false;true;true;true;false;;1052241300000000;1052241300000000;13:15 - 13:30;false;true;false;4.606;4.856;4.598;4.799;4.79;4.598;1052242200000000;1052242200000000;true;13:30 - 13:45;13:30 - 13:45;4.732;4.725;false;false;-0.1;-0.9;0.7;1.0;-0.2;0.8;0.5;0.3;0.4;-0.2;1.0;Weak Uptrend;Weak Downtrend;true;true;0.175;1.2
2003-05-07;4.765;4.609;4.756;4.676;4.717;4.676;false;0.156;4.799;4.499;4.783;4.556;4.684;true;true;true;true;true;false;false;1052316900000000;1052325000000000;1052316900000000;10:15 - 10:30;true;false;false;4.632;4.792;4.499;4.798;4.633;4.798;1052317800000000;1052318700000000;true;10:45 - 11:00;10:30 - 10:45;4.726;4.711;true;false;1.2;1.5;0.2;-0.5;1.3;-0.7;0.7;0.5;0.5;-0.7;1.3;Weak Downtrend;Weak Downtrend;false;true;0.159;1.0
2003-05-08;4.754;4.58;4.736;4.682;4.697;4.682;false;0.174;4.825;4.58;4.791;4.598;4.714;true;false;true;false;true;true;true;1052410500000000;;1052410500000000;12:15 - 12:30;true;true;false;4.58;4.809;4.603;4.825;4.603;4.825;1052413200000000;1052417700000000;true;14:15 - 14:30;13:00 - 13:15;;;;;1.4;2.6;0.2;-1.4;1.5;0.2;0.7;0.6;0.8;0.0;1.5;Weak Uptrend;Weak Downtrend;false;true;0.151;1.2
2003-05-09;4.802;4.558;4.727;4.66;4.699;4.66;false;0.244;4.861;4.565;4.804;4.59;4.711;true;false;true;false;true;true;true;;;;;false;true;false;;;;;;;;;false;;;4.728;4.725;true;true;;;;;;;0.5;0.4;0.6;0.0;1.2;Expansion;Weak Downtrend;true;true;0.156;1.6
2003-05-12;4.798;4.578;4.73;4.681;4.694;4.681;false;0.22;4.905;4.568;4.905;4.605;4.771;true;true;true;false;true;true;false;1052748900000000;;1052748900000000;10:15 - 10:30;true;true;false;4.62;4.83;4.568;4.905;4.568;4.905;1052757000000000;1052762400000000;true;14:00 - 14:15;12:30 - 12:45;4.718;4.708;true;true;1.4;4.5;-0.0;-2.3;1.5;-0.0;0.6;0.5;0.9;-0.0;1.5;Expansion;;true;true;0.195;1.1
2003-05-13;4.829;4.66;4.802;4.738;4.771;4.738;false;0.169;4.918;4.629;4.847;4.643;4.733;true;true;true;true;true;false;false;1052848800000000;1052853300000000;1052848800000000;14:00 - 14:15;true;false;false;4.65;4.918;4.629;4.834;;;;;false;;;4.785;4.777;true;true;;;;;1.1;-0.1;0.7;0.5;0.5;-0.1;1.6;Weak Uptrend;Weak Downtrend;true;true;0.192;0.9
2003-05-14;4.827;4.625;4.745;4.727;4.727;4.732;true;0.202;4.926;4.647;4.902;4.666;4.781;true;false;true;false;true;true;true;1052925300000000;;1052925300000000;11:15 - 11:30;true;true;false;4.647;4.86;4.655;4.926;4.655;4.926;1052929800000000;1052932500000000;true;13:15 - 13:30;12:30 - 12:45;;;;;1.4;11.0;0.2;-4.0;1.5;0.2;0.6;0.6;0.8;0.2;1.5;Expansion;Expansion;true;true;0.179;1.1
2003-05-15;4.792;4.614;4.76;4.71;4.714;4.71;false;0.178;4.853;4.608;4.821;4.637;4.692;true;true;true;false;true;true;false;1053013500000000;;1053013500000000;11:45 - 12:00;true;true;false;4.609;4.805;4.622;4.853;4.654;4.853;1053015300000000;1053016200000000;true;12:30 - 12:45;12:15 - 12:30;;;;;1.3;2.8;0.3;-1.1;1.4;0.1;0.6;0.6;0.5;-0.0;1.4;Weak Downtrend;Weak Downtrend;true;true;0.18;1.0
2003-05-16;4.837;4.66;4.811;4.704;4.781;4.704;false;0.177;4.822;4.587;4.792;4.606;4.699;false;true;false;true;true;true;true;;1053095400000000;1053095400000000;10:30 - 10:45;false;true;false;4.587;4.757;4.594;4.822;4.802;4.594;1053102600000000;1053104400000000;true;13:00 - 13:15;12:30 - 12:45;;;;;-0.3;-1.0;0.8;0.9;-0.4;0.9;0.6;0.2;0.2;-0.5;0.9;Weak Uptrend;Weak Downtrend;true;true;0.152;1.2
